Civilization_Name,Start_Year,End_Year,Peak_Year,Geographic_Region,Population_Peak,Political_System,Economic_Base,Religious_System,Cultural_Achievements,Decline_Factors,Successor_Civilization,Primary_Sources,Archaeological_Evidence,Linguistic_Evidence,Genetic_Evidence,Trade_Networks,Military_Organization,Social_Structure,Technological_Innovations,Environmental_Adaptations,External_Influences,Internal_Conflicts,Leadership_Structure,Settlement_Patterns,Agricultural_Practices,Pastoral_Practices,Craft_Specializations,Artistic_Traditions,Oral_Traditions,Written_Records,Colonial_Impact,Modern_Descendants
Basotho_Kingdom,1822,2025,1860,Lesotho_and_surrounding_areas,200000,Constitutional_monarchy,Mountain_agriculture_and_pastoralism,Ancestral_worship_and_Christianity,Mountain_fortress_architecture_and_oral_traditions,Boer_and_British_pressure_became_protectorate,Continuing_monarchy_under_British_protection,Oral_traditions_and_extensive_colonial_records,Mountain_fortress_sites_and_settlements,Sesotho_language,Bantu_genetic_markers,Mountain_trade_networks,Mounted_military_system_with_firearms,Hierarchical_clan_system_with_royal_authority,Mountain_fortress_architecture_and_horse_culture,Mountain_adaptation_and_fortress_strategy,Boer_and_British_colonial_expansion,Internal_succession_disputes_and_external_wars,King_with_chief_councils,Mountain_fortress_settlements,Mountain_terraced_agriculture,Cattle_and_horse_herding,Stone_architecture_and_blanket_weaving,Praise_poetry_and_mountain_traditions,Rich_oral_traditions_and_royal_genealogies,Missionary_records_and_royal_correspondence,British_protectorate_status,Modern_Kingdom_of_Lesotho
Griqua_States,1813,1879,1850,Northern_Cape_and_Transvaal,25000,Elected_captains_and_councils,Mixed_farming_and_trading,Christianity_and_traditional_beliefs,Synthesis_of_European_and_African_cultures,British_and_Boer_expansion,British_and_Boer_administration,Written_records_and_oral_traditions,Settlement_sites_and_mission_stations,Afrikaans_and_indigenous_languages,Mixed_European_and_Khoisan_ancestry,Trade_networks_with_Cape_Colony_and_interior,Mounted_commandos_with_firearms,Mixed_community_with_European_and_African_elements,European_farming_techniques_and_firearms,Semi_arid_adaptation_and_mobility,British_and_Boer_colonial_expansion,Internal_political_divisions_and_land_disputes,Elected_captains_with_councils,Mobile_settlements_and_mission_stations,European_style_agriculture_and_stock_farming,Cattle_and_sheep_farming,European_crafts_and_traditional_skills,Mixed_cultural_traditions,Written_and_oral_community_histories,Mission_records_and_government_correspondence,Loss_of_independence_and_land_rights,Modern_Griqua_communities_in_Northern_Cape
Tswana_Kingdoms,1600,1885,1800,Western_Transvaal_and_Botswana,400000,Chieftaincy_with_ward_system,Agricultural_economy_and_trade,Ancestral_worship_and_rainmaking,Stone_architecture_and_oral_traditions,British_colonial_expansion_and_protectorate_status,British_Bechuanaland_Protectorate,Oral_traditions_and_missionary_records,Stone_walled_settlements_and_archaeological_sites,Setswana_language,Bantu_genetic_markers,Extensive_trade_networks_to_coast,Age_grade_and_ward_military_organization,Ward_based_social_organization_with_chiefs,Stone_architecture_and_agricultural_innovations,Semi_arid_adaptation_and_water_management,British_colonial_expansion_and_missionary_activity,Inter_kingdom_warfare_and_succession_disputes,Paramount_chiefs_with_ward_headmen,Large_stone_walled_settlements,Advanced_agriculture_and_water_management,Cattle_and_small_stock_management,Stone_working_and_pottery,Praise_poetry_and_oral_traditions,Rich_oral_traditions_and_genealogies,Missionary_records_from_1820s,British_protectorate_status,Modern_Tswana_communities_in_Botswana_and_South_Africa
Pedi_Kingdom,1650,1879,1800,Northern_Transvaal_Limpopo,150000,Paramount_chieftaincy,Agricultural_economy_with_tribute,Ancestral_worship_and_rainmaking,Terraced_agriculture_and_oral_traditions,Boer_and_British_conquest,Boer_and_British_administration,Oral_traditions_and_colonial_records,Settlement_sites_and_agricultural_terraces,Sepedi_language,Bantu_genetic_markers,Trade_networks_to_coast_and_interior,Age_grade_military_system,Hierarchical_clan_system_with_paramount_chief,Terraced_agriculture_and_iron_working,Highland_adaptation_and_water_management,Boer_trekker_expansion_and_British_colonialism,Succession_disputes_and_territorial_conflicts,Paramount_chief_with_regional_chiefs,Terraced_settlements_and_agricultural_areas,Advanced_terraced_agriculture,Cattle_and_goat_herding,Iron_working_and_pottery,Praise_poetry_and_initiation_traditions,Rich_oral_traditions_and_genealogies,Some_missionary_records,Boer_and_British_conquest,Modern_Pedi_communities_in_Limpopo
Venda_Kingdom,1700,1898,1850,Northern_Transvaal_Limpopo,60000,Sacred_kingship,Agricultural_economy_with_tribute,Ancestral_worship_and_sacred_kingship,Sacred_sites_and_oral_traditions,British_colonial_conquest,British_administration,Oral_traditions_and_colonial_records,Sacred_sites_and_settlement_remains,Tshivenda_language,Bantu_genetic_markers,Trade_networks_to_coast,Age_grade_military_system,Sacred_hierarchy_with_divine_king,Sacred_architecture_and_crafts,Mountain_adaptation_and_sacred_sites,British_colonial_expansion,Succession_disputes_and_external_pressure,Sacred_king_with_ritual_authority,Sacred_settlements_and_ritual_sites,Terraced_agriculture_and_sacred_groves,Cattle_and_tribute_system,Sacred_crafts_and_pottery,Sacred_traditions_and_praise_poetry,Rich_oral_traditions_and_sacred_narratives,Some_missionary_records,British_colonial_conquest,Modern_Venda_communities_in_Limpopo
Tsonga_Chiefdoms,1500,1895,1750,Eastern_Transvaal_and_Mozambique,120000,Chieftaincy_with_clan_structure,Mixed_farming_and_trade,Ancestral_worship_and_divination,Oral_traditions_and_trade_culture,Portuguese_and_British_colonial_expansion,Portuguese_and_British_administration,Oral_traditions_and_colonial_records,Settlement_sites_and_trading_posts,Xitsonga_language,Bantu_genetic_markers,Extensive_trade_networks_to_coast,Age_grade_military_system,Clan_based_hierarchy_with_chiefs,Traditional_crafts_and_trade_goods,Lowveld_adaptation_and_trade_specialization,Portuguese_and_British_colonial_contact,Inter_clan_warfare_and_succession_disputes,Hereditary_chiefs_with_clan_councils,Permanent_settlements_and_trading_centers,Maize_and_sorghum_cultivation,Cattle_and_goat_herding,Traditional_crafts_and_trade_goods,Oral_traditions_and_praise_poetry,Rich_oral_traditions_and_trade_stories,Some_Portuguese_records,Portuguese_and_British_colonial_administration,Modern_Tsonga_communities_in_South_Africa_and_Mozambique
Boer_Republics,1852,1902,1880,Transvaal_and_Orange_Free_State,200000,Republican_government_with_elected_presidents,Agricultural_economy_and_mining,Dutch_Reformed_Christianity,Afrikaner_culture_and_trekker_traditions,British_imperial_expansion_and_Anglo_Boer_Wars,British_colonial_administration,Extensive_written_records_and_oral_traditions,Settlement_sites_and_battlefield_remains,Afrikaans_language,European_and_some_Khoisan_ancestry,Trade_networks_with_Cape_Colony_and_Europe,Citizen_commandos_and_guerrilla_warfare,Republican_democracy_with_racial_exclusions,European_farming_and_mining_technology,Highveld_adaptation_and_pastoral_farming,British_imperial_expansion_and_mining_interests,Political_divisions_and_succession_disputes,Elected_presidents_and_volksraads,Scattered_farms_and_small_towns,European_style_agriculture_and_stock_farming,Cattle_and_sheep_farming,European_crafts_and_mining,Afrikaner_cultural_traditions,Written_and_oral_Afrikaner_traditions,Extensive_government_and_personal_records,Anglo_Boer_Wars_and_British_conquest,Modern_Afrikaner_communities_in_South_Africa
British_Cape_Colony,1795,1910,1870,Western_and_Eastern_Cape,1000000,Colonial_government_with_governor,Colonial_economy_with_agriculture_and_mining,Christianity_and_traditional_beliefs,Colonial_architecture_and_mixed_cultures,Union_of_South_Africa_formation,Union_of_South_Africa,Extensive_colonial_records_and_archives,Colonial_buildings_and_infrastructure,English_Afrikaans_and_indigenous_languages,Mixed_populations,Global_colonial_trade_networks,British_imperial_army_and_local_forces,Colonial_racial_hierarchy,European_technology_and_administration,Mediterranean_climate_adaptation,Global_British_imperial_system,Frontier_wars_and_political_resistance,Colonial_governor_and_appointed_officials,Colonial_towns_and_agricultural_districts,European_agriculture_and_wine_production,European_livestock_farming,European_industries_and_crafts,Colonial_European_culture,Colonial_records_and_literature,Extensive_colonial_archives,Incorporation_into_Union_of_South_Africa,Modern_South_African_society
British_Natal_Colony,1843,1910,1880,KwaZulu_Natal,500000,Colonial_government_with_governor,Colonial_economy_with_sugar_and_mining,Christianity_and_traditional_beliefs,Colonial_architecture_and_Indian_culture,Union_of_South_Africa_formation,Union_of_South_Africa,Extensive_colonial_records_and_archives,Colonial_buildings_and_sugar_estates,English_and_indigenous_languages,Mixed_populations_including_Indian_indentured_laborers,Global_colonial_trade_networks,British_imperial_army_and_local_forces,Colonial_racial_hierarchy_with_Indian_labor,European_and_Indian_technology,Coastal_and_highland_adaptation,Global_British_imperial_system_and_Indian_labor_migration,Zulu_resistance_and_Indian_political_organization,Colonial_governor_and_appointed_officials,Colonial_towns_and_sugar_plantations,European_agriculture_and_sugar_production,European_livestock_farming,European_and_Indian_industries,Colonial_European_and_Indian_cultures,Colonial_records_and_literature,Extensive_colonial_archives,Incorporation_into_Union_of_South_Africa,Modern_South_African_society
Union_of_South_Africa,1910,1994,1950,All_of_South_Africa,15000000,Parliamentary_system_with_racial_exclusions,Industrial_economy_with_mining_and_agriculture,Christianity_and_traditional_beliefs,Apartheid_system_and_resistance_movements,International_pressure_and_internal_resistance,Democratic_South_Africa,Extensive_government_records_and_resistance_documents,Apartheid_infrastructure_and_resistance_sites,Multiple_official_languages,Diverse_populations_under_apartheid_classification,Controlled_international_economy,South_African_Defence_Force_and_police_state,Apartheid_racial_hierarchy,Modern_industrial_technology_under_apartheid,Diverse_climate_adaptation,International_isolation_and_sanctions,Apartheid_resistance_and_liberation_struggle,Prime_ministers_and_apartheid_government,Apartheid_townships_and_white_areas,Controlled_agriculture_under_apartheid,Controlled_livestock_systems,Industrial_development_under_apartheid,Suppressed_African_cultures_and_Afrikaner_nationalism,Resistance_literature_and_political_documents,Extensive_government_and_resistance_archives,End_of_apartheid_and_democratic_transition,Modern_democratic_South_Africa
Democratic_South_Africa,1994,2025,2010,All_of_South_Africa,60000000,Constitutional_democracy,Mixed_economy_with_mining_agriculture_and_services,Religious_freedom_and_diversity,Rainbow_nation_and_cultural_diversity,Ongoing_social_and_economic_challenges,Continuing_democracy,Government_records_and_media_documentation,Democratic_institutions_and_infrastructure,Eleven_official_languages,Diverse_populations_with_equal_rights,Global_integrated_economy,South_African_National_Defence_Force,Democratic_society_with_ongoing_inequality,Modern_technology_and_development,Diverse_climate_and_environmental_challenges,Global_integration_and_African_leadership,Political_competition_and_social_challenges,Elected_presidents_and_democratic_institutions,Urban_and_rural_democratic_communities,Modern_commercial_agriculture,Modern_livestock_and_game_farming,Modern_industries_and_services,Cultural_diversity_and_reconciliation,Democratic_literature_and_media,Extensive_democratic_records_and_media,Ongoing_democratic_development,Modern_South_African_society

