Date_BCE_CE,Civilization_Name,Region,Political_System,Religious_System,Economic_System,Social_Structure,Technological_Level,Population_Estimate,Geographic_Extent,Primary_Language_Family,Cultural_Characteristics,Cycle_Phase,Cycle_Alignment,Engineering_Evidence
1400,Kanem_Bornu_Empire,Lake_Chad_Bornu,Imperial_Monarchy,Bornu_Islam,Trans_Saharan_Trade,Imperial_Hierarchy,Advanced_Islamic,800000,Kanem_Bornu_Empire,Kanuri_Arabic,Imperial_Administration,Peak_Phase,20_50_160_250_500,Imperial_peak_coordination
1600,Bornu_Consolidation,Lake_Chad_Bornu,Consolidated_Empire,Orthodox_Islam,Consolidated_Trade,Consolidated_Hierarchy,Consolidated_Technology,1000000,Consolidated_Bornu,Kanuri_Arabic,Administrative_Consolidation,Consolidation_Phase,20_50_160_250_500,Consolidation_coordination
1800,Bornu_Decline,Lake_Chad_Bornu,Declining_Empire,Declining_Islam,Declining_Trade,Declining_Hierarchy,Declining_Technology,600000,Reduced_Bornu,Kanuri_Arabic,Imperial_Decline,Decline_Phase,20_50_160_250_500,Decline_coordination
1900,Bornu_Colonial,Lake_Chad_Region,Colonial_Administration,Colonial_Islam,Colonial_Economy,Colonial_Hierarchy,Colonial_Technology,400000,Colonial_Territory,Kanuri_French,Colonial_Integration,Transition_Phase,20_50_160_250_500,Colonial_transition_coordination
1300,Kongo_Kingdom_Foundation,Lower_Congo_River,Divine_Monarchy,Kongo_Christianity,Agricultural_Trade,Royal_Hierarchy,Iron_Age_Advanced,500000,Lower_Congo_Basin,Kikongo_Language,Royal_Administration,Birth_Phase,20_50_160_250_500,Kongo_foundation_systematization
1400,Kongo_Portuguese_Contact,Lower_Congo_River,Christian_Monarchy,Kongo_Catholicism,European_Trade,Christian_Hierarchy,European_Technology,700000,Kongo_Kingdom,Kikongo_Portuguese,Christian_Integration,Growth_Phase,20_50_160_250_500,Portuguese_contact_coordination
1500,Kongo_Christian_Peak,Lower_Congo_River,Catholic_Monarchy,Catholic_Kongo,Atlantic_Trade,Catholic_Hierarchy,Christian_Technology,900000,Peak_Kongo,Kikongo_Portuguese,Catholic_Administration,Peak_Phase,20_50_160_250_500,Christian_peak_coordination
1600,Kongo_Slave_Trade,Lower_Congo_River,Slave_Monarchy,Syncretic_Religion,Slave_Economy,Slave_Hierarchy,Slave_Technology,600000,Reduced_Kongo,Kikongo_Portuguese,Slave_Trade_Integration,Decline_Phase,20_50_160_250_500,Slave_trade_coordination
1700,Kongo_Fragmentation,Lower_Congo_River,Fragmented_Monarchy,Fragmented_Religion,Fragmented_Economy,Fragmented_Hierarchy,Fragmented_Technology,400000,Fragmented_Territory,Kikongo_Portuguese,Political_Fragmentation,Collapse_Phase,20_50_160_250_500,Fragmentation_coordination
1885,Congo_Free_State,Congo_Basin,Colonial_Administration,Colonial_Christianity,Extraction_Economy,Colonial_Hierarchy,Industrial_Technology,10000000,Congo_Basin,French_Lingala,Colonial_Exploitation,Birth_Phase,20_50_160_250_500,Colonial_systematization
1960,Democratic_Republic_Congo,Congo_Basin,Independent_Republic,Christian_Majority,Post_Colonial_Economy,Modern_Hierarchy,Modern_Technology,15000000,DRC_Territory,French_Lingala,Post_Colonial_State,Independence_Phase,20_50_160_250_500,Independence_coordination
1400,Luba_Empire_Foundation,Katanga_Region,Divine_Monarchy,Luba_Religion,Mining_Agriculture,Royal_Hierarchy,Iron_Age_Mining,300000,Katanga_Luba,Luba_Language,Divine_Kingship,Birth_Phase,20_50_160_250_500,Luba_foundation_systematization
1600,Luba_Empire_Peak,Katanga_Region,Imperial_Monarchy,Luba_Pantheon,Regional_Trade,Imperial_Hierarchy,Advanced_Mining,600000,Luba_Empire,Luba_Language,Imperial_Administration,Peak_Phase,20_50_160_250_500,Luba_peak_coordination
1800,Luba_Empire_Decline,Katanga_Region,Declining_Monarchy,Declining_Religion,Declining_Trade,Declining_Hierarchy,Declining_Technology,400000,Reduced_Luba,Luba_Language,Imperial_Decline,Decline_Phase,20_50_160_250_500,Luba_decline_coordination
1500,Lunda_Empire_Foundation,Angola_Zambia_Border,Divine_Monarchy,Lunda_Religion,Trade_Agriculture,Royal_Hierarchy,Iron_Age_Trade,400000,Lunda_Territory,Lunda_Language,Royal_Trade_System,Birth_Phase,20_50_160_250_500,Lunda_foundation_systematization
1700,Lunda_Empire_Peak,Angola_Zambia_DRC,Imperial_Monarchy,Lunda_Pantheon,Regional_Trade,Imperial_Hierarchy,Advanced_Trade,800000,Lunda_Empire,Lunda_Language,Imperial_Trade_Network,Peak_Phase,20_50_160_250_500,Lunda_peak_coordination
1850,Lunda_Empire_Decline,Angola_Zambia_Border,Declining_Monarchy,Declining_Religion,Declining_Trade,Declining_Hierarchy,Declining_Technology,500000,Reduced_Lunda,Lunda_Language,Imperial_Decline,Decline_Phase,20_50_160_250_500,Lunda_decline_coordination
1600,Ndongo_Kingdom,Northern_Angola,Warrior_Monarchy,Ndongo_Religion,Warrior_Economy,Warrior_Hierarchy,Iron_Age_Military,300000,Northern_Angola,Kimbundu_Language,Warrior_Culture,Birth_Phase,20_50_160_250_500,Ndongo_foundation_systematization
1650,Ndongo_Portuguese_Wars,Northern_Angola,Resistance_Monarchy,Resistance_Religion,War_Economy,War_Hierarchy,Military_Technology,200000,War_Territory,Kimbundu_Portuguese,Military_Resistance,Conflict_Phase,20_50_160_250_500,Portuguese_war_coordination
1700,Ndongo_Decline,Northern_Angola,Declining_Monarchy,Declining_Religion,Declining_Economy,Declining_Hierarchy,Declining_Technology,150000,Reduced_Territory,Kimbundu_Portuguese,Political_Decline,Decline_Phase,20_50_160_250_500,Ndongo_decline_coordination
1600,Matamba_Kingdom,Central_Angola,Warrior_Monarchy,Matamba_Religion,Warrior_Trade,Warrior_Hierarchy,Iron_Age_Military,250000,Central_Angola,Kimbundu_Language,Warrior_Trade_Culture,Birth_Phase,20_50_160_250_500,Matamba_foundation_systematization
1650,Matamba_Nzinga_Resistance,Central_Angola,Resistance_Monarchy,Resistance_Religion,Resistance_Economy,Resistance_Hierarchy,Resistance_Technology,300000,Resistance_Territory,Kimbundu_Portuguese,Female_Warrior_Leadership,Peak_Phase,20_50_160_250_500,Nzinga_resistance_coordination
1750,Matamba_Decline,Central_Angola,Declining_Monarchy,Declining_Religion,Declining_Economy,Declining_Hierarchy,Declining_Technology,200000,Reduced_Territory,Kimbundu_Portuguese,Political_Decline,Decline_Phase,20_50_160_250_500,Matamba_decline_coordination
1500,Kuba_Kingdom_Foundation,Kasai_Region,Divine_Monarchy,Kuba_Religion,Artistic_Agriculture,Royal_Hierarchy,Iron_Age_Artistic,200000,Kasai_Kuba,Kuba_Language,Artistic_Culture,Birth_Phase,20_50_160_250_500,Kuba_foundation_systematization
1700,Kuba_Kingdom_Peak,Kasai_Region,Artistic_Monarchy,Kuba_Pantheon,Artistic_Trade,Artistic_Hierarchy,Advanced_Artistic,400000,Kuba_Kingdom,Kuba_Language,Artistic_Administration,Peak_Phase,20_50_160_250_500,Kuba_peak_coordination
1900,Kuba_Kingdom_Decline,Kasai_Region,Declining_Monarchy,Declining_Religion,Declining_Trade,Declining_Hierarchy,Declining_Technology,250000,Reduced_Kuba,Kuba_Language,Artistic_Decline,Decline_Phase,20_50_160_250_500,Kuba_decline_coordination
1400,Chokwe_Expansion,Angola_DRC_Zambia,Warrior_Chieftains,Chokwe_Religion,Warrior_Trade,Warrior_Clans,Iron_Age_Military,300000,Chokwe_Territory,Chokwe_Language,Warrior_Expansion,Birth_Phase,20_50_160_250_500,Chokwe_expansion_systematization
1700,Chokwe_Peak,Angola_DRC_Zambia,Warrior_Confederation,Chokwe_Pantheon,Regional_Trade,Warrior_Hierarchy,Advanced_Military,600000,Chokwe_Empire,Chokwe_Language,Warrior_Confederation,Peak_Phase,20_50_160_250_500,Chokwe_peak_coordination
1900,Chokwe_Colonial,Angola_DRC_Zambia,Colonial_Administration,Colonial_Christianity,Colonial_Economy,Colonial_Hierarchy,Colonial_Technology,400000,Colonial_Territory,Chokwe_Portuguese,Colonial_Integration,Transition_Phase,20_50_160_250_500,Colonial_transition_coordination
1500,Azande_Kingdom,Northern_DRC_CAR,Warrior_Monarchy,Azande_Religion,Warrior_Agriculture,Warrior_Hierarchy,Iron_Age_Military,400000,Azande_Territory,Azande_Language,Warrior_Culture,Birth_Phase,20_50_160_250_500,Azande_foundation_systematization
1700,Azande_Expansion,Northern_DRC_CAR_Sudan,Expansionist_Monarchy,Azande_Pantheon,Expansionist_Economy,Expansionist_Hierarchy,Military_Technology,700000,Azande_Empire,Azande_Language,Military_Expansion,Peak_Phase,20_50_160_250_500,Azande_expansion_coordination
1900,Azande_Colonial,Northern_DRC_CAR,Colonial_Administration,Colonial_Christianity,Colonial_Economy,Colonial_Hierarchy,Colonial_Technology,500000,Colonial_Territory,Azande_French,Colonial_Integration,Transition_Phase,20_50_160_250_500,Colonial_transition_coordination
1600,Mangbetu_Kingdom,Northeastern_DRC,Artistic_Monarchy,Mangbetu_Religion,Artistic_Agriculture,Artistic_Hierarchy,Iron_Age_Artistic,300000,Mangbetu_Territory,Mangbetu_Language,Artistic_Culture,Birth_Phase,20_50_160_250_500,Mangbetu_foundation_systematization
1800,Mangbetu_Peak,Northeastern_DRC,Artistic_Monarchy,Mangbetu_Pantheon,Artistic_Trade,Artistic_Hierarchy,Advanced_Artistic,500000,Mangbetu_Kingdom,Mangbetu_Language,Artistic_Administration,Peak_Phase,20_50_160_250_500,Mangbetu_peak_coordination
1900,Mangbetu_Colonial,Northeastern_DRC,Colonial_Administration,Colonial_Christianity,Colonial_Economy,Colonial_Hierarchy,Colonial_Technology,350000,Colonial_Territory,Mangbetu_French,Colonial_Integration,Transition_Phase,20_50_160_250_500,Colonial_transition_coordination
1800,Banda_Chieftains,Central_African_Republic,Warrior_Chieftains,Banda_Religion,Warrior_Agriculture,Warrior_Clans,Iron_Age_Military,200000,CAR_Territory,Banda_Language,Warrior_Culture,Birth_Phase,20_50_160_250_500,Banda_foundation_systematization
1900,Banda_Colonial,Central_African_Republic,Colonial_Administration,Colonial_Christianity,Colonial_Economy,Colonial_Hierarchy,Colonial_Technology,300000,Colonial_CAR,Banda_French,Colonial_Integration,Transition_Phase,20_50_160_250_500,Colonial_transition_coordination
1960,Central_African_Republic,Central_African_Republic,Independent_Republic,Christian_Majority,Post_Colonial_Economy,Modern_Hierarchy,Modern_Technology,2000000,CAR_Territory,French_Sango,Post_Colonial_State,Independence_Phase,20_50_160_250_500,Independence_coordination
1500,Fang_Migration,Equatorial_Guinea_Cameroon,Migrating_Clans,Fang_Religion,Migration_Agriculture,Clan_Migration,Iron_Age_Migration,150000,Fang_Territory,Fang_Language,Migration_Culture,Birth_Phase,20_50_160_250_500,Fang_migration_systematization
1800,Fang_Settlement,Equatorial_Guinea_Cameroon,Settled_Chieftains,Fang_Pantheon,Settled_Agriculture,Settled_Clans,Iron_Age_Settled,300000,Fang_Territory,Fang_Language,Settled_Culture,Growth_Phase,20_50_160_250_500,Fang_settlement_coordination
1900,Fang_Colonial,Equatorial_Guinea_Cameroon,Colonial_Administration,Colonial_Christianity,Colonial_Economy,Colonial_Hierarchy,Colonial_Technology,400000,Colonial_Territory,Fang_Spanish_French,Colonial_Integration,Transition_Phase,20_50_160_250_500,Colonial_transition_coordination
1600,Beti_Chieftains,Southern_Cameroon,Forest_Chieftains,Beti_Religion,Forest_Agriculture,Forest_Clans,Iron_Age_Forest,200000,Beti_Territory,Beti_Language,Forest_Culture,Birth_Phase,20_50_160_250_500,Beti_foundation_systematization
1800,Beti_Consolidation,Southern_Cameroon,Consolidated_Chieftains,Beti_Pantheon,Consolidated_Agriculture,Consolidated_Clans,Iron_Age_Consolidated,350000,Beti_Territory,Beti_Language,Forest_Consolidation,Growth_Phase,20_50_160_250_500,Beti_consolidation_coordination
1900,Beti_Colonial,Southern_Cameroon,Colonial_Administration,Colonial_Christianity,Colonial_Economy,Colonial_Hierarchy,Colonial_Technology,500000,Colonial_Territory,Beti_French_German,Colonial_Integration,Transition_Phase,20_50_160_250_500,Colonial_transition_coordination
1700,Duala_Trading,Cameroon_Coast,Trading_Chieftains,Duala_Religion,Coastal_Trade,Trading_Hierarchy,Iron_Age_Trading,100000,Cameroon_Coast,Duala_Language,Coastal_Trading_Culture,Birth_Phase,20_50_160_250_500,Duala_trading_systematization
1850,Duala_European_Contact,Cameroon_Coast,Trading_Monarchy,Syncretic_Religion,European_Trade,Trading_Hierarchy,European_Technology,150000,Coastal_Territory,Duala_German_English,European_Integration,Growth_Phase,20_50_160_250_500,European_contact_coordination
1900,Duala_Colonial,Cameroon_Coast,Colonial_Administration,Colonial_Christianity,Colonial_Economy,Colonial_Hierarchy,Colonial_Technology,200000,Colonial_Territory,Duala_German_French,Colonial_Integration,Transition_Phase,20_50_160_250_500,Colonial_transition_coordination

