Date_BCE_CE,Civilization,Religious_Event_Type,Specific_Event,Religious_System_Before,Religious_System_After,Political_Impact,Social_Impact,Economic_Impact,Cycle_Correlation,Artificial_Engineering_Evidence,Scripture_Modifications,Paradigm_Shift_Mechanism
1300,Kongo_Traditional_Religion,Kongo_Religious_Foundation,Kongo_Traditional_Systematization,Tribal_Spirits,Kongo_Traditional_Religion,Royal_Traditional_Authority,Royal_Traditional_Society,Traditional_Royal_Economy,20_50_160_250_500,Kongo_traditional_systematization,Kongo_Religious_Codification,Royal_Traditional_Paradigm
1484,Kongo_Portuguese_Contact,Christian_Introduction,Portuguese_Missionary_Arrival,Kongo_Traditional_Religion,Christian_Traditional_Syncretism,Christian_Political_Influence,Christian_Social_Change,Christian_Economic_Integration,20_50_160_250_500,Christian_introduction_coordination,Christian_Text_Introduction,Christian_Contact_Paradigm
1491,Kongo_Christian_Conversion,Christian_State_Conversion,Royal_Christian_Conversion,Christian_Traditional_Syncretism,Kongo_Catholicism,Christian_State_Authority,Christian_Social_Transformation,Christian_Economic_System,20_50_160_250_500,Christian_conversion_coordination,Catholic_State_Codification,Christian_State_Paradigm
1500,Kongo_Catholic_Peak,Catholic_Imperial_Religion,Catholic_Imperial_Systematization,Kongo_Catholicism,Kongo_Imperial_Catholicism,Imperial_Catholic_Authority,Imperial_Catholic_Hierarchy,Imperial_Catholic_Economy,20_50_160_250_500,Catholic_imperial_coordination,Catholic_Imperial_Codification,Catholic_Imperial_Paradigm
1600,Kongo_Religious_Syncretism,Syncretic_Religion_Development,Catholic_Traditional_Synthesis,Kongo_Imperial_Catholicism,Kongo_Syncretic_Religion,Syncretic_Religious_Authority,Syncretic_Religious_Society,Syncretic_Religious_Economy,20_50_160_250_500,Religious_syncretism_coordination,Syncretic_Religious_Texts,Religious_Syncretism_Paradigm
1700,Kongo_Religious_Fragmentation,Religious_Fragmentation,Religious_Authority_Fragmentation,Kongo_Syncretic_Religion,Fragmented_Religion,Fragmented_Religious_Authority,Fragmented_Religious_Society,Fragmented_Religious_Economy,20_50_160_250_500,Religious_fragmentation_coordination,Religious_Fragmentation_Texts,Religious_Fragmentation_Paradigm
1885,Congo_Colonial_Christianity,Colonial_Christian_Systematization,Colonial_Missionary_Systematization,Fragmented_Religion,Colonial_Christianity,Colonial_Christian_Authority,Colonial_Christian_Society,Colonial_Christian_Economy,20_50_160_250_500,Colonial_christian_systematization,Colonial_Christian_Texts,Colonial_Christian_Paradigm
1960,Congo_Independence_Christianity,Independence_Christian_Adaptation,Independence_Christian_Systematization,Colonial_Christianity,Independence_Christianity,Independence_Christian_Authority,Independence_Christian_Society,Independence_Christian_Economy,20_50_160_250_500,Independence_christian_coordination,Independence_Christian_Texts,Independence_Christian_Paradigm
1400,Luba_Religious_Foundation,Luba_Religion_Systematization,Luba_Divine_Kingship,Tribal_Spirits,Luba_Divine_Religion,Divine_Royal_Authority,Divine_Royal_Society,Divine_Royal_Economy,20_50_160_250_500,Luba_divine_systematization,Luba_Divine_Codification,Divine_Kingship_Paradigm
1600,Luba_Religious_Peak,Luba_Religious_Systematization,Luba_Pantheon_Development,Luba_Divine_Religion,Luba_Imperial_Religion,Imperial_Divine_Authority,Imperial_Divine_Society,Imperial_Divine_Economy,20_50_160_250_500,Luba_religious_peak_coordination,Luba_Imperial_Codification,Imperial_Divine_Paradigm
1800,Luba_Religious_Decline,Luba_Religious_Decline,Luba_Religious_Fragmentation,Luba_Imperial_Religion,Fragmented_Luba_Religion,Fragmented_Religious_Authority,Fragmented_Religious_Society,Fragmented_Religious_Economy,20_50_160_250_500,Luba_religious_decline_coordination,Luba_Religious_Fragmentation,Religious_Decline_Paradigm
1500,Lunda_Religious_Foundation,Lunda_Religion_Systematization,Lunda_Divine_Kingship,Tribal_Spirits,Lunda_Divine_Religion,Divine_Royal_Authority,Divine_Royal_Society,Divine_Royal_Economy,20_50_160_250_500,Lunda_divine_systematization,Lunda_Divine_Codification,Divine_Kingship_Paradigm
1700,Lunda_Religious_Peak,Lunda_Religious_Systematization,Lunda_Pantheon_Development,Lunda_Divine_Religion,Lunda_Imperial_Religion,Imperial_Divine_Authority,Imperial_Divine_Society,Imperial_Divine_Economy,20_50_160_250_500,Lunda_religious_peak_coordination,Lunda_Imperial_Codification,Imperial_Divine_Paradigm
1850,Lunda_Religious_Decline,Lunda_Religious_Decline,Lunda_Religious_Fragmentation,Lunda_Imperial_Religion,Fragmented_Lunda_Religion,Fragmented_Religious_Authority,Fragmented_Religious_Society,Fragmented_Religious_Economy,20_50_160_250_500,Lunda_religious_decline_coordination,Lunda_Religious_Fragmentation,Religious_Decline_Paradigm
1600,Ndongo_Religious_Foundation,Ndongo_Religion_Systematization,Ndongo_Warrior_Religion,Tribal_Spirits,Ndongo_Warrior_Religion,Warrior_Religious_Authority,Warrior_Religious_Society,Warrior_Religious_Economy,20_50_160_250_500,Ndongo_warrior_systematization,Ndongo_Warrior_Codification,Warrior_Religious_Paradigm
1641,Ndongo_Christian_Contact,Christian_Resistance_Religion,Christian_Resistance_Systematization,Ndongo_Warrior_Religion,Ndongo_Christian_Resistance,Resistance_Christian_Authority,Resistance_Christian_Society,Resistance_Christian_Economy,20_50_160_250_500,Christian_resistance_coordination,Christian_Resistance_Texts,Christian_Resistance_Paradigm
1700,Ndongo_Religious_Decline,Ndongo_Religious_Decline,Ndongo_Religious_Fragmentation,Ndongo_Christian_Resistance,Fragmented_Ndongo_Religion,Fragmented_Religious_Authority,Fragmented_Religious_Society,Fragmented_Religious_Economy,20_50_160_250_500,Ndongo_religious_decline_coordination,Ndongo_Religious_Fragmentation,Religious_Decline_Paradigm
1600,Matamba_Religious_Foundation,Matamba_Religion_Systematization,Matamba_Warrior_Religion,Tribal_Spirits,Matamba_Warrior_Religion,Warrior_Religious_Authority,Warrior_Religious_Society,Warrior_Religious_Economy,20_50_160_250_500,Matamba_warrior_systematization,Matamba_Warrior_Codification,Warrior_Religious_Paradigm
1641,Matamba_Christian_Resistance,Christian_Resistance_Religion,Nzinga_Christian_Resistance,Matamba_Warrior_Religion,Matamba_Christian_Resistance,Female_Resistance_Authority,Female_Resistance_Society,Female_Resistance_Economy,20_50_160_250_500,Female_resistance_coordination,Female_Resistance_Texts,Female_Resistance_Paradigm
1750,Matamba_Religious_Decline,Matamba_Religious_Decline,Matamba_Religious_Fragmentation,Matamba_Christian_Resistance,Fragmented_Matamba_Religion,Fragmented_Religious_Authority,Fragmented_Religious_Society,Fragmented_Religious_Economy,20_50_160_250_500,Matamba_religious_decline_coordination,Matamba_Religious_Fragmentation,Religious_Decline_Paradigm
1500,Kuba_Religious_Foundation,Kuba_Religion_Systematization,Kuba_Artistic_Religion,Tribal_Spirits,Kuba_Artistic_Religion,Artistic_Religious_Authority,Artistic_Religious_Society,Artistic_Religious_Economy,20_50_160_250_500,Kuba_artistic_systematization,Kuba_Artistic_Codification,Artistic_Religious_Paradigm
1700,Kuba_Religious_Peak,Kuba_Religious_Systematization,Kuba_Pantheon_Development,Kuba_Artistic_Religion,Kuba_Imperial_Religion,Imperial_Artistic_Authority,Imperial_Artistic_Society,Imperial_Artistic_Economy,20_50_160_250_500,Kuba_religious_peak_coordination,Kuba_Imperial_Codification,Imperial_Artistic_Paradigm
1900,Kuba_Religious_Decline,Kuba_Religious_Decline,Kuba_Religious_Fragmentation,Kuba_Imperial_Religion,Fragmented_Kuba_Religion,Fragmented_Religious_Authority,Fragmented_Religious_Society,Fragmented_Religious_Economy,20_50_160_250_500,Kuba_religious_decline_coordination,Kuba_Religious_Fragmentation,Religious_Decline_Paradigm
1400,Chokwe_Religious_Foundation,Chokwe_Religion_Systematization,Chokwe_Warrior_Religion,Tribal_Spirits,Chokwe_Warrior_Religion,Warrior_Religious_Authority,Warrior_Religious_Society,Warrior_Religious_Economy,20_50_160_250_500,Chokwe_warrior_systematization,Chokwe_Warrior_Codification,Warrior_Religious_Paradigm
1700,Chokwe_Religious_Peak,Chokwe_Religious_Systematization,Chokwe_Pantheon_Development,Chokwe_Warrior_Religion,Chokwe_Imperial_Religion,Imperial_Warrior_Authority,Imperial_Warrior_Society,Imperial_Warrior_Economy,20_50_160_250_500,Chokwe_religious_peak_coordination,Chokwe_Imperial_Codification,Imperial_Warrior_Paradigm
1900,Chokwe_Colonial_Christianity,Colonial_Christian_Integration,Colonial_Christian_Systematization,Chokwe_Imperial_Religion,Chokwe_Colonial_Christianity,Colonial_Christian_Authority,Colonial_Christian_Society,Colonial_Christian_Economy,20_50_160_250_500,Chokwe_colonial_christian_coordination,Colonial_Christian_Texts,Colonial_Christian_Paradigm
1500,Azande_Religious_Foundation,Azande_Religion_Systematization,Azande_Warrior_Religion,Tribal_Spirits,Azande_Warrior_Religion,Warrior_Religious_Authority,Warrior_Religious_Society,Warrior_Religious_Economy,20_50_160_250_500,Azande_warrior_systematization,Azande_Warrior_Codification,Warrior_Religious_Paradigm
1700,Azande_Religious_Peak,Azande_Religious_Systematization,Azande_Pantheon_Development,Azande_Warrior_Religion,Azande_Imperial_Religion,Imperial_Warrior_Authority,Imperial_Warrior_Society,Imperial_Warrior_Economy,20_50_160_250_500,Azande_religious_peak_coordination,Azande_Imperial_Codification,Imperial_Warrior_Paradigm
1900,Azande_Colonial_Christianity,Colonial_Christian_Integration,Colonial_Christian_Systematization,Azande_Imperial_Religion,Azande_Colonial_Christianity,Colonial_Christian_Authority,Colonial_Christian_Society,Colonial_Christian_Economy,20_50_160_250_500,Azande_colonial_christian_coordination,Colonial_Christian_Texts,Colonial_Christian_Paradigm
1600,Mangbetu_Religious_Foundation,Mangbetu_Religion_Systematization,Mangbetu_Artistic_Religion,Tribal_Spirits,Mangbetu_Artistic_Religion,Artistic_Religious_Authority,Artistic_Religious_Society,Artistic_Religious_Economy,20_50_160_250_500,Mangbetu_artistic_systematization,Mangbetu_Artistic_Codification,Artistic_Religious_Paradigm
1800,Mangbetu_Religious_Peak,Mangbetu_Religious_Systematization,Mangbetu_Pantheon_Development,Mangbetu_Artistic_Religion,Mangbetu_Imperial_Religion,Imperial_Artistic_Authority,Imperial_Artistic_Society,Imperial_Artistic_Economy,20_50_160_250_500,Mangbetu_religious_peak_coordination,Mangbetu_Imperial_Codification,Imperial_Artistic_Paradigm
1900,Mangbetu_Colonial_Christianity,Colonial_Christian_Integration,Colonial_Christian_Systematization,Mangbetu_Imperial_Religion,Mangbetu_Colonial_Christianity,Colonial_Christian_Authority,Colonial_Christian_Society,Colonial_Christian_Economy,20_50_160_250_500,Mangbetu_colonial_christian_coordination,Colonial_Christian_Texts,Colonial_Christian_Paradigm
1800,Banda_Religious_Foundation,Banda_Religion_Systematization,Banda_Warrior_Religion,Tribal_Spirits,Banda_Warrior_Religion,Warrior_Religious_Authority,Warrior_Religious_Society,Warrior_Religious_Economy,20_50_160_250_500,Banda_warrior_systematization,Banda_Warrior_Codification,Warrior_Religious_Paradigm
1900,Banda_Colonial_Christianity,Colonial_Christian_Integration,Colonial_Christian_Systematization,Banda_Warrior_Religion,Banda_Colonial_Christianity,Colonial_Christian_Authority,Colonial_Christian_Society,Colonial_Christian_Economy,20_50_160_250_500,Banda_colonial_christian_coordination,Colonial_Christian_Texts,Colonial_Christian_Paradigm
1960,CAR_Independence_Christianity,Independence_Christian_Adaptation,Independence_Christian_Systematization,Banda_Colonial_Christianity,CAR_Independence_Christianity,Independence_Christian_Authority,Independence_Christian_Society,Independence_Christian_Economy,20_50_160_250_500,CAR_independence_christian_coordination,Independence_Christian_Texts,Independence_Christian_Paradigm
1500,Fang_Religious_Foundation,Fang_Religion_Systematization,Fang_Migration_Religion,Tribal_Spirits,Fang_Migration_Religion,Migration_Religious_Authority,Migration_Religious_Society,Migration_Religious_Economy,20_50_160_250_500,Fang_migration_systematization,Fang_Migration_Codification,Migration_Religious_Paradigm
1800,Fang_Religious_Settlement,Fang_Religious_Systematization,Fang_Settlement_Religion,Fang_Migration_Religion,Fang_Settlement_Religion,Settlement_Religious_Authority,Settlement_Religious_Society,Settlement_Religious_Economy,20_50_160_250_500,Fang_settlement_coordination,Fang_Settlement_Codification,Settlement_Religious_Paradigm
1900,Fang_Colonial_Christianity,Colonial_Christian_Integration,Colonial_Christian_Systematization,Fang_Settlement_Religion,Fang_Colonial_Christianity,Colonial_Christian_Authority,Colonial_Christian_Society,Colonial_Christian_Economy,20_50_160_250_500,Fang_colonial_christian_coordination,Colonial_Christian_Texts,Colonial_Christian_Paradigm
1600,Beti_Religious_Foundation,Beti_Religion_Systematization,Beti_Forest_Religion,Tribal_Spirits,Beti_Forest_Religion,Forest_Religious_Authority,Forest_Religious_Society,Forest_Religious_Economy,20_50_160_250_500,Beti_forest_systematization,Beti_Forest_Codification,Forest_Religious_Paradigm
1800,Beti_Religious_Consolidation,Beti_Religious_Systematization,Beti_Consolidated_Religion,Beti_Forest_Religion,Beti_Consolidated_Religion,Consolidated_Religious_Authority,Consolidated_Religious_Society,Consolidated_Religious_Economy,20_50_160_250_500,Beti_consolidation_coordination,Beti_Consolidation_Codification,Consolidated_Religious_Paradigm
1900,Beti_Colonial_Christianity,Colonial_Christian_Integration,Colonial_Christian_Systematization,Beti_Consolidated_Religion,Beti_Colonial_Christianity,Colonial_Christian_Authority,Colonial_Christian_Society,Colonial_Christian_Economy,20_50_160_250_500,Beti_colonial_christian_coordination,Colonial_Christian_Texts,Colonial_Christian_Paradigm
1700,Duala_Religious_Foundation,Duala_Religion_Systematization,Duala_Trading_Religion,Tribal_Spirits,Duala_Trading_Religion,Trading_Religious_Authority,Trading_Religious_Society,Trading_Religious_Economy,20_50_160_250_500,Duala_trading_systematization,Duala_Trading_Codification,Trading_Religious_Paradigm
1850,Duala_Christian_Contact,Christian_Trading_Religion,Christian_Trading_Systematization,Duala_Trading_Religion,Duala_Christian_Trading,Christian_Trading_Authority,Christian_Trading_Society,Christian_Trading_Economy,20_50_160_250_500,Christian_trading_coordination,Christian_Trading_Texts,Christian_Trading_Paradigm
1900,Duala_Colonial_Christianity,Colonial_Christian_Integration,Colonial_Christian_Systematization,Duala_Christian_Trading,Duala_Colonial_Christianity,Colonial_Christian_Authority,Colonial_Christian_Society,Colonial_Christian_Economy,20_50_160_250_500,Duala_colonial_christian_coordination,Colonial_Christian_Texts,Colonial_Christian_Paradigm

