Date_BCE_CE,Civilization,Astronomical_Event_Type,Specific_Event,Civilizational_Transition,Religious_Impact,Political_Impact,Cycle_Correlation,Artificial_Engineering_Evidence,Observation_Method,Cultural_Interpretation,Predictive_Accuracy
1200,Kanem_Islamic_Conversion,Solar_Eclipse,Annular_Solar_Eclipse,Islamic_State_Conversion,Islamic_State_Conversion,Islamic_State_Authority,20_50_160_250_500,Islamic_conversion_coordination,Eclipse_Observation,Divine_Conversion_Sign,Conversion_Timing
1400,Kanem_Bornu_Empire,Comet_Appearance,Bright_Comet,Islamic_Imperial_Religion,Islamic_Imperial_Systematization,Imperial_Islamic_Authority,20_50_160_250_500,Islamic_imperial_coordination,Comet_Observation,Divine_Imperial_Blessing,Imperial_Timing
1600,Bornu_Consolidation,Lunar_Eclipse,Partial_Lunar_Eclipse,Islamic_Orthodox_Consolidation,Islamic_Orthodox_Systematization,Orthodox_Islamic_Authority,20_50_160_250_500,Islamic_orthodox_coordination,Eclipse_Observation,Divine_Orthodox_Sign,Consolidation_Timing
1800,Bornu_Decline,Solar_Eclipse,Total_Solar_Eclipse,Islamic_Reform_Movement,Islamic_Reform_Systematization,Reform_Islamic_Authority,20_50_160_250_500,Islamic_reform_coordination,Eclipse_Observation,Divine_Reform_Warning,Reform_Timing
1900,Bornu_Colonial,Comet_Appearance,Great_Comet,Colonial_Islamic_Integration,Colonial_Islamic_Adaptation,Colonial_Islamic_Authority,20_50_160_250_500,Colonial_islamic_coordination,Comet_Observation,Divine_Colonial_Sign,Colonial_Timing
1300,Kongo_Traditional_Religion,Solar_Eclipse,Partial_Solar_Eclipse,Kongo_Religious_Foundation,Kongo_Traditional_Systematization,Royal_Traditional_Authority,20_50_160_250_500,Kongo_traditional_coordination,Eclipse_Observation,Divine_Traditional_Sign,Foundation_Timing
1484,Kongo_Portuguese_Contact,Lunar_Eclipse,Total_Lunar_Eclipse,Christian_Introduction,Portuguese_Missionary_Arrival,Christian_Political_Influence,20_50_160_250_500,Christian_introduction_coordination,Eclipse_Observation,Divine_Christian_Sign,Contact_Timing
1491,Kongo_Christian_Conversion,Solar_Eclipse,Annular_Solar_Eclipse,Christian_State_Conversion,Royal_Christian_Conversion,Christian_State_Authority,20_50_160_250_500,Christian_conversion_coordination,Eclipse_Observation,Divine_Conversion_Sign,Conversion_Timing
1500,Kongo_Catholic_Peak,Venus_Transit,Venus_Solar_Transit,Catholic_Imperial_Religion,Catholic_Imperial_Systematization,Imperial_Catholic_Authority,20_50_160_250_500,Catholic_imperial_coordination,Transit_Observation,Divine_Imperial_Blessing,Imperial_Timing
1600,Kongo_Religious_Syncretism,Comet_Appearance,Bright_Comet,Syncretic_Religion_Development,Catholic_Traditional_Synthesis,Syncretic_Religious_Authority,20_50_160_250_500,Religious_syncretism_coordination,Comet_Observation,Divine_Syncretism_Sign,Syncretism_Timing
1700,Kongo_Religious_Fragmentation,Lunar_Eclipse,Partial_Lunar_Eclipse,Religious_Fragmentation,Religious_Authority_Fragmentation,Fragmented_Religious_Authority,20_50_160_250_500,Religious_fragmentation_coordination,Eclipse_Observation,Divine_Fragmentation_Warning,Fragmentation_Timing
1885,Congo_Colonial_Christianity,Solar_Eclipse,Total_Solar_Eclipse,Colonial_Christian_Systematization,Colonial_Missionary_Systematization,Colonial_Christian_Authority,20_50_160_250_500,Colonial_christian_coordination,Eclipse_Observation,Divine_Colonial_Sign,Colonial_Timing
1960,Congo_Independence_Christianity,Comet_Appearance,Great_Comet,Independence_Christian_Adaptation,Independence_Christian_Systematization,Independence_Christian_Authority,20_50_160_250_500,Independence_christian_coordination,Comet_Observation,Divine_Independence_Sign,Independence_Timing
1400,Luba_Religious_Foundation,Solar_Eclipse,Partial_Solar_Eclipse,Luba_Religion_Systematization,Luba_Divine_Kingship,Divine_Royal_Authority,20_50_160_250_500,Luba_divine_coordination,Eclipse_Observation,Divine_Kingship_Sign,Foundation_Timing
1600,Luba_Religious_Peak,Lunar_Eclipse,Total_Lunar_Eclipse,Luba_Religious_Systematization,Luba_Pantheon_Development,Imperial_Divine_Authority,20_50_160_250_500,Luba_religious_peak_coordination,Eclipse_Observation,Divine_Peak_Blessing,Peak_Timing
1800,Luba_Religious_Decline,Comet_Appearance,Bright_Comet,Luba_Religious_Decline,Luba_Religious_Fragmentation,Fragmented_Religious_Authority,20_50_160_250_500,Luba_religious_decline_coordination,Comet_Observation,Divine_Decline_Warning,Decline_Timing
1500,Lunda_Religious_Foundation,Solar_Eclipse,Annular_Solar_Eclipse,Lunda_Religion_Systematization,Lunda_Divine_Kingship,Divine_Royal_Authority,20_50_160_250_500,Lunda_divine_coordination,Eclipse_Observation,Divine_Kingship_Sign,Foundation_Timing
1700,Lunda_Religious_Peak,Lunar_Eclipse,Partial_Lunar_Eclipse,Lunda_Religious_Systematization,Lunda_Pantheon_Development,Imperial_Divine_Authority,20_50_160_250_500,Lunda_religious_peak_coordination,Eclipse_Observation,Divine_Peak_Blessing,Peak_Timing
1850,Lunda_Religious_Decline,Comet_Appearance,Great_Comet,Lunda_Religious_Decline,Lunda_Religious_Fragmentation,Fragmented_Religious_Authority,20_50_160_250_500,Lunda_religious_decline_coordination,Comet_Observation,Divine_Decline_Warning,Decline_Timing
1600,Ndongo_Religious_Foundation,Solar_Eclipse,Total_Solar_Eclipse,Ndongo_Religion_Systematization,Ndongo_Warrior_Religion,Warrior_Religious_Authority,20_50_160_250_500,Ndongo_warrior_coordination,Eclipse_Observation,Divine_Warrior_Sign,Foundation_Timing
1641,Ndongo_Christian_Contact,Lunar_Eclipse,Total_Lunar_Eclipse,Christian_Resistance_Religion,Christian_Resistance_Systematization,Resistance_Christian_Authority,20_50_160_250_500,Christian_resistance_coordination,Eclipse_Observation,Divine_Resistance_Sign,Contact_Timing
1700,Ndongo_Religious_Decline,Comet_Appearance,Bright_Comet,Ndongo_Religious_Decline,Ndongo_Religious_Fragmentation,Fragmented_Religious_Authority,20_50_160_250_500,Ndongo_religious_decline_coordination,Comet_Observation,Divine_Decline_Warning,Decline_Timing
1600,Matamba_Religious_Foundation,Solar_Eclipse,Partial_Solar_Eclipse,Matamba_Religion_Systematization,Matamba_Warrior_Religion,Warrior_Religious_Authority,20_50_160_250_500,Matamba_warrior_coordination,Eclipse_Observation,Divine_Warrior_Sign,Foundation_Timing
1641,Matamba_Christian_Resistance,Mars_Opposition,Mars_Close_Approach,Christian_Resistance_Religion,Nzinga_Christian_Resistance,Female_Resistance_Authority,20_50_160_250_500,Female_resistance_coordination,Planetary_Observation,War_Goddess_Activation,Resistance_Timing
1750,Matamba_Religious_Decline,Comet_Appearance,Great_Comet,Matamba_Religious_Decline,Matamba_Religious_Fragmentation,Fragmented_Religious_Authority,20_50_160_250_500,Matamba_religious_decline_coordination,Comet_Observation,Divine_Decline_Warning,Decline_Timing
1500,Kuba_Religious_Foundation,Solar_Eclipse,Annular_Solar_Eclipse,Kuba_Religion_Systematization,Kuba_Artistic_Religion,Artistic_Religious_Authority,20_50_160_250_500,Kuba_artistic_coordination,Eclipse_Observation,Divine_Artistic_Sign,Foundation_Timing
1700,Kuba_Religious_Peak,Lunar_Eclipse,Total_Lunar_Eclipse,Kuba_Religious_Systematization,Kuba_Pantheon_Development,Imperial_Artistic_Authority,20_50_160_250_500,Kuba_religious_peak_coordination,Eclipse_Observation,Divine_Peak_Blessing,Peak_Timing
1900,Kuba_Religious_Decline,Comet_Appearance,Bright_Comet,Kuba_Religious_Decline,Kuba_Religious_Fragmentation,Fragmented_Religious_Authority,20_50_160_250_500,Kuba_religious_decline_coordination,Comet_Observation,Divine_Decline_Warning,Decline_Timing
1400,Chokwe_Religious_Foundation,Solar_Eclipse,Total_Solar_Eclipse,Chokwe_Religion_Systematization,Chokwe_Warrior_Religion,Warrior_Religious_Authority,20_50_160_250_500,Chokwe_warrior_coordination,Eclipse_Observation,Divine_Warrior_Sign,Foundation_Timing
1700,Chokwe_Religious_Peak,Lunar_Eclipse,Partial_Lunar_Eclipse,Chokwe_Religious_Systematization,Chokwe_Pantheon_Development,Imperial_Warrior_Authority,20_50_160_250_500,Chokwe_religious_peak_coordination,Eclipse_Observation,Divine_Peak_Blessing,Peak_Timing
1900,Chokwe_Colonial_Christianity,Comet_Appearance,Great_Comet,Colonial_Christian_Integration,Colonial_Christian_Systematization,Colonial_Christian_Authority,20_50_160_250_500,Chokwe_colonial_christian_coordination,Comet_Observation,Divine_Colonial_Sign,Colonial_Timing
1500,Azande_Religious_Foundation,Solar_Eclipse,Partial_Solar_Eclipse,Azande_Religion_Systematization,Azande_Warrior_Religion,Warrior_Religious_Authority,20_50_160_250_500,Azande_warrior_coordination,Eclipse_Observation,Divine_Warrior_Sign,Foundation_Timing
1700,Azande_Religious_Peak,Lunar_Eclipse,Total_Lunar_Eclipse,Azande_Religious_Systematization,Azande_Pantheon_Development,Imperial_Warrior_Authority,20_50_160_250_500,Azande_religious_peak_coordination,Eclipse_Observation,Divine_Peak_Blessing,Peak_Timing
1900,Azande_Colonial_Christianity,Comet_Appearance,Bright_Comet,Colonial_Christian_Integration,Colonial_Christian_Systematization,Colonial_Christian_Authority,20_50_160_250_500,Azande_colonial_christian_coordination,Comet_Observation,Divine_Colonial_Sign,Colonial_Timing
1600,Mangbetu_Religious_Foundation,Solar_Eclipse,Annular_Solar_Eclipse,Mangbetu_Religion_Systematization,Mangbetu_Artistic_Religion,Artistic_Religious_Authority,20_50_160_250_500,Mangbetu_artistic_coordination,Eclipse_Observation,Divine_Artistic_Sign,Foundation_Timing
1800,Mangbetu_Religious_Peak,Lunar_Eclipse,Partial_Lunar_Eclipse,Mangbetu_Religious_Systematization,Mangbetu_Pantheon_Development,Imperial_Artistic_Authority,20_50_160_250_500,Mangbetu_religious_peak_coordination,Eclipse_Observation,Divine_Peak_Blessing,Peak_Timing
1900,Mangbetu_Colonial_Christianity,Comet_Appearance,Great_Comet,Colonial_Christian_Integration,Colonial_Christian_Systematization,Colonial_Christian_Authority,20_50_160_250_500,Mangbetu_colonial_christian_coordination,Comet_Observation,Divine_Colonial_Sign,Colonial_Timing
1800,Banda_Religious_Foundation,Solar_Eclipse,Total_Solar_Eclipse,Banda_Religion_Systematization,Banda_Warrior_Religion,Warrior_Religious_Authority,20_50_160_250_500,Banda_warrior_coordination,Eclipse_Observation,Divine_Warrior_Sign,Foundation_Timing
1900,Banda_Colonial_Christianity,Comet_Appearance,Bright_Comet,Colonial_Christian_Integration,Colonial_Christian_Systematization,Colonial_Christian_Authority,20_50_160_250_500,Banda_colonial_christian_coordination,Comet_Observation,Divine_Colonial_Sign,Colonial_Timing
1960,CAR_Independence_Christianity,Solar_Eclipse,Partial_Solar_Eclipse,Independence_Christian_Adaptation,Independence_Christian_Systematization,Independence_Christian_Authority,20_50_160_250_500,CAR_independence_christian_coordination,Eclipse_Observation,Divine_Independence_Sign,Independence_Timing
1500,Fang_Religious_Foundation,Solar_Eclipse,Annular_Solar_Eclipse,Fang_Religion_Systematization,Fang_Migration_Religion,Migration_Religious_Authority,20_50_160_250_500,Fang_migration_coordination,Eclipse_Observation,Divine_Migration_Sign,Foundation_Timing
1800,Fang_Religious_Settlement,Lunar_Eclipse,Total_Lunar_Eclipse,Fang_Religious_Systematization,Fang_Settlement_Religion,Settlement_Religious_Authority,20_50_160_250_500,Fang_settlement_coordination,Eclipse_Observation,Divine_Settlement_Sign,Settlement_Timing
1900,Fang_Colonial_Christianity,Comet_Appearance,Great_Comet,Colonial_Christian_Integration,Colonial_Christian_Systematization,Colonial_Christian_Authority,20_50_160_250_500,Fang_colonial_christian_coordination,Comet_Observation,Divine_Colonial_Sign,Colonial_Timing
1600,Beti_Religious_Foundation,Solar_Eclipse,Total_Solar_Eclipse,Beti_Religion_Systematization,Beti_Forest_Religion,Forest_Religious_Authority,20_50_160_250_500,Beti_forest_coordination,Eclipse_Observation,Divine_Forest_Sign,Foundation_Timing
1800,Beti_Religious_Consolidation,Lunar_Eclipse,Partial_Lunar_Eclipse,Beti_Religious_Systematization,Beti_Consolidated_Religion,Consolidated_Religious_Authority,20_50_160_250_500,Beti_consolidation_coordination,Eclipse_Observation,Divine_Consolidation_Sign,Consolidation_Timing
1900,Beti_Colonial_Christianity,Comet_Appearance,Bright_Comet,Colonial_Christian_Integration,Colonial_Christian_Systematization,Colonial_Christian_Authority,20_50_160_250_500,Beti_colonial_christian_coordination,Comet_Observation,Divine_Colonial_Sign,Colonial_Timing
1700,Duala_Religious_Foundation,Solar_Eclipse,Partial_Solar_Eclipse,Duala_Religion_Systematization,Duala_Trading_Religion,Trading_Religious_Authority,20_50_160_250_500,Duala_trading_coordination,Eclipse_Observation,Divine_Trading_Sign,Foundation_Timing
1850,Duala_Christian_Contact,Lunar_Eclipse,Total_Lunar_Eclipse,Christian_Trading_Religion,Christian_Trading_Systematization,Christian_Trading_Authority,20_50_160_250_500,Christian_trading_coordination,Eclipse_Observation,Divine_Trading_Sign,Contact_Timing
1900,Duala_Colonial_Christianity,Comet_Appearance,Great_Comet,Colonial_Christian_Integration,Colonial_Christian_Systematization,Colonial_Christian_Authority,20_50_160_250_500,Duala_colonial_christian_coordination,Comet_Observation,Divine_Colonial_Sign,Colonial_Timing
1960,Cameroon_Independence,Solar_Eclipse,Annular_Solar_Eclipse,Independence_Christian_Adaptation,Independence_Christian_Systematization,Independence_Christian_Authority,20_50_160_250_500,Cameroon_independence_coordination,Eclipse_Observation,Divine_Independence_Sign,Independence_Timing
1968,Equatorial_Guinea_Independence,Lunar_Eclipse,Partial_Lunar_Eclipse,Independence_Christian_Adaptation,Independence_Christian_Systematization,Independence_Christian_Authority,20_50_160_250_500,Equatorial_guinea_independence_coordination,Eclipse_Observation,Divine_Independence_Sign,Independence_Timing
1960,Gabon_Independence,Solar_Eclipse,Total_Solar_Eclipse,Independence_Christian_Adaptation,Independence_Christian_Systematization,Independence_Christian_Authority,20_50_160_250_500,Gabon_independence_coordination,Eclipse_Observation,Divine_Independence_Sign,Independence_Timing
1960,Chad_Independence,Comet_Appearance,Bright_Comet,Independence_Christian_Adaptation,Independence_Christian_Systematization,Independence_Christian_Authority,20_50_160_250_500,Chad_independence_coordination,Comet_Observation,Divine_Independence_Sign,Independence_Timing
1975,Angola_Independence,Solar_Eclipse,Partial_Solar_Eclipse,Independence_Christian_Adaptation,Independence_Christian_Systematization,Independence_Christian_Authority,20_50_160_250_500,Angola_independence_coordination,Eclipse_Observation,Divine_Independence_Sign,Independence_Timing
1975,Angola_Socialist_Republic,Lunar_Eclipse,Total_Lunar_Eclipse,Socialist_Secularization,Socialist_Systematization,Socialist_Authority,20_50_160_250_500,Socialist_revolution_coordination,Eclipse_Observation,Divine_Revolution_Sign,Revolution_Timing
1990,Angola_Democratic_Transition,Comet_Appearance,Great_Comet,Democratic_Transition,Democratic_Systematization,Democratic_Authority,20_50_160_250_500,Democratic_transition_coordination,Comet_Observation,Divine_Transition_Sign,Transition_Timing
1964,Zambia_Independence,Solar_Eclipse,Annular_Solar_Eclipse,Independence_Christian_Adaptation,Independence_Christian_Systematization,Independence_Christian_Authority,20_50_160_250_500,Zambia_independence_coordination,Eclipse_Observation,Divine_Independence_Sign,Independence_Timing
1972,Zambia_One_Party_State,Lunar_Eclipse,Partial_Lunar_Eclipse,One_Party_Systematization,One_Party_Systematization,One_Party_Authority,20_50_160_250_500,One_party_coordination,Eclipse_Observation,Divine_One_Party_Sign,One_Party_Timing
1991,Zambia_Democratic_Transition,Comet_Appearance,Bright_Comet,Democratic_Transition,Democratic_Systematization,Democratic_Authority,20_50_160_250_500,Democratic_transition_coordination,Comet_Observation,Divine_Transition_Sign,Transition_Timing

