Date_BCE_CE,Civilization,Political_System_Type,Governance_Structure,Power_Source,Succession_Method,Administrative_System,Military_Organization,Legal_System,Taxation_System,Diplomatic_Relations,Monarchy_Socialism_Stage,Cycle_Alignment,Transition_Mechanism
1650,Ndongo_Portuguese_Wars,Resistance_Monarchy,Resistance_Leadership,Resistance_Authority,Resistance_Succession,Resistance_Administration,Resistance_Army,Resistance_Law,Resistance_Taxation,Resistance_Relations,Stage_29_Resistance_Monarchy,20_50_160_250_500,Resistance_Political_Mobilization
1700,Ndongo_Decline,Declining_Monarchy,Declining_Leadership,Declining_Authority,Declining_Succession,Declining_Administration,Declining_Army,Declining_Law,Declining_Taxation,Declining_Relations,Stage_30_Declining_Monarchy,20_50_160_250_500,Warrior_Political_Decline
1600,Matamba_Kingdom,Warrior_Monarchy,Warrior_Leadership,Warrior_Authority,Warrior_Succession,Warrior_Administration,Warrior_Army,Warrior_Law,Warrior_Taxation,Warrior_Relations,Stage_31_Warrior_Monarchy,20_50_160_250_500,Warrior_Political_Foundation
1650,Matamba_Nzinga_Resistance,Female_Resistance_Monarchy,Female_Resistance_Leadership,Female_Resistance_Authority,Female_Resistance_Succession,Female_Resistance_Administration,Female_Resistance_Army,Female_Resistance_Law,Female_Resistance_Taxation,Female_Resistance_Relations,Stage_32_Female_Resistance_Monarchy,20_50_160_250_500,Female_Resistance_Political_Peak
1750,Matamba_Decline,Declining_Monarchy,Declining_Leadership,Declining_Authority,Declining_Succession,Declining_Administration,Declining_Army,Declining_Law,Declining_Taxation,Declining_Relations,Stage_33_Declining_Monarchy,20_50_160_250_500,Female_Political_Decline
1500,Kuba_Kingdom_Foundation,Artistic_Monarchy,Artistic_Leadership,Artistic_Authority,Artistic_Succession,Artistic_Administration,Artistic_Army,Artistic_Law,Artistic_Taxation,Artistic_Relations,Stage_34_Artistic_Monarchy,20_50_160_250_500,Artistic_Political_Foundation
1700,Kuba_Kingdom_Peak,Artistic_Imperial_Monarchy,Artistic_Imperial_Leadership,Artistic_Imperial_Authority,Artistic_Imperial_Succession,Artistic_Imperial_Administration,Artistic_Imperial_Army,Artistic_Imperial_Law,Artistic_Imperial_Taxation,Artistic_Imperial_Relations,Stage_35_Artistic_Imperial_Monarchy,20_50_160_250_500,Artistic_Political_Peak
1900,Kuba_Kingdom_Decline,Declining_Artistic_Monarchy,Declining_Artistic_Leadership,Declining_Artistic_Authority,Declining_Artistic_Succession,Declining_Artistic_Administration,Declining_Artistic_Army,Declining_Artistic_Law,Declining_Artistic_Taxation,Declining_Artistic_Relations,Stage_36_Declining_Artistic_Monarchy,20_50_160_250_500,Artistic_Political_Decline
1400,Chokwe_Expansion,Warrior_Chieftains,Warrior_Leadership,Warrior_Authority,Warrior_Succession,Warrior_Administration,Warrior_Army,Warrior_Law,Warrior_Taxation,Warrior_Relations,Stage_37_Warrior_Chieftains,20_50_160_250_500,Warrior_Political_Expansion
1700,Chokwe_Peak,Warrior_Confederation,Warrior_Confederated_Leadership,Warrior_Confederated_Authority,Warrior_Confederated_Succession,Warrior_Confederated_Administration,Warrior_Confederated_Army,Warrior_Confederated_Law,Warrior_Confederated_Taxation,Warrior_Confederated_Relations,Stage_38_Warrior_Confederation,20_50_160_250_500,Warrior_Political_Peak
1900,Chokwe_Colonial,Colonial_Administration,Colonial_Leadership,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_39_Colonial_Administration,20_50_160_250_500,Colonial_Political_Integration
1500,Azande_Kingdom,Warrior_Monarchy,Warrior_Leadership,Warrior_Authority,Warrior_Succession,Warrior_Administration,Warrior_Army,Warrior_Law,Warrior_Taxation,Warrior_Relations,Stage_40_Warrior_Monarchy,20_50_160_250_500,Warrior_Political_Foundation
1700,Azande_Expansion,Expansionist_Monarchy,Expansionist_Leadership,Expansionist_Authority,Expansionist_Succession,Expansionist_Administration,Expansionist_Army,Expansionist_Law,Expansionist_Taxation,Expansionist_Relations,Stage_41_Expansionist_Monarchy,20_50_160_250_500,Expansionist_Political_Peak
1900,Azande_Colonial,Colonial_Administration,Colonial_Leadership,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_42_Colonial_Administration,20_50_160_250_500,Colonial_Political_Integration
1600,Mangbetu_Kingdom,Artistic_Monarchy,Artistic_Leadership,Artistic_Authority,Artistic_Succession,Artistic_Administration,Artistic_Army,Artistic_Law,Artistic_Taxation,Artistic_Relations,Stage_43_Artistic_Monarchy,20_50_160_250_500,Artistic_Political_Foundation
1800,Mangbetu_Peak,Artistic_Imperial_Monarchy,Artistic_Imperial_Leadership,Artistic_Imperial_Authority,Artistic_Imperial_Succession,Artistic_Imperial_Administration,Artistic_Imperial_Army,Artistic_Imperial_Law,Artistic_Imperial_Taxation,Artistic_Imperial_Relations,Stage_44_Artistic_Imperial_Monarchy,20_50_160_250_500,Artistic_Political_Peak
1900,Mangbetu_Colonial,Colonial_Administration,Colonial_Leadership,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_45_Colonial_Administration,20_50_160_250_500,Colonial_Political_Integration
1800,Banda_Chieftains,Warrior_Chieftains,Warrior_Leadership,Warrior_Authority,Warrior_Succession,Warrior_Administration,Warrior_Army,Warrior_Law,Warrior_Taxation,Warrior_Relations,Stage_46_Warrior_Chieftains,20_50_160_250_500,Warrior_Political_Foundation
1900,Banda_Colonial,Colonial_Administration,Colonial_Leadership,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_47_Colonial_Administration,20_50_160_250_500,Colonial_Political_Integration
1960,Central_African_Republic,Independent_Republic,Republican_Leadership,Republican_Authority,Democratic_Elections,Republican_Administration,National_Army,Republican_Law,Republican_Taxation,Republican_Diplomacy,Stage_48_Independent_Republic,20_50_160_250_500,Republican_Political_Independence
1500,Fang_Migration,Migrating_Clans,Migration_Leadership,Migration_Authority,Migration_Succession,Migration_Administration,Migration_Warriors,Migration_Law,Migration_Taxation,Migration_Relations,Stage_49_Migration_Leadership,20_50_160_250_500,Migration_Political_Organization
1800,Fang_Settlement,Settled_Chieftains,Settled_Leadership,Settled_Authority,Settled_Succession,Settled_Administration,Settled_Warriors,Settled_Law,Settled_Taxation,Settled_Relations,Stage_50_Settled_Leadership,20_50_160_250_500,Settlement_Political_Organization
1900,Fang_Colonial,Colonial_Administration,Colonial_Leadership,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_51_Colonial_Administration,20_50_160_250_500,Colonial_Political_Integration
1600,Beti_Chieftains,Forest_Chieftains,Forest_Leadership,Forest_Authority,Forest_Succession,Forest_Administration,Forest_Warriors,Forest_Law,Forest_Taxation,Forest_Relations,Stage_52_Forest_Leadership,20_50_160_250_500,Forest_Political_Foundation
1800,Beti_Consolidation,Consolidated_Chieftains,Consolidated_Leadership,Consolidated_Authority,Consolidated_Succession,Consolidated_Administration,Consolidated_Warriors,Consolidated_Law,Consolidated_Taxation,Consolidated_Relations,Stage_53_Consolidated_Leadership,20_50_160_250_500,Forest_Political_Consolidation
1900,Beti_Colonial,Colonial_Administration,Colonial_Leadership,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_54_Colonial_Administration,20_50_160_250_500,Colonial_Political_Integration
1700,Duala_Trading,Trading_Chieftains,Trading_Leadership,Trading_Authority,Trading_Succession,Trading_Administration,Trading_Warriors,Trading_Law,Trading_Taxation,Trading_Relations,Stage_55_Trading_Leadership,20_50_160_250_500,Trading_Political_Foundation
1850,Duala_European_Contact,Trading_Monarchy,Trading_Leadership,Trading_Authority,Trading_Succession,Trading_Administration,Trading_Army,Trading_Law,Trading_Taxation,Trading_Relations,Stage_56_Trading_Monarchy,20_50_160_250_500,European_Trading_Integration
1900,Duala_Colonial,Colonial_Administration,Colonial_Leadership,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_57_Colonial_Administration,20_50_160_250_500,Colonial_Political_Integration
1960,Cameroon_Independence,Independent_Republic,Republican_Leadership,Republican_Authority,Democratic_Elections,Republican_Administration,National_Army,Republican_Law,Republican_Taxation,Republican_Diplomacy,Stage_58_Independent_Republic,20_50_160_250_500,Republican_Political_Independence
1968,Equatorial_Guinea_Independence,Independent_Republic,Republican_Leadership,Republican_Authority,Democratic_Elections,Republican_Administration,National_Army,Republican_Law,Republican_Taxation,Republican_Diplomacy,Stage_59_Independent_Republic,20_50_160_250_500,Republican_Political_Independence
1960,Gabon_Independence,Independent_Republic,Republican_Leadership,Republican_Authority,Democratic_Elections,Republican_Administration,National_Army,Republican_Law,Republican_Taxation,Republican_Diplomacy,Stage_60_Independent_Republic,20_50_160_250_500,Republican_Political_Independence
1960,Chad_Independence,Independent_Republic,Republican_Leadership,Republican_Authority,Democratic_Elections,Republican_Administration,National_Army,Republican_Law,Republican_Taxation,Republican_Diplomacy,Stage_61_Independent_Republic,20_50_160_250_500,Republican_Political_Independence
1975,Angola_Independence,Independent_Republic,Republican_Leadership,Republican_Authority,Democratic_Elections,Republican_Administration,National_Army,Republican_Law,Republican_Taxation,Republican_Diplomacy,Stage_62_Independent_Republic,20_50_160_250_500,Republican_Political_Independence
1975,Angola_Socialist_Republic,Socialist_Republic,Socialist_Leadership,Socialist_Authority,Party_Leadership,Socialist_Administration,People_Army,Socialist_Law,Socialist_Taxation,Socialist_Diplomacy,Stage_63_Socialist_Republic,20_50_160_250_500,Socialist_Political_Revolution
1990,Angola_Democratic_Transition,Democratic_Republic,Democratic_Leadership,Democratic_Authority,Democratic_Elections,Democratic_Administration,National_Army,Democratic_Law,Democratic_Taxation,Democratic_Diplomacy,Stage_64_Democratic_Republic,20_50_160_250_500,Democratic_Political_Transition
1964,Zambia_Independence,Independent_Republic,Republican_Leadership,Republican_Authority,Democratic_Elections,Republican_Administration,National_Army,Republican_Law,Republican_Taxation,Republican_Diplomacy,Stage_65_Independent_Republic,20_50_160_250_500,Republican_Political_Independence
1972,Zambia_One_Party_State,One_Party_State,One_Party_Leadership,One_Party_Authority,Party_Leadership,One_Party_Administration,Party_Army,One_Party_Law,One_Party_Taxation,One_Party_Diplomacy,Stage_66_One_Party_State,20_50_160_250_500,One_Party_Political_Systematization
1991,Zambia_Democratic_Transition,Democratic_Republic,Democratic_Leadership,Democratic_Authority,Democratic_Elections,Democratic_Administration,National_Army,Democratic_Law,Democratic_Taxation,Democratic_Diplomacy,Stage_67_Democratic_Republic,20_50_160_250_500,Democratic_Political_Transition

