Date_BCE_CE,Civilization,Economic_System_Type,Primary_Production,Trade_Networks,Currency_System,Financial_Institutions,Labor_Organization,Resource_Exploitation,Market_Structure,Economic_Policy,Wealth_Distribution,Cycle_Phase,Cycle_Alignment,Economic_Engineering_Evidence
1500,Azande_Kingdom,Warrior_Agricultural_Economy,Warrior_Agricultural_Production,Warrior_Agricultural_Trade,Warrior_Agricultural_Currency,Warrior_Agricultural_Finance,Warrior_Agricultural_Labor,Warrior_Agricultural_Resources,Warrior_Agricultural_Markets,Warrior_Agricultural_Policy,Warrior_Agricultural_Distribution,Birth_Phase,20_50_160_250_500,Warrior_agricultural_systematization
1700,Azande_Expansion,Expansionist_Economy,Expansionist_Production,Expansionist_Trade,Expansionist_Currency,Expansionist_Finance,Expansionist_Labor,Expansionist_Resources,Expansionist_Markets,Expansionist_Policy,Expansionist_Distribution,Peak_Phase,20_50_160_250_500,Expansionist_economy_coordination
1900,Azande_Colonial,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Distribution,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1600,Mangbetu_Kingdom,Artistic_Agricultural_Economy,Artistic_Agricultural_Production,Artistic_Agricultural_Trade,Artistic_Agricultural_Currency,Artistic_Agricultural_Finance,Artistic_Agricultural_Labor,Artistic_Agricultural_Resources,Artistic_Agricultural_Markets,Artistic_Agricultural_Policy,Artistic_Agricultural_Distribution,Birth_Phase,20_50_160_250_500,Artistic_agricultural_systematization
1800,Mangbetu_Peak,Artistic_Trade_Economy,Artistic_Trade_Production,Artistic_Trade_Commerce,Artistic_Trade_Currency,Artistic_Trade_Finance,Artistic_Trade_Labor,Artistic_Trade_Resources,Artistic_Trade_Markets,Artistic_Trade_Policy,Artistic_Trade_Distribution,Peak_Phase,20_50_160_250_500,Artistic_trade_peak_coordination
1900,Mangbetu_Colonial,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Distribution,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1800,Banda_Chieftains,Warrior_Agricultural_Economy,Warrior_Agricultural_Production,Warrior_Agricultural_Trade,Warrior_Agricultural_Currency,Warrior_Agricultural_Finance,Warrior_Agricultural_Labor,Warrior_Agricultural_Resources,Warrior_Agricultural_Markets,Warrior_Agricultural_Policy,Warrior_Agricultural_Distribution,Birth_Phase,20_50_160_250_500,Warrior_agricultural_systematization
1900,Banda_Colonial,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Distribution,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1960,Central_African_Republic,Post_Colonial_Economy,Post_Colonial_Production,Post_Colonial_Trade,Post_Colonial_Currency,Post_Colonial_Finance,Post_Colonial_Labor,Post_Colonial_Resources,Post_Colonial_Markets,Post_Colonial_Policy,Post_Colonial_Distribution,Independence_Phase,20_50_160_250_500,Post_colonial_economic_coordination
1500,Fang_Migration,Migration_Economy,Migration_Production,Migration_Trade,Migration_Currency,Migration_Finance,Migration_Labor,Migration_Resources,Migration_Markets,Migration_Policy,Migration_Distribution,Birth_Phase,20_50_160_250_500,Migration_economic_systematization
1800,Fang_Settlement,Settlement_Economy,Settlement_Production,Settlement_Trade,Settlement_Currency,Settlement_Finance,Settlement_Labor,Settlement_Resources,Settlement_Markets,Settlement_Policy,Settlement_Distribution,Growth_Phase,20_50_160_250_500,Settlement_economic_coordination
1900,Fang_Colonial,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Distribution,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1600,Beti_Chieftains,Forest_Economy,Forest_Production,Forest_Trade,Forest_Currency,Forest_Finance,Forest_Labor,Forest_Resources,Forest_Markets,Forest_Policy,Forest_Distribution,Birth_Phase,20_50_160_250_500,Forest_economic_systematization
1800,Beti_Consolidation,Consolidated_Forest_Economy,Consolidated_Forest_Production,Consolidated_Forest_Trade,Consolidated_Forest_Currency,Consolidated_Forest_Finance,Consolidated_Forest_Labor,Consolidated_Forest_Resources,Consolidated_Forest_Markets,Consolidated_Forest_Policy,Consolidated_Forest_Distribution,Growth_Phase,20_50_160_250_500,Forest_consolidation_coordination
1900,Beti_Colonial,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Distribution,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1700,Duala_Trading,Coastal_Trade_Economy,Coastal_Trade_Production,Coastal_Trade_Commerce,Coastal_Trade_Currency,Coastal_Trade_Finance,Coastal_Trade_Labor,Coastal_Trade_Resources,Coastal_Trade_Markets,Coastal_Trade_Policy,Coastal_Trade_Distribution,Birth_Phase,20_50_160_250_500,Coastal_trade_systematization
1850,Duala_European_Contact,European_Trade_Economy,European_Trade_Production,European_Trade_Commerce,European_Trade_Currency,European_Trade_Finance,European_Trade_Labor,European_Trade_Resources,European_Trade_Markets,European_Trade_Policy,European_Trade_Distribution,Growth_Phase,20_50_160_250_500,European_trade_coordination
1900,Duala_Colonial,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Distribution,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1960,Cameroon_Independence,Post_Colonial_Economy,Post_Colonial_Production,Post_Colonial_Trade,Post_Colonial_Currency,Post_Colonial_Finance,Post_Colonial_Labor,Post_Colonial_Resources,Post_Colonial_Markets,Post_Colonial_Policy,Post_Colonial_Distribution,Independence_Phase,20_50_160_250_500,Post_colonial_economic_coordination
1968,Equatorial_Guinea_Independence,Post_Colonial_Economy,Post_Colonial_Production,Post_Colonial_Trade,Post_Colonial_Currency,Post_Colonial_Finance,Post_Colonial_Labor,Post_Colonial_Resources,Post_Colonial_Markets,Post_Colonial_Policy,Post_Colonial_Distribution,Independence_Phase,20_50_160_250_500,Post_colonial_economic_coordination
1960,Gabon_Independence,Post_Colonial_Economy,Post_Colonial_Production,Post_Colonial_Trade,Post_Colonial_Currency,Post_Colonial_Finance,Post_Colonial_Labor,Post_Colonial_Resources,Post_Colonial_Markets,Post_Colonial_Policy,Post_Colonial_Distribution,Independence_Phase,20_50_160_250_500,Post_colonial_economic_coordination
1960,Chad_Independence,Post_Colonial_Economy,Post_Colonial_Production,Post_Colonial_Trade,Post_Colonial_Currency,Post_Colonial_Finance,Post_Colonial_Labor,Post_Colonial_Resources,Post_Colonial_Markets,Post_Colonial_Policy,Post_Colonial_Distribution,Independence_Phase,20_50_160_250_500,Post_colonial_economic_coordination
1975,Angola_Independence,Post_Colonial_Economy,Post_Colonial_Production,Post_Colonial_Trade,Post_Colonial_Currency,Post_Colonial_Finance,Post_Colonial_Labor,Post_Colonial_Resources,Post_Colonial_Markets,Post_Colonial_Policy,Post_Colonial_Distribution,Independence_Phase,20_50_160_250_500,Post_colonial_economic_coordination
1975,Angola_Socialist_Republic,Socialist_Economy,Socialist_Production,Socialist_Trade,Socialist_Currency,Socialist_Finance,Socialist_Labor,Socialist_Resources,Socialist_Markets,Socialist_Policy,Socialist_Distribution,Revolution_Phase,20_50_160_250_500,Socialist_economic_revolution_coordination
1990,Angola_Democratic_Transition,Market_Economy,Market_Production,Market_Trade,Market_Currency,Market_Finance,Market_Labor,Market_Resources,Market_Markets,Market_Policy,Market_Distribution,Transition_Phase,20_50_160_250_500,Market_economic_transition_coordination
1964,Zambia_Independence,Post_Colonial_Economy,Post_Colonial_Production,Post_Colonial_Trade,Post_Colonial_Currency,Post_Colonial_Finance,Post_Colonial_Labor,Post_Colonial_Resources,Post_Colonial_Markets,Post_Colonial_Policy,Post_Colonial_Distribution,Independence_Phase,20_50_160_250_500,Post_colonial_economic_coordination
1972,Zambia_One_Party_State,One_Party_Economy,One_Party_Production,One_Party_Trade,One_Party_Currency,One_Party_Finance,One_Party_Labor,One_Party_Resources,One_Party_Markets,One_Party_Policy,One_Party_Distribution,Systematization_Phase,20_50_160_250_500,One_party_economic_systematization
1991,Zambia_Democratic_Transition,Market_Economy,Market_Production,Market_Trade,Market_Currency,Market_Finance,Market_Labor,Market_Resources,Market_Markets,Market_Policy,Market_Distribution,Transition_Phase,20_50_160_250_500,Market_economic_transition_coordination

