Date_BCE_CE,Civilization,Political_System_Type,Governance_Structure,Power_Source,Succession_Method,Administrative_System,Military_Organization,Legal_System,Taxation_System,Diplomatic_Relations,Monarchy_Socialism_Stage,Cycle_Alignment,Transition_Mechanism
1500,Swahili_City_States,Portuguese_Conquest,Colonial_Administration,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Army,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_19_Colonial_Administration,20_50_160_250_500,Colonial_Political_Conquest
1300,Buganda_Kingdom,Ganda_Chieftains,Tribal_Confederation,Tribal_Authority,Tribal_Succession,Tribal_Administration,Tribal_Army,Tribal_Law,Tribal_Taxation,Tribal_Diplomacy,Stage_20_Tribal_Confederation,20_50_160_250_500,Tribal_Political_Confederation
1500,Buganda_Kingdom,Kabaka_Monarchy,Centralized_Monarchy,Centralized_Authority,Centralized_Succession,Centralized_Administration,Centralized_Army,Centralized_Law,Centralized_Taxation,Centralized_Diplomacy,Stage_21_Centralized_Monarchy,20_50_160_250_500,Centralized_Political_Organization
1750,Buganda_Kingdom,Expanded_Kingdom,Imperial_Kingdom,Imperial_Authority,Imperial_Succession,Imperial_Administration,Imperial_Army,Imperial_Law,Imperial_Taxation,Imperial_Diplomacy,Stage_22_Imperial_Kingdom,20_50_160_250_500,Imperial_Political_Expansion
1900,Buganda_Kingdom,British_Protectorate,Colonial_Protectorate,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_23_Colonial_Protectorate,20_50_160_250_500,Colonial_Political_Integration
1000,Rwanda_Kingdom,Tutsi_Pastoralists,Pastoral_Chieftains,Pastoral_Authority,Pastoral_Succession,Pastoral_Administration,Pastoral_Warriors,Pastoral_Law,Pastoral_Taxation,Pastoral_Diplomacy,Stage_24_Pastoral_Chieftains,20_50_160_250_500,Pastoral_Political_Organization
1400,Rwanda_Kingdom,Mwami_Monarchy,Centralized_Monarchy,Centralized_Authority,Centralized_Succession,Centralized_Administration,Centralized_Army,Centralized_Law,Centralized_Taxation,Centralized_Diplomacy,Stage_25_Centralized_Monarchy,20_50_160_250_500,Centralized_Political_Systematization
1700,Rwanda_Kingdom,Feudal_Kingdom,Feudal_Monarchy,Feudal_Authority,Feudal_Succession,Feudal_Administration,Feudal_Army,Feudal_Law,Feudal_Taxation,Feudal_Diplomacy,Stage_26_Feudal_Kingdom,20_50_160_250_500,Feudal_Political_Systematization
1920,Rwanda_Kingdom,Belgian_Mandate,Colonial_Mandate,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_27_Colonial_Mandate,20_50_160_250_500,Colonial_Political_Administration
1000,Burundi_Kingdom,Ganwa_Princes,Princely_Oligarchy,Princely_Authority,Princely_Succession,Princely_Administration,Princely_Forces,Princely_Law,Princely_Taxation,Princely_Relations,Stage_28_Princely_Oligarchy,20_50_160_250_500,Princely_Political_Organization
1400,Burundi_Kingdom,Mwami_Monarchy,Centralized_Monarchy,Centralized_Authority,Centralized_Succession,Centralized_Administration,Centralized_Army,Centralized_Law,Centralized_Taxation,Centralized_Diplomacy,Stage_29_Centralized_Monarchy,20_50_160_250_500,Centralized_Political_Systematization
1700,Burundi_Kingdom,Feudal_Kingdom,Feudal_Monarchy,Feudal_Authority,Feudal_Succession,Feudal_Administration,Feudal_Army,Feudal_Law,Feudal_Taxation,Feudal_Diplomacy,Stage_30_Feudal_Kingdom,20_50_160_250_500,Feudal_Political_Systematization
1920,Burundi_Kingdom,Belgian_Mandate,Colonial_Mandate,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_31_Colonial_Mandate,20_50_160_250_500,Colonial_Political_Administration
1000,Kitara_Empire,Bachwezi_Dynasty,Divine_Empire,Divine_Authority,Divine_Succession,Divine_Administration,Divine_Army,Divine_Law,Divine_Taxation,Divine_Diplomacy,Stage_32_Divine_Empire,20_50_160_250_500,Divine_Political_Organization
1300,Kitara_Empire,Divine_Kingship,Theocratic_Empire,Theocratic_Authority,Theocratic_Succession,Theocratic_Administration,Theocratic_Army,Theocratic_Law,Theocratic_Taxation,Theocratic_Diplomacy,Stage_33_Theocratic_Empire,20_50_160_250_500,Theocratic_Political_Peak
1500,Kitara_Empire,Luo_Invasion,Political_Fragmentation,Fragmented_Authority,Contested_Succession,Fragmented_Administration,Fragmented_Forces,Fragmented_Law,Fragmented_Taxation,Fragmented_Relations,Stage_34_Political_Fragmentation,20_50_160_250_500,Political_Military_Fragmentation
1500,Bunyoro_Kingdom,Babiito_Dynasty,Breakaway_Kingdom,Breakaway_Authority,Breakaway_Succession,Breakaway_Administration,Breakaway_Army,Breakaway_Law,Breakaway_Taxation,Breakaway_Diplomacy,Stage_35_Breakaway_Kingdom,20_50_160_250_500,Breakaway_Political_Organization
1700,Bunyoro_Kingdom,Omukama_Monarchy,Centralized_Monarchy,Centralized_Authority,Centralized_Succession,Centralized_Administration,Centralized_Army,Centralized_Law,Centralized_Taxation,Centralized_Diplomacy,Stage_36_Centralized_Monarchy,20_50_160_250_500,Centralized_Political_Systematization
1900,Bunyoro_Kingdom,British_Protectorate,Colonial_Protectorate,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_37_Colonial_Protectorate,20_50_160_250_500,Colonial_Political_Integration
1500,Ankole_Kingdom,Bahima_Pastoralists,Pastoral_Monarchy,Pastoral_Authority,Pastoral_Succession,Pastoral_Administration,Pastoral_Army,Pastoral_Law,Pastoral_Taxation,Pastoral_Diplomacy,Stage_38_Pastoral_Monarchy,20_50_160_250_500,Pastoral_Political_Organization
1700,Ankole_Kingdom,Mugabe_Monarchy,Centralized_Monarchy,Centralized_Authority,Centralized_Succession,Centralized_Administration,Centralized_Army,Centralized_Law,Centralized_Taxation,Centralized_Diplomacy,Stage_39_Centralized_Monarchy,20_50_160_250_500,Centralized_Political_Systematization
1900,Ankole_Kingdom,British_Protectorate,Colonial_Protectorate,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_40_Colonial_Protectorate,20_50_160_250_500,Colonial_Political_Integration
1830,Toro_Kingdom,Babiito_Breakaway,Breakaway_Kingdom,Breakaway_Authority,Breakaway_Succession,Breakaway_Administration,Breakaway_Army,Breakaway_Law,Breakaway_Taxation,Breakaway_Diplomacy,Stage_41_Breakaway_Kingdom,20_50_160_250_500,Breakaway_Political_Organization
1900,Toro_Kingdom,British_Protectorate,Colonial_Protectorate,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_42_Colonial_Protectorate,20_50_160_250_500,Colonial_Political_Integration
1500,Busoga_Kingdoms,Soga_Chieftains,Multiple_Chieftains,Multiple_Authority,Multiple_Succession,Multiple_Administration,Multiple_Forces,Multiple_Law,Multiple_Taxation,Multiple_Relations,Stage_43_Multiple_Chieftains,20_50_160_250_500,Multiple_Political_Organization
1750,Busoga_Kingdoms,Federated_Kingdoms,Federated_Monarchy,Federated_Authority,Federated_Succession,Federated_Administration,Federated_Army,Federated_Law,Federated_Taxation,Federated_Diplomacy,Stage_44_Federated_Monarchy,20_50_160_250_500,Federated_Political_Systematization
1900,Busoga_Kingdoms,British_Protectorate,Colonial_Protectorate,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_45_Colonial_Protectorate,20_50_160_250_500,Colonial_Political_Integration
1500,Luo_Kingdoms,Luo_Migration,Migratory_Chieftains,Migratory_Authority,Migratory_Succession,Migratory_Administration,Migratory_Warriors,Migratory_Law,Migratory_Taxation,Migratory_Relations,Stage_46_Migratory_Chieftains,20_50_160_250_500,Migratory_Political_Organization
1750,Luo_Kingdoms,Ruoth_Chieftains,Settled_Chieftains,Settled_Authority,Settled_Succession,Settled_Administration,Settled_Warriors,Settled_Law,Settled_Taxation,Settled_Relations,Stage_47_Settled_Chieftains,20_50_160_250_500,Settled_Political_Systematization
1900,Luo_Kingdoms,British_Colonial,Colonial_Administration,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_48_Colonial_Administration,20_50_160_250_500,Colonial_Political_Integration
1500,Kikuyu_Chieftains,Age_Set_System,Gerontocracy,Age_Authority,Age_Succession,Age_Administration,Age_Warriors,Age_Law,Age_Taxation,Age_Relations,Stage_49_Gerontocracy,20_50_160_250_500,Age_Political_Organization
1750,Kikuyu_Chieftains,Council_of_Elders,Elder_Democracy,Elder_Authority,Elder_Succession,Elder_Administration,Elder_Warriors,Elder_Law,Elder_Taxation,Elder_Relations,Stage_50_Elder_Democracy,20_50_160_250_500,Elder_Political_Systematization
1900,Kikuyu_Chieftains,British_Colonial,Colonial_Administration,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_51_Colonial_Administration,20_50_160_250_500,Colonial_Political_Integration
1500,Maasai_Pastoralists,Age_Set_Warriors,Warrior_Democracy,Warrior_Authority,Warrior_Succession,Warrior_Administration,Warrior_Forces,Warrior_Law,Warrior_Taxation,Warrior_Relations,Stage_52_Warrior_Democracy,20_50_160_250_500,Warrior_Political_Organization
1750,Maasai_Pastoralists,Ilkiama_Leadership,Pastoral_Leadership,Pastoral_Authority,Pastoral_Succession,Pastoral_Administration,Pastoral_Warriors,Pastoral_Law,Pastoral_Taxation,Pastoral_Relations,Stage_53_Pastoral_Leadership,20_50_160_250_500,Pastoral_Political_Systematization
1900,Maasai_Pastoralists,British_Colonial,Colonial_Restrictions,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_54_Colonial_Restrictions,20_50_160_250_500,Colonial_Political_Restriction
1698,Sultanate_of_Zanzibar,Omani_Dynasty,Arab_Sultanate,Arab_Authority,Arab_Succession,Arab_Administration,Arab_Army,Arab_Law,Arab_Taxation,Arab_Diplomacy,Stage_55_Arab_Sultanate,20_50_160_250_500,Arab_Political_Establishment
1850,Sultanate_of_Zanzibar,Commercial_Sultanate,Commercial_Monarchy,Commercial_Authority,Commercial_Succession,Commercial_Administration,Commercial_Forces,Commercial_Law,Commercial_Taxation,Commercial_Relations,Stage_56_Commercial_Monarchy,20_50_160_250_500,Commercial_Political_Peak
1890,Sultanate_of_Zanzibar,British_Protectorate,Colonial_Protectorate,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_57_Colonial_Protectorate,20_50_160_250_500,Colonial_Political_Integration
1885,German_East_Africa,German_Colonial,Colonial_Administration,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Army,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_58_Colonial_Administration,20_50_160_250_500,Colonial_Political_Establishment
1905,German_East_Africa,Colonial_Resistance,Resistance_Administration,Resistance_Authority,Resistance_Leadership,Resistance_Organization,Resistance_Forces,Resistance_Law,Resistance_Taxation,Resistance_Relations,Stage_59_Resistance_Administration,20_50_160_250_500,Resistance_Political_Mobilization
1919,German_East_Africa,British_Mandate,Mandate_Administration,Mandate_Authority,Mandate_Appointment,Mandate_Administration,Mandate_Forces,Mandate_Law,Mandate_Taxation,Mandate_Relations,Stage_60_Mandate_Administration,20_50_160_250_500,Mandate_Political_Transition
1895,British_East_Africa,British_Colonial,Colonial_Administration,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Army,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_61_Colonial_Administration,20_50_160_250_500,Colonial_Political_Establishment
1930,British_East_Africa,Settler_Colonial,Settler_Administration,Settler_Authority,Settler_Appointment,Settler_Administration,Settler_Forces,Settler_Law,Settler_Taxation,Settler_Relations,Stage_62_Settler_Administration,20_50_160_250_500,Settler_Political_Systematization
1950,British_East_Africa,Independence_Movements,Liberation_Movements,Liberation_Authority,Liberation_Leadership,Liberation_Organization,Liberation_Forces,Liberation_Law,Liberation_Taxation,Liberation_Relations,Stage_63_Liberation_Movements,20_50_160_250_500,Liberation_Political_Mobilization
1961,Independent_East_African_States,Independence_Movements,National_Liberation,National_Authority,National_Leadership,National_Administration,National_Army,National_Law,National_Taxation,National_Diplomacy,Stage_64_National_Liberation,20_50_160_250_500,National_Independence_Revolution
1970,Independent_East_African_States,One_Party_States,Socialist_Republics,Socialist_Authority,Party_Leadership,Socialist_Administration,People_Army,Socialist_Law,Socialist_Taxation,Socialist_Diplomacy,Stage_65_Socialist_Republics,20_50_160_250_500,Socialist_Political_Revolution
1990,Independent_East_African_States,Democratic_Transitions,Multi_Party_Democracy,Democratic_Authority,Democratic_Elections,Democratic_Administration,National_Army,Democratic_Law,Democratic_Taxation,Democratic_Diplomacy,Stage_66_Multi_Party_Democracy,20_50_160_250_500,Democratic_Political_Transition

