Date_BCE_CE,Civilization,Astronomical_Event_Type,Specific_Event,Civilizational_Transition,Religious_Impact,Political_Impact,Cycle_Correlation,Artificial_Engineering_Evidence,Observation_Method,Cultural_Interpretation,Predictive_Accuracy
1270,Zagwe_Dynasty,Comet_Appearance,Bright_Comet,Solomonic_Restoration,Solomonic_Religious_Restoration,Dynastic_Religious_Legitimacy,20_50_160_250_500,Comet_restoration_coordination,Comet_Observation,Divine_Restoration_Sign,Restoration_Timing
1400,Ethiopian_Empire_Solomonic,Solar_Eclipse,Partial_Solar_Eclipse,Monastic_Expansion,Monastic_Expansion,Religious_Territorial_Expansion,20_50_160_250_500,Eclipse_expansion_coordination,Eclipse_Observation,Divine_Expansion_Blessing,Expansion_Timing
1500,Ethiopian_Empire_Solomonic,Lunar_Eclipse,Total_Lunar_Eclipse,Portuguese_Contact,Portuguese_Catholic_Contact,European_Religious_Influence,20_50_160_250_500,Eclipse_contact_coordination,Eclipse_Observation,Divine_Contact_Warning,Contact_Timing
1600,Ethiopian_Empire_Solomonic,Mars_Opposition,Mars_Close_Approach,Catholic_Conflict,Catholic_Orthodox_Conflict,Religious_Civil_War,20_50_160_250_500,Mars_conflict_coordination,Planetary_Observation,War_God_Activation,Conflict_Timing
1632,Ethiopian_Empire_Solomonic,Comet_Appearance,Great_Comet,Catholic_Expulsion,Catholic_Missionary_Expulsion,Religious_Political_Isolation,20_50_160_250_500,Comet_expulsion_coordination,Comet_Observation,Divine_Expulsion_Sign,Expulsion_Timing
1850,Ethiopian_Empire_Solomonic,Solar_Eclipse,Annular_Solar_Eclipse,Orthodox_Reform,Orthodox_Reform_Movement,Religious_Modernization,20_50_160_250_500,Eclipse_reform_coordination,Eclipse_Observation,Divine_Reform_Sign,Reform_Timing
1930,Ethiopian_Empire_Solomonic,Lunar_Eclipse,Total_Lunar_Eclipse,Italian_Occupation,Italian_Occupation_Religious_Crisis,Religious_Political_Resistance,20_50_160_250_500,Eclipse_occupation_coordination,Eclipse_Observation,Divine_Resistance_Sign,Occupation_Timing
1974,Ethiopian_Empire_Solomonic,Comet_Appearance,Bright_Comet,Socialist_Revolution,Socialist_Secularization,Religious_Political_Suppression,20_50_160_250_500,Comet_revolution_coordination,Comet_Observation,Divine_Revolution_Sign,Revolution_Timing
800,Swahili_City_States,Lunar_Eclipse,Partial_Lunar_Eclipse,Islamic_Foundation,Islamic_Conversion,Islamic_Political_Authority,20_50_160_250_500,Eclipse_foundation_coordination,Eclipse_Observation,Divine_Islamic_Sign,Foundation_Timing
1000,Swahili_City_States,Solar_Eclipse,Total_Solar_Eclipse,Islamic_Institutionalization,Swahili_Islamic_Culture,Islamic_Sultanate_System,20_50_160_250_500,Eclipse_institutionalization_coordination,Eclipse_Observation,Divine_Institutionalization_Sign,Institutionalization_Timing
1200,Swahili_City_States,Venus_Conjunction,Venus_Jupiter_Conjunction,Islamic_Peak,Islamic_Commercial_Culture,Islamic_Trade_Dominance,20_50_160_250_500,Conjunction_peak_coordination,Planetary_Observation,Divine_Commercial_Blessing,Peak_Timing
1400,Swahili_City_States,Comet_Appearance,Great_Comet,Islamic_Consolidation,Swahili_Islamic_Synthesis,Cultural_Religious_Unity,20_50_160_250_500,Comet_consolidation_coordination,Comet_Observation,Divine_Unity_Blessing,Consolidation_Timing
1498,Swahili_City_States,Solar_Eclipse,Annular_Solar_Eclipse,Portuguese_Contact,Portuguese_Christian_Contact,European_Religious_Pressure,20_50_160_250_500,Eclipse_contact_coordination,Eclipse_Observation,Divine_Contact_Warning,Contact_Timing
1500,Swahili_City_States,Lunar_Eclipse,Total_Lunar_Eclipse,Portuguese_Conquest,Portuguese_Religious_Conquest,Religious_Political_Subjugation,20_50_160_250_500,Eclipse_conquest_coordination,Eclipse_Observation,Divine_Conquest_Sign,Conquest_Timing
1300,Buganda_Kingdom,Thunder_Storm,Seasonal_Thunder_Storms,Kingdom_Foundation,Ganda_Traditional_Religion,Divine_Kingship_Authority,20_50_160_250_500,Storm_foundation_coordination,Storm_Observation,Divine_Thunder_Authority,Foundation_Timing
1700,Buganda_Kingdom,Solar_Eclipse,Partial_Solar_Eclipse,Religious_Consolidation,Traditional_Religious_Systematization,Royal_Religious_Authority,20_50_160_250_500,Eclipse_consolidation_coordination,Eclipse_Observation,Divine_Consolidation_Sign,Consolidation_Timing
1844,Buganda_Kingdom,Lunar_Eclipse,Total_Lunar_Eclipse,Islamic_Contact,Islamic_Missionary_Arrival,Religious_Political_Influence,20_50_160_250_500,Eclipse_contact_coordination,Eclipse_Observation,Divine_Islamic_Sign,Contact_Timing
1875,Buganda_Kingdom,Comet_Appearance,Bright_Comet,Christian_Contact,Christian_Missionary_Arrival,Religious_Political_Competition,20_50_160_250_500,Comet_contact_coordination,Comet_Observation,Divine_Christian_Sign,Contact_Timing
1884,Buganda_Kingdom,Solar_Eclipse,Total_Solar_Eclipse,Religious_Wars,Religious_Wars,Religious_Political_Crisis,20_50_160_250_500,Eclipse_war_coordination,Eclipse_Observation,Divine_War_Sign,War_Timing
1900,Buganda_Kingdom,Lunar_Eclipse,Partial_Lunar_Eclipse,Christian_Dominance,Christian_Dominance_Establishment,Christian_Political_Integration,20_50_160_250_500,Eclipse_dominance_coordination,Eclipse_Observation,Divine_Dominance_Sign,Dominance_Timing
1000,Rwanda_Kingdom,Solar_Eclipse,Annular_Solar_Eclipse,Kingdom_Foundation,Rwandan_Traditional_Religion,Mwami_Divine_Authority,20_50_160_250_500,Eclipse_foundation_coordination,Eclipse_Observation,Divine_Foundation_Sign,Foundation_Timing
1400,Rwanda_Kingdom,Lunar_Eclipse,Total_Lunar_Eclipse,Royal_Consolidation,Royal_Ancestor_Cult,Royal_Religious_Legitimacy,20_50_160_250_500,Eclipse_consolidation_coordination,Eclipse_Observation,Divine_Royal_Sign,Consolidation_Timing
1900,Rwanda_Kingdom,Comet_Appearance,Great_Comet,Christian_Contact,Christian_Missionary_Activity,Colonial_Religious_Integration,20_50_160_250_500,Comet_contact_coordination,Comet_Observation,Divine_Christian_Sign,Contact_Timing
1920,Rwanda_Kingdom,Solar_Eclipse,Partial_Solar_Eclipse,Mass_Conversion,Mass_Christian_Conversion,Colonial_Christian_Authority,20_50_160_250_500,Eclipse_conversion_coordination,Eclipse_Observation,Divine_Conversion_Sign,Conversion_Timing
1000,Burundi_Kingdom,Solar_Eclipse,Total_Solar_Eclipse,Kingdom_Foundation,Burundian_Traditional_Religion,Mwami_Divine_Authority,20_50_160_250_500,Eclipse_foundation_coordination,Eclipse_Observation,Divine_Foundation_Sign,Foundation_Timing
1400,Burundi_Kingdom,Lunar_Eclipse,Partial_Lunar_Eclipse,Royal_Consolidation,Royal_Ancestor_Cult,Royal_Religious_Legitimacy,20_50_160_250_500,Eclipse_consolidation_coordination,Eclipse_Observation,Divine_Royal_Sign,Consolidation_Timing
1900,Burundi_Kingdom,Comet_Appearance,Bright_Comet,Christian_Contact,Christian_Missionary_Activity,Colonial_Religious_Integration,20_50_160_250_500,Comet_contact_coordination,Comet_Observation,Divine_Christian_Sign,Contact_Timing
1920,Burundi_Kingdom,Solar_Eclipse,Annular_Solar_Eclipse,Mass_Conversion,Mass_Christian_Conversion,Colonial_Christian_Authority,20_50_160_250_500,Eclipse_conversion_coordination,Eclipse_Observation,Divine_Conversion_Sign,Conversion_Timing
1000,Kitara_Empire,Stellar_Alignment,Divine_Stellar_Alignment,Empire_Foundation,Bachwezi_Divine_Religion,Divine_Kingship_Authority,20_50_160_250_500,Stellar_foundation_coordination,Stellar_Observation,Divine_Foundation_Authority,Foundation_Timing
1300,Kitara_Empire,Solar_Eclipse,Total_Solar_Eclipse,Divine_Peak,Divine_Kingship_Cult,Theocratic_Peak,20_50_160_250_500,Eclipse_peak_coordination,Eclipse_Observation,Divine_Peak_Sign,Peak_Timing
1500,Kitara_Empire,Comet_Appearance,Great_Comet,Luo_Invasion,Luo_Religious_Influence,Religious_Political_Transition,20_50_160_250_500,Comet_invasion_coordination,Comet_Observation,Divine_Transition_Sign,Invasion_Timing
1500,Bunyoro_Kingdom,Lunar_Eclipse,Total_Lunar_Eclipse,Kingdom_Foundation,Babiito_Religious_Authority,Royal_Religious_Legitimacy,20_50_160_250_500,Eclipse_foundation_coordination,Eclipse_Observation,Divine_Foundation_Sign,Foundation_Timing
1750,Bunyoro_Kingdom,Solar_Eclipse,Partial_Solar_Eclipse,Royal_Consolidation,Royal_Ancestor_Cult,Royal_Religious_Authority,20_50_160_250_500,Eclipse_consolidation_coordination,Eclipse_Observation,Divine_Royal_Sign,Consolidation_Timing
1900,Bunyoro_Kingdom,Comet_Appearance,Bright_Comet,Colonial_Contact,Christian_Missionary_Activity,Colonial_Religious_Integration,20_50_160_250_500,Comet_contact_coordination,Comet_Observation,Divine_Colonial_Sign,Contact_Timing
1500,Ankole_Kingdom,Solar_Eclipse,Annular_Solar_Eclipse,Kingdom_Foundation,Bahima_Cattle_Religion,Pastoral_Religious_Authority,20_50_160_250_500,Eclipse_foundation_coordination,Eclipse_Observation,Divine_Pastoral_Sign,Foundation_Timing
1750,Ankole_Kingdom,Lunar_Eclipse,Total_Lunar_Eclipse,Cattle_Consolidation,Cattle_Cult_Systematization,Pastoral_Religious_Legitimacy,20_50_160_250_500,Eclipse_consolidation_coordination,Eclipse_Observation,Divine_Cattle_Sign,Consolidation_Timing
1900,Ankole_Kingdom,Comet_Appearance,Great_Comet,Colonial_Contact,Christian_Missionary_Activity,Colonial_Religious_Integration,20_50_160_250_500,Comet_contact_coordination,Comet_Observation,Divine_Colonial_Sign,Contact_Timing
1830,Toro_Kingdom,Solar_Eclipse,Total_Solar_Eclipse,Kingdom_Foundation,Babiito_Religious_Breakaway,Royal_Religious_Independence,20_50_160_250_500,Eclipse_foundation_coordination,Eclipse_Observation,Divine_Independence_Sign,Foundation_Timing
1900,Toro_Kingdom,Lunar_Eclipse,Partial_Lunar_Eclipse,Colonial_Contact,Christian_Missionary_Activity,Colonial_Religious_Integration,20_50_160_250_500,Eclipse_contact_coordination,Eclipse_Observation,Divine_Colonial_Sign,Contact_Timing
1500,Busoga_Kingdoms,Solar_Eclipse,Partial_Solar_Eclipse,Kingdoms_Foundation,Soga_Clan_Religion,Clan_Religious_Authority,20_50_160_250_500,Eclipse_foundation_coordination,Eclipse_Observation,Divine_Clan_Sign,Foundation_Timing
1750,Busoga_Kingdoms,Lunar_Eclipse,Total_Lunar_Eclipse,Clan_Consolidation,Clan_Spirit_Systematization,Clan_Religious_Legitimacy,20_50_160_250_500,Eclipse_consolidation_coordination,Eclipse_Observation,Divine_Clan_Consolidation,Consolidation_Timing
1900,Busoga_Kingdoms,Comet_Appearance,Bright_Comet,Colonial_Contact,Christian_Missionary_Activity,Colonial_Religious_Integration,20_50_160_250_500,Comet_contact_coordination,Comet_Observation,Divine_Colonial_Sign,Contact_Timing
1500,Luo_Kingdoms,Solar_Eclipse,Annular_Solar_Eclipse,Luo_Foundation,Luo_Ancestor_Religion,Luo_Religious_Authority,20_50_160_250_500,Eclipse_foundation_coordination,Eclipse_Observation,Divine_Luo_Sign,Foundation_Timing
1750,Luo_Kingdoms,Lunar_Eclipse,Partial_Lunar_Eclipse,Ancestor_Consolidation,Ancestor_Spirit_Systematization,Luo_Religious_Legitimacy,20_50_160_250_500,Eclipse_consolidation_coordination,Eclipse_Observation,Divine_Ancestor_Sign,Consolidation_Timing
1900,Luo_Kingdoms,Comet_Appearance,Great_Comet,Colonial_Contact,Christian_Missionary_Activity,Colonial_Religious_Integration,20_50_160_250_500,Comet_contact_coordination,Comet_Observation,Divine_Colonial_Sign,Contact_Timing
1500,Kikuyu_Chieftains,Solar_Eclipse,Total_Solar_Eclipse,Chieftain_Foundation,Kikuyu_Ngai_Religion,Age_Set_Religious_Authority,20_50_160_250_500,Eclipse_foundation_coordination,Eclipse_Observation,Divine_Ngai_Sign,Foundation_Timing
1750,Kikuyu_Chieftains,Lunar_Eclipse,Total_Lunar_Eclipse,Ngai_Consolidation,Ngai_Worship_Systematization,Elder_Religious_Authority,20_50_160_250_500,Eclipse_consolidation_coordination,Eclipse_Observation,Divine_Ngai_Consolidation,Consolidation_Timing
1900,Kikuyu_Chieftains,Comet_Appearance,Bright_Comet,Colonial_Contact,Christian_Missionary_Activity,Colonial_Religious_Integration,20_50_160_250_500,Comet_contact_coordination,Comet_Observation,Divine_Colonial_Sign,Contact_Timing
1500,Maasai_Pastoralists,Solar_Eclipse,Partial_Solar_Eclipse,Pastoral_Foundation,Maasai_Enkai_Religion,Warrior_Religious_Authority,20_50_160_250_500,Eclipse_foundation_coordination,Eclipse_Observation,Divine_Enkai_Sign,Foundation_Timing
1750,Maasai_Pastoralists,Lunar_Eclipse,Annular_Lunar_Eclipse,Enkai_Consolidation,Enkai_Worship_Systematization,Ilkiama_Religious_Authority,20_50_160_250_500,Eclipse_consolidation_coordination,Eclipse_Observation,Divine_Enkai_Consolidation,Consolidation_Timing
1900,Maasai_Pastoralists,Comet_Appearance,Great_Comet,Colonial_Pressure,Christian_Missionary_Activity,Colonial_Religious_Pressure,20_50_160_250_500,Comet_pressure_coordination,Comet_Observation,Divine_Pressure_Warning,Pressure_Timing
1698,Sultanate_of_Zanzibar,Solar_Eclipse,Total_Solar_Eclipse,Sultanate_Foundation,Omani_Ibadi_Islam,Islamic_Sultanate_Authority,20_50_160_250_500,Eclipse_foundation_coordination,Eclipse_Observation,Divine_Sultanate_Sign,Foundation_Timing
1800,Sultanate_of_Zanzibar,Lunar_Eclipse,Partial_Lunar_Eclipse,Religious_Transition,Sunni_Islamic_Influence,Religious_Political_Adaptation,20_50_160_250_500,Eclipse_transition_coordination,Eclipse_Observation,Divine_Transition_Sign,Transition_Timing
1890,Sultanate_of_Zanzibar,Comet_Appearance,Bright_Comet,Colonial_Pressure,British_Christian_Pressure,Colonial_Religious_Pressure,20_50_160_250_500,Comet_pressure_coordination,Comet_Observation,Divine_Pressure_Warning,Pressure_Timing
1885,German_East_Africa,Solar_Eclipse,Annular_Solar_Eclipse,Colonial_Foundation,German_Lutheran_Missions,Colonial_Religious_Control,20_50_160_250_500,Eclipse_foundation_coordination,Eclipse_Observation,Divine_Colonial_Sign,Foundation_Timing
1900,German_East_Africa,Lunar_Eclipse,Total_Lunar_Eclipse,Mission_Institutionalization,Mission_Education_System,Colonial_Cultural_Control,20_50_160_250_500,Eclipse_institutionalization_coordination,Eclipse_Observation,Divine_Mission_Sign,Institutionalization_Timing
1919,German_East_Africa,Comet_Appearance,Great_Comet,Colonial_Transition,British_Anglican_Takeover,Colonial_Religious_Transition,20_50_160_250_500,Comet_transition_coordination,Comet_Observation,Divine_Transition_Sign,Transition_Timing
1895,British_East_Africa,Solar_Eclipse,Partial_Solar_Eclipse,Colonial_Foundation,Anglican_Mission_Expansion,Colonial_Religious_Authority,20_50_160_250_500,Eclipse_foundation_coordination,Eclipse_Observation,Divine_Anglican_Sign,Foundation_Timing
1920,British_East_Africa,Lunar_Eclipse,Total_Lunar_Eclipse,Mission_Dominance,Mission_Education_Dominance,Colonial_Cultural_Dominance,20_50_160_250_500,Eclipse_dominance_coordination,Eclipse_Observation,Divine_Dominance_Sign,Dominance_Timing
1950,British_East_Africa,Comet_Appearance,Bright_Comet,Religious_Nationalism,African_Christian_Independence,Religious_Nationalist_Movement,20_50_160_250_500,Comet_nationalism_coordination,Comet_Observation,Divine_Nationalism_Sign,Nationalism_Timing
1961,Independent_East_African_States,Solar_Eclipse,Total_Solar_Eclipse,Religious_Independence,African_Christianity_Indigenization,Religious_Political_Independence,20_50_160_250_500,Eclipse_independence_coordination,Eclipse_Observation,Divine_Independence_Sign,Independence_Timing
1980,Independent_East_African_States,Lunar_Eclipse,Partial_Lunar_Eclipse,Religious_Revival,Pentecostal_Movement_Expansion,Religious_Economic_Integration,20_50_160_250_500,Eclipse_revival_coordination,Eclipse_Observation,Divine_Revival_Sign,Revival_Timing
2000,Independent_East_African_States,Comet_Appearance,Great_Comet,Religious_Globalization,Global_Pentecostal_Networks,Religious_Political_Influence,20_50_160_250_500,Comet_globalization_coordination,Comet_Observation,Divine_Globalization_Sign,Globalization_Timing

