Date_BCE_CE,Civilization,Economic_System_Type,Primary_Production,Trade_Networks,Currency_System,Financial_Institutions,Labor_Organization,Resource_Exploitation,Market_Structure,Economic_Policy,Wealth_Distribution,Cycle_Phase,Cycle_Alignment,Economic_Engineering_Evidence
1180,Zagwe_Dynasty,Pilgrimage_Economy,Pilgrimage_Production,Pilgrimage_Commerce,Pilgrimage_Currency,Pilgrimage_Finance,Pilgrimage_Labor,Pilgrimage_Resources,Pilgrimage_Markets,Pilgrimage_Policy,Pilgrimage_Elite,Growth_Phase,20_50_160_250_500,Pilgrimage_economy_systematization
1200,Zagwe_Dynasty,Architectural_Economy,Architectural_Production,Architectural_Trade,Architectural_Currency,Architectural_Finance,Architectural_Labor,Stone_Resources,Architectural_Markets,Architectural_Policy,Architectural_Elite,Peak_Phase,20_50_160_250_500,Architectural_economy_peak_coordination
1270,Ethiopian_Empire_Solomonic,Imperial_Economy,Imperial_Production,Imperial_Trade,Imperial_Currency,Imperial_Treasury,Imperial_Labor,Imperial_Resources,Imperial_Markets,Imperial_Policy,Imperial_Elite,Birth_Phase,20_50_160_250_500,Imperial_economic_systematization
1400,Ethiopian_Empire_Solomonic,Agricultural_Empire,Agricultural_Production,Regional_Trade,Agricultural_Currency,Agricultural_Finance,Agricultural_Labor,Agricultural_Resources,Regional_Markets,Agricultural_Policy,Agricultural_Elite,Growth_Phase,20_50_160_250_500,Agricultural_empire_systematization
1600,Ethiopian_Empire_Solomonic,Feudal_Economy,Feudal_Production,Feudal_Trade,Feudal_Currency,Feudal_Finance,Feudal_Labor,Feudal_Resources,Feudal_Markets,Feudal_Policy,Feudal_Elite,Peak_Phase,20_50_160_250_500,Feudal_economy_peak_coordination
1850,Ethiopian_Empire_Solomonic,Coffee_Economy,Coffee_Production,Coffee_Trade,Coffee_Currency,Coffee_Finance,Coffee_Labor,Coffee_Resources,Coffee_Markets,Coffee_Policy,Coffee_Elite,Transition_Phase,20_50_160_250_500,Coffee_economy_transition_coordination
1974,Ethiopian_Empire_Solomonic,Socialist_Economy,Socialist_Production,Socialist_Trade,Socialist_Currency,Socialist_Finance,Socialist_Labor,Socialist_Resources,Socialist_Markets,Socialist_Policy,Socialist_Elite,Revolution_Phase,20_50_160_250_500,Socialist_economic_revolution_coordination
800,Swahili_City_States,Indian_Ocean_Trade,Commercial_Production,Indian_Ocean_Commerce,Gold_Currency,Commercial_Banking,Commercial_Labor,Gold_Ivory_Resources,International_Markets,Commercial_Policy,Commercial_Elite,Birth_Phase,20_50_160_250_500,Indian_ocean_trade_systematization
1000,Swahili_City_States,Islamic_Economy,Islamic_Production,Islamic_Trade,Islamic_Currency,Islamic_Finance,Islamic_Labor,Islamic_Resources,Islamic_Markets,Islamic_Policy,Islamic_Elite,Growth_Phase,20_50_160_250_500,Islamic_economy_systematization
1200,Swahili_City_States,Gold_Ivory_Commerce,Luxury_Production,Luxury_Trade,Luxury_Currency,Luxury_Finance,Luxury_Labor,Luxury_Resources,Luxury_Markets,Luxury_Policy,Luxury_Elite,Peak_Phase,20_50_160_250_500,Luxury_commerce_peak_coordination
1400,Swahili_City_States,Commercial_Peak,Peak_Production,Peak_Trade,Peak_Currency,Peak_Finance,Peak_Labor,Peak_Resources,Peak_Markets,Peak_Policy,Peak_Elite,Peak_Phase,20_50_160_250_500,Commercial_peak_coordination
1500,Swahili_City_States,Portuguese_Monopoly,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Decline_Phase,20_50_160_250_500,Colonial_monopoly_coordination
1300,Buganda_Kingdom,Banana_Agriculture,Agricultural_Production,Regional_Trade,Agricultural_Currency,Agricultural_Finance,Agricultural_Labor,Agricultural_Resources,Regional_Markets,Agricultural_Policy,Agricultural_Elite,Birth_Phase,20_50_160_250_500,Agricultural_systematization
1500,Buganda_Kingdom,Regional_Trade,Trade_Production,Regional_Commerce,Trade_Currency,Trade_Finance,Trade_Labor,Trade_Resources,Trade_Markets,Trade_Policy,Trade_Elite,Growth_Phase,20_50_160_250_500,Regional_trade_systematization
1750,Buganda_Kingdom,Expanded_Economy,Expanded_Production,Expanded_Trade,Expanded_Currency,Expanded_Finance,Expanded_Labor,Expanded_Resources,Expanded_Markets,Expanded_Policy,Expanded_Elite,Peak_Phase,20_50_160_250_500,Expanded_economy_peak_coordination
1900,Buganda_Kingdom,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1000,Rwanda_Kingdom,Pastoral_Agriculture,Pastoral_Production,Pastoral_Trade,Pastoral_Currency,Pastoral_Finance,Pastoral_Labor,Pastoral_Resources,Pastoral_Markets,Pastoral_Policy,Pastoral_Elite,Birth_Phase,20_50_160_250_500,Pastoral_agricultural_systematization
1400,Rwanda_Kingdom,Feudal_Agriculture,Feudal_Production,Feudal_Trade,Feudal_Currency,Feudal_Finance,Feudal_Labor,Feudal_Resources,Feudal_Markets,Feudal_Policy,Feudal_Elite,Growth_Phase,20_50_160_250_500,Feudal_agricultural_systematization
1700,Rwanda_Kingdom,Intensive_Agriculture,Intensive_Production,Intensive_Trade,Intensive_Currency,Intensive_Finance,Intensive_Labor,Intensive_Resources,Intensive_Markets,Intensive_Policy,Intensive_Elite,Peak_Phase,20_50_160_250_500,Intensive_agriculture_peak_coordination
1920,Rwanda_Kingdom,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1000,Burundi_Kingdom,Pastoral_Agriculture,Pastoral_Production,Pastoral_Trade,Pastoral_Currency,Pastoral_Finance,Pastoral_Labor,Pastoral_Resources,Pastoral_Markets,Pastoral_Policy,Pastoral_Elite,Birth_Phase,20_50_160_250_500,Pastoral_agricultural_systematization
1400,Burundi_Kingdom,Feudal_Agriculture,Feudal_Production,Feudal_Trade,Feudal_Currency,Feudal_Finance,Feudal_Labor,Feudal_Resources,Feudal_Markets,Feudal_Policy,Feudal_Elite,Growth_Phase,20_50_160_250_500,Feudal_agricultural_systematization
1700,Burundi_Kingdom,Intensive_Agriculture,Intensive_Production,Intensive_Trade,Intensive_Currency,Intensive_Finance,Intensive_Labor,Intensive_Resources,Intensive_Markets,Intensive_Policy,Intensive_Elite,Peak_Phase,20_50_160_250_500,Intensive_agriculture_peak_coordination
1920,Burundi_Kingdom,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1000,Kitara_Empire,Pastoral_Economy,Pastoral_Production,Pastoral_Trade,Pastoral_Currency,Pastoral_Finance,Pastoral_Labor,Pastoral_Resources,Pastoral_Markets,Pastoral_Policy,Pastoral_Elite,Birth_Phase,20_50_160_250_500,Pastoral_economic_systematization
1300,Kitara_Empire,Regional_Trade,Regional_Production,Regional_Commerce,Regional_Currency,Regional_Finance,Regional_Labor,Regional_Resources,Regional_Markets,Regional_Policy,Regional_Elite,Growth_Phase,20_50_160_250_500,Regional_trade_systematization
1400,Kitara_Empire,Imperial_Economy,Imperial_Production,Imperial_Trade,Imperial_Currency,Imperial_Finance,Imperial_Labor,Imperial_Resources,Imperial_Markets,Imperial_Policy,Imperial_Elite,Peak_Phase,20_50_160_250_500,Imperial_economy_peak_coordination
1500,Kitara_Empire,Fragmented_Economy,Fragmented_Production,Fragmented_Trade,Fragmented_Currency,Fragmented_Finance,Fragmented_Labor,Fragmented_Resources,Fragmented_Markets,Fragmented_Policy,Fragmented_Elite,Collapse_Phase,20_50_160_250_500,Economic_fragmentation_coordination
1500,Bunyoro_Kingdom,Pastoral_Agriculture,Pastoral_Production,Pastoral_Trade,Pastoral_Currency,Pastoral_Finance,Pastoral_Labor,Pastoral_Resources,Pastoral_Markets,Pastoral_Policy,Pastoral_Elite,Birth_Phase,20_50_160_250_500,Pastoral_agricultural_systematization
1700,Bunyoro_Kingdom,Regional_Trade,Regional_Production,Regional_Commerce,Regional_Currency,Regional_Finance,Regional_Labor,Regional_Resources,Regional_Markets,Regional_Policy,Regional_Elite,Growth_Phase,20_50_160_250_500,Regional_trade_systematization
1850,Bunyoro_Kingdom,Declining_Economy,Declining_Production,Declining_Trade,Declining_Currency,Declining_Finance,Declining_Labor,Declining_Resources,Declining_Markets,Declining_Policy,Declining_Elite,Decline_Phase,20_50_160_250_500,Economic_decline_coordination
1900,Bunyoro_Kingdom,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1500,Ankole_Kingdom,Pastoral_Economy,Pastoral_Production,Cattle_Trade,Cattle_Currency,Pastoral_Finance,Pastoral_Labor,Cattle_Resources,Pastoral_Markets,Pastoral_Policy,Pastoral_Elite,Birth_Phase,20_50_160_250_500,Pastoral_economic_systematization
1700,Ankole_Kingdom,Cattle_Economy,Cattle_Production,Cattle_Commerce,Cattle_Currency,Cattle_Finance,Cattle_Labor,Cattle_Resources,Cattle_Markets,Cattle_Policy,Cattle_Elite,Growth_Phase,20_50_160_250_500,Cattle_economy_systematization
1850,Ankole_Kingdom,Regional_Economy,Regional_Production,Regional_Trade,Regional_Currency,Regional_Finance,Regional_Labor,Regional_Resources,Regional_Markets,Regional_Policy,Regional_Elite,Peak_Phase,20_50_160_250_500,Regional_economy_peak_coordination
1900,Ankole_Kingdom,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1830,Toro_Kingdom,Agricultural_Economy,Agricultural_Production,Agricultural_Trade,Agricultural_Currency,Agricultural_Finance,Agricultural_Labor,Agricultural_Resources,Agricultural_Markets,Agricultural_Policy,Agricultural_Elite,Birth_Phase,20_50_160_250_500,Agricultural_economic_systematization
1900,Toro_Kingdom,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1500,Busoga_Kingdoms,Agricultural_Economy,Agricultural_Production,Regional_Trade,Agricultural_Currency,Agricultural_Finance,Agricultural_Labor,Agricultural_Resources,Regional_Markets,Agricultural_Policy,Agricultural_Elite,Birth_Phase,20_50_160_250_500,Agricultural_economic_systematization
1750,Busoga_Kingdoms,Regional_Trade,Regional_Production,Regional_Commerce,Regional_Currency,Regional_Finance,Regional_Labor,Regional_Resources,Regional_Markets,Regional_Policy,Regional_Elite,Growth_Phase,20_50_160_250_500,Regional_trade_systematization
1900,Busoga_Kingdoms,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1500,Luo_Kingdoms,Fishing_Agriculture,Fishing_Production,Fishing_Trade,Fishing_Currency,Fishing_Finance,Fishing_Labor,Fishing_Resources,Fishing_Markets,Fishing_Policy,Fishing_Elite,Birth_Phase,20_50_160_250_500,Fishing_agricultural_systematization
1750,Luo_Kingdoms,Regional_Trade,Regional_Production,Regional_Commerce,Regional_Currency,Regional_Finance,Regional_Labor,Regional_Resources,Regional_Markets,Regional_Policy,Regional_Elite,Growth_Phase,20_50_160_250_500,Regional_trade_systematization
1900,Luo_Kingdoms,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1500,Kikuyu_Chieftains,Agricultural_Economy,Agricultural_Production,Regional_Trade,Agricultural_Currency,Agricultural_Finance,Agricultural_Labor,Agricultural_Resources,Regional_Markets,Agricultural_Policy,Agricultural_Elite,Birth_Phase,20_50_160_250_500,Agricultural_economic_systematization
1750,Kikuyu_Chieftains,Regional_Trade,Regional_Production,Regional_Commerce,Regional_Currency,Regional_Finance,Regional_Labor,Regional_Resources,Regional_Markets,Regional_Policy,Regional_Elite,Growth_Phase,20_50_160_250_500,Regional_trade_systematization
1900,Kikuyu_Chieftains,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1500,Maasai_Pastoralists,Pastoral_Economy,Pastoral_Production,Cattle_Trade,Cattle_Currency,Pastoral_Finance,Pastoral_Labor,Cattle_Resources,Pastoral_Markets,Pastoral_Policy,Pastoral_Elite,Birth_Phase,20_50_160_250_500,Pastoral_economic_systematization
1750,Maasai_Pastoralists,Cattle_Trade,Cattle_Production,Cattle_Commerce,Cattle_Currency,Cattle_Finance,Cattle_Labor,Cattle_Resources,Cattle_Markets,Cattle_Policy,Cattle_Elite,Growth_Phase,20_50_160_250_500,Cattle_trade_systematization
1900,Maasai_Pastoralists,Colonial_Restrictions,Restricted_Production,Restricted_Trade,Restricted_Currency,Restricted_Finance,Restricted_Labor,Restricted_Resources,Restricted_Markets,Restricted_Policy,Restricted_Elite,Decline_Phase,20_50_160_250_500,Colonial_restriction_coordination
1698,Sultanate_of_Zanzibar,Clove_Plantation,Plantation_Production,Plantation_Trade,Plantation_Currency,Plantation_Finance,Slave_Labor,Clove_Resources,Plantation_Markets,Plantation_Policy,Plantation_Elite,Birth_Phase,20_50_160_250_500,Plantation_economic_systematization
1800,Sultanate_of_Zanzibar,Slave_Trade,Slave_Production,Slave_Commerce,Slave_Currency,Slave_Finance,Slave_Labor,Human_Resources,Slave_Markets,Slave_Policy,Slave_Elite,Growth_Phase,20_50_160_250_500,Slave_trade_systematization
1850,Sultanate_of_Zanzibar,Commercial_Peak,Peak_Production,Peak_Trade,Peak_Currency,Peak_Finance,Peak_Labor,Peak_Resources,Peak_Markets,Peak_Policy,Peak_Elite,Peak_Phase,20_50_160_250_500,Commercial_peak_coordination
1890,Sultanate_of_Zanzibar,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1885,German_East_Africa,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Birth_Phase,20_50_160_250_500,Colonial_economic_systematization
1900,German_East_Africa,Plantation_Economy,Plantation_Production,Plantation_Trade,Plantation_Currency,Plantation_Finance,Plantation_Labor,Plantation_Resources,Plantation_Markets,Plantation_Policy,Plantation_Elite,Growth_Phase,20_50_160_250_500,Plantation_economy_systematization
1914,German_East_Africa,War_Economy,War_Production,War_Trade,War_Currency,War_Finance,War_Labor,War_Resources,War_Markets,War_Policy,War_Elite,Crisis_Phase,20_50_160_250_500,War_economy_coordination
1919,German_East_Africa,Mandate_Economy,Mandate_Production,Mandate_Trade,Mandate_Currency,Mandate_Finance,Mandate_Labor,Mandate_Resources,Mandate_Markets,Mandate_Policy,Mandate_Elite,Transition_Phase,20_50_160_250_500,Mandate_economic_transition_coordination
1895,British_East_Africa,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Birth_Phase,20_50_160_250_500,Colonial_economic_systematization
1920,British_East_Africa,Cash_Crop_Economy,Cash_Crop_Production,Cash_Crop_Trade,Cash_Crop_Currency,Cash_Crop_Finance,Cash_Crop_Labor,Cash_Crop_Resources,Cash_Crop_Markets,Cash_Crop_Policy,Cash_Crop_Elite,Growth_Phase,20_50_160_250_500,Cash_crop_economy_systematization
1950,British_East_Africa,Export_Economy,Export_Production,Export_Trade,Export_Currency,Export_Finance,Export_Labor,Export_Resources,Export_Markets,Export_Policy,Export_Elite,Peak_Phase,20_50_160_250_500,Export_economy_peak_coordination
1963,British_East_Africa,Independence_Economy,Independence_Production,Independence_Trade,Independence_Currency,Independence_Finance,Independence_Labor,Independence_Resources,Independence_Markets,Independence_Policy,Independence_Elite,Transition_Phase,20_50_160_250_500,Independence_economic_transition_coordination
1961,Independent_East_African_States,Post_Colonial_Economy,Post_Colonial_Production,Post_Colonial_Trade,Post_Colonial_Currency,Post_Colonial_Finance,Post_Colonial_Labor,Post_Colonial_Resources,Post_Colonial_Markets,Post_Colonial_Policy,Post_Colonial_Elite,Birth_Phase,20_50_160_250_500,Post_colonial_economic_systematization
1980,Independent_East_African_States,Coffee_Tourism_Economy,Coffee_Tourism_Production,Coffee_Tourism_Trade,Coffee_Tourism_Currency,Coffee_Tourism_Finance,Coffee_Tourism_Labor,Coffee_Tourism_Resources,Coffee_Tourism_Markets,Coffee_Tourism_Policy,Coffee_Tourism_Elite,Growth_Phase,20_50_160_250_500,Coffee_tourism_economy_systematization
2000,Independent_East_African_States,Global_Economy,Global_Production,Global_Trade,Global_Currency,Global_Finance,Global_Labor,Global_Resources,Global_Markets,Global_Policy,Global_Elite,Peak_Phase,20_50_160_250_500,Global_economy_coordination

