Date_BCE_CE,Event_Type,Civilization,Religious_Change,Scripture_Modification,Political_Impact,Cycle_Alignment,Artificial_Engineering_Evidence
1500,Religious_Transition,Kitara_Empire,Luo_Religious_Influence,Luo_Oral_Traditions,Religious_Political_Transition,20_50_160_250_500,Religious_political_transition_coordination
1500,Religious_Foundation,Bunyoro_Kingdom,Babiito_Religious_Authority,Oral_Royal_Traditions,Royal_Religious_Legitimacy,20_50_160_250_500,Royal_religious_legitimacy_coordination
1750,Religious_Consolidation,Bunyoro_Kingdom,Royal_Ancestor_Cult,Royal_Oral_Literature,Royal_Religious_Authority,20_50_160_250_500,Royal_religious_authority_coordination
1900,Religious_Contact,Bunyoro_Kingdom,Christian_Missionary_Activity,Runyoro_Bible_Translation,Colonial_Religious_Integration,20_50_160_250_500,Christian_colonial_integration_coordination
1500,Religious_Foundation,Ankole_Kingdom,Bahima_Cattle_Religion,Oral_Pastoral_Traditions,Pastoral_Religious_Authority,20_50_160_250_500,Pastoral_religious_authority_coordination
1750,Religious_Consolidation,Ankole_Kingdom,Cattle_Cult_Systematization,Pastoral_Oral_Literature,Pastoral_Religious_Legitimacy,20_50_160_250_500,Pastoral_religious_legitimacy_coordination
1900,Religious_Contact,Ankole_Kingdom,Christian_Missionary_Activity,Runyankore_Bible_Translation,Colonial_Religious_Integration,20_50_160_250_500,Christian_colonial_integration_coordination
1830,Religious_Foundation,Toro_Kingdom,Babiito_Religious_Breakaway,Royal_Oral_Traditions,Royal_Religious_Independence,20_50_160_250_500,Royal_religious_independence_coordination
1900,Religious_Contact,Toro_Kingdom,Christian_Missionary_Activity,Rutooro_Bible_Translation,Colonial_Religious_Integration,20_50_160_250_500,Christian_colonial_integration_coordination
1500,Religious_Foundation,Busoga_Kingdoms,Soga_Clan_Religion,Clan_Oral_Traditions,Clan_Religious_Authority,20_50_160_250_500,Clan_religious_authority_coordination
1750,Religious_Consolidation,Busoga_Kingdoms,Clan_Spirit_Systematization,Clan_Oral_Literature,Clan_Religious_Legitimacy,20_50_160_250_500,Clan_religious_legitimacy_coordination
1900,Religious_Contact,Busoga_Kingdoms,Christian_Missionary_Activity,Lusoga_Bible_Translation,Colonial_Religious_Integration,20_50_160_250_500,Christian_colonial_integration_coordination
1500,Religious_Foundation,Luo_Kingdoms,Luo_Ancestor_Religion,Luo_Oral_Traditions,Luo_Religious_Authority,20_50_160_250_500,Luo_religious_authority_coordination
1750,Religious_Consolidation,Luo_Kingdoms,Ancestor_Spirit_Systematization,Luo_Oral_Literature,Luo_Religious_Legitimacy,20_50_160_250_500,Luo_religious_legitimacy_coordination
1900,Religious_Contact,Luo_Kingdoms,Christian_Missionary_Activity,Dholuo_Bible_Translation,Colonial_Religious_Integration,20_50_160_250_500,Christian_colonial_integration_coordination
1500,Religious_Foundation,Kikuyu_Chieftains,Kikuyu_Ngai_Religion,Kikuyu_Oral_Traditions,Age_Set_Religious_Authority,20_50_160_250_500,Age_set_religious_authority_coordination
1750,Religious_Consolidation,Kikuyu_Chieftains,Ngai_Worship_Systematization,Kikuyu_Oral_Literature,Elder_Religious_Authority,20_50_160_250_500,Elder_religious_authority_coordination
1900,Religious_Contact,Kikuyu_Chieftains,Christian_Missionary_Activity,Kikuyu_Bible_Translation,Colonial_Religious_Integration,20_50_160_250_500,Christian_colonial_integration_coordination
1500,Religious_Foundation,Maasai_Pastoralists,Maasai_Enkai_Religion,Maasai_Oral_Traditions,Warrior_Religious_Authority,20_50_160_250_500,Warrior_religious_authority_coordination
1750,Religious_Consolidation,Maasai_Pastoralists,Enkai_Worship_Systematization,Maasai_Oral_Literature,Ilkiama_Religious_Authority,20_50_160_250_500,Ilkiama_religious_authority_coordination
1900,Religious_Contact,Maasai_Pastoralists,Christian_Missionary_Activity,Maa_Bible_Translation,Colonial_Religious_Pressure,20_50_160_250_500,Christian_colonial_pressure_coordination
1698,Religious_Foundation,Sultanate_of_Zanzibar,Omani_Ibadi_Islam,Arabic_Islamic_Texts,Islamic_Sultanate_Authority,20_50_160_250_500,Islamic_sultanate_authority_coordination
1800,Religious_Transition,Sultanate_of_Zanzibar,Sunni_Islamic_Influence,Sunni_Islamic_Texts,Religious_Political_Adaptation,20_50_160_250_500,Religious_political_adaptation_coordination
1890,Religious_Pressure,Sultanate_of_Zanzibar,British_Christian_Pressure,Christian_Educational_Texts,Colonial_Religious_Pressure,20_50_160_250_500,Colonial_religious_pressure_coordination
1885,Religious_Colonization,German_East_Africa,German_Lutheran_Missions,German_Language_Bibles,Colonial_Religious_Control,20_50_160_250_500,Colonial_religious_control_coordination
1900,Religious_Institutionalization,German_East_Africa,Mission_Education_System,German_Educational_Texts,Colonial_Cultural_Control,20_50_160_250_500,Colonial_cultural_control_coordination
1919,Religious_Transition,German_East_Africa,British_Anglican_Takeover,English_Language_Bibles,Colonial_Religious_Transition,20_50_160_250_500,Colonial_religious_transition_coordination
1895,Religious_Colonization,British_East_Africa,Anglican_Mission_Expansion,English_Language_Bibles,Colonial_Religious_Authority,20_50_160_250_500,Colonial_religious_authority_coordination
1920,Religious_Institutionalization,British_East_Africa,Mission_Education_Dominance,English_Educational_Texts,Colonial_Cultural_Dominance,20_50_160_250_500,Colonial_cultural_dominance_coordination
1950,Religious_Nationalism,British_East_Africa,African_Christian_Independence,Indigenous_Language_Bibles,Religious_Nationalist_Movement,20_50_160_250_500,Religious_nationalist_coordination
1961,Religious_Independence,Independent_East_African_States,African_Christianity_Indigenization,African_Language_Bibles,Religious_Political_Independence,20_50_160_250_500,Religious_political_independence_coordination
1980,Religious_Revival,Independent_East_African_States,Pentecostal_Movement_Expansion,Prosperity_Gospel_Literature,Religious_Economic_Integration,20_50_160_250_500,Religious_economic_revival_coordination
2000,Religious_Globalization,Independent_East_African_States,Global_Pentecostal_Networks,Digital_Religious_Media,Religious_Political_Influence,20_50_160_250_500,Global_religious_coordination

