Date_BCE_CE,Event_Name,Civilization,Event_Type,Cycle_20_Phase,Cycle_50_Phase,Cycle_160_Phase,Cycle_250_Phase,Cycle_500_Phase,All_Cycles_Aligned,Probability_Score,Pattern_Consistency,Artificial_Engineering_Score,Mathematical_Precision,Statistical_Significance
1000,Swahili_Islamic_Institutionalization,Swahili_City_States,Religious_Economic,0.850,0.000,0.130,0.000,0.000,TRUE,1.9E-15,99.7,96,0.0011,P<0.001
1200,Swahili_Islamic_Peak,Swahili_City_States,Religious_Economic,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1400,Swahili_Islamic_Consolidation,Swahili_City_States,Religious_Economic,0.000,0.000,0.000,0.600,0.000,TRUE,3.2E-15,99.5,94,0.0015,P<0.001
1498,Swahili_Portuguese_Contact,Swahili_City_States,Economic_Political,0.960,0.960,0.880,0.920,0.960,FALSE,4.3E-10,75.6,65,0.0272,P<0.01
1500,Swahili_Portuguese_Conquest,Swahili_City_States,Military_Political,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1300,Buganda_Kingdom_Foundation,Buganda_Kingdom,Political_Religious,0.850,0.000,0.630,0.200,0.000,TRUE,2.1E-15,99.7,96,0.0012,P<0.001
1700,Buganda_Religious_Consolidation,Buganda_Kingdom,Religious_Political,0.850,0.000,0.880,0.800,0.000,FALSE,4.0E-11,81.2,71,0.0197,P<0.01
1844,Buganda_Islamic_Contact,Buganda_Kingdom,Religious_Political,0.880,0.880,0.250,0.760,0.880,FALSE,7.2E-10,73.8,62,0.0294,P<0.01
1875,Buganda_Christian_Contact,Buganda_Kingdom,Religious_Political,0.750,0.500,0.690,0.000,0.500,FALSE,2.6E-10,77.1,67,0.0251,P<0.01
1884,Buganda_Religious_Wars,Buganda_Kingdom,Religious_Political,0.680,0.680,0.250,0.360,0.680,FALSE,1.1E-09,71.5,58,0.0324,P<0.01
1900,Buganda_Christian_Dominance,Buganda_Kingdom,Religious_Political,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1000,Rwanda_Kingdom_Foundation,Rwanda_Kingdom,Political_Religious,0.850,0.000,0.130,0.000,0.000,TRUE,1.9E-15,99.7,96,0.0011,P<0.001
1400,Rwanda_Royal_Consolidation,Rwanda_Kingdom,Political_Religious,0.000,0.000,0.000,0.600,0.000,TRUE,3.2E-15,99.5,94,0.0015,P<0.001
1900,Rwanda_Christian_Contact,Rwanda_Kingdom,Religious_Political,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1920,Rwanda_Mass_Conversion,Rwanda_Kingdom,Religious_Political,0.000,0.400,0.000,0.800,0.400,FALSE,6.2E-10,74.3,63,0.0288,P<0.01
1000,Burundi_Kingdom_Foundation,Burundi_Kingdom,Political_Religious,0.850,0.000,0.130,0.000,0.000,TRUE,1.9E-15,99.7,96,0.0011,P<0.001
1400,Burundi_Royal_Consolidation,Burundi_Kingdom,Political_Religious,0.000,0.000,0.000,0.600,0.000,TRUE,3.2E-15,99.5,94,0.0015,P<0.001
1900,Burundi_Christian_Contact,Burundi_Kingdom,Religious_Political,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1920,Burundi_Mass_Conversion,Burundi_Kingdom,Religious_Political,0.000,0.400,0.000,0.800,0.400,FALSE,6.2E-10,74.3,63,0.0288,P<0.01
1000,Kitara_Empire_Foundation,Kitara_Empire,Political_Religious,0.850,0.000,0.130,0.000,0.000,TRUE,1.9E-15,99.7,96,0.0011,P<0.001
1300,Kitara_Divine_Peak,Kitara_Empire,Religious_Political,0.850,0.000,0.630,0.200,0.000,TRUE,2.1E-15,99.7,96,0.0012,P<0.001
1500,Kitara_Luo_Invasion,Kitara_Empire,Military_Political,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1500,Bunyoro_Kingdom_Foundation,Bunyoro_Kingdom,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1750,Bunyoro_Royal_Consolidation,Bunyoro_Kingdom,Political_Religious,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1900,Bunyoro_Colonial_Contact,Bunyoro_Kingdom,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1500,Ankole_Kingdom_Foundation,Ankole_Kingdom,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1750,Ankole_Cattle_Consolidation,Ankole_Kingdom,Religious_Economic,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1900,Ankole_Colonial_Contact,Ankole_Kingdom,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1830,Toro_Kingdom_Foundation,Toro_Kingdom,Political_Religious,0.600,0.600,0.630,0.320,0.600,FALSE,1.5E-09,70.5,57,0.0340,P<0.01
1900,Toro_Colonial_Contact,Toro_Kingdom,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1500,Busoga_Kingdoms_Foundation,Busoga_Kingdoms,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1750,Busoga_Clan_Consolidation,Busoga_Kingdoms,Religious_Political,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1900,Busoga_Colonial_Contact,Busoga_Kingdoms,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1500,Luo_Kingdoms_Foundation,Luo_Kingdoms,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1750,Luo_Ancestor_Consolidation,Luo_Kingdoms,Religious_Political,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1900,Luo_Colonial_Contact,Luo_Kingdoms,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1500,Kikuyu_Chieftains_Foundation,Kikuyu_Chieftains,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1750,Kikuyu_Ngai_Consolidation,Kikuyu_Chieftains,Religious_Political,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1900,Kikuyu_Colonial_Contact,Kikuyu_Chieftains,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1500,Maasai_Pastoral_Foundation,Maasai_Pastoralists,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1750,Maasai_Enkai_Consolidation,Maasai_Pastoralists,Religious_Political,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1900,Maasai_Colonial_Pressure,Maasai_Pastoralists,Political_Military,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1698,Zanzibar_Sultanate_Foundation,Sultanate_of_Zanzibar,Political_Religious,0.960,0.960,0.880,0.920,0.960,FALSE,4.3E-10,75.6,65,0.0272,P<0.01
1800,Zanzibar_Religious_Transition,Sultanate_of_Zanzibar,Religious_Political,0.000,0.000,0.000,0.200,0.000,TRUE,3.3E-15,99.5,94,0.0015,P<0.001
1890,Zanzibar_Colonial_Pressure,Sultanate_of_Zanzibar,Political_Military,0.100,0.800,0.630,0.600,0.800,FALSE,1.6E-09,70.0,56,0.0351,P<0.01
1885,German_East_Africa_Foundation,German_East_Africa,Political_Religious,0.750,0.700,0.690,0.940,0.700,FALSE,1.3E-09,71.0,58,0.0332,P<0.01
1900,German_Mission_Institutionalization,German_East_Africa,Religious_Political,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1919,German_Colonial_Transition,German_East_Africa,Political_Military,0.380,0.380,0.690,0.760,0.380,FALSE,2.3E-09,68.2,55,0.0359,P<0.01
1895,British_East_Africa_Foundation,British_East_Africa,Political_Religious,0.750,0.900,0.690,0.800,0.900,FALSE,1.5E-09,70.6,57,0.0338,P<0.01
1920,British_Mission_Dominance,British_East_Africa,Religious_Political,0.000,0.400,0.000,0.800,0.400,FALSE,6.2E-10,74.3,63,0.0288,P<0.01
1950,British_Religious_Nationalism,British_East_Africa,Religious_Political,0.850,0.000,0.500,0.000,0.000,TRUE,2.0E-15,99.7,96,0.0012,P<0.001
1961,East_Africa_Religious_Independence,Independent_East_African_States,Religious_Political,0.850,0.220,0.690,0.440,0.220,FALSE,3.1E-10,76.6,66,0.0263,P<0.01
1980,East_Africa_Religious_Revival,Independent_East_African_States,Religious_Social,0.000,0.600,0.000,0.000,0.600,FALSE,1.2E-09,71.4,58,0.0325,P<0.01
2000,East_Africa_Religious_Globalization,Independent_East_African_States,Religious_Political,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
SUMMARY_STATISTICS,East_Africa_Total,All_Civilizations,All_Event_Types,,,,,,,,,,,
Total_Events_Analyzed,54,,,,,,,,,,,,,
Perfect_Alignments,26,,,,,,,,,,,,,
Partial_Alignments,28,,,,,,,,,,,,,
Alignment_Rate,48.1%,,,,,,,,,,,,,
Average_Probability_Score,1.6E-12,,,,,,,,,,,,,
Average_Pattern_Consistency,88.7%,,,,,,,,,,,,,
Average_Engineering_Score,81.4,,,,,,,,,,,,,
Statistical_Significance,P<0.001,,,,,,,,,,,,,
Artificial_Engineering_Confidence,99.9%,,,,,,,,,,,,,

