Cycle_ID,Year,Period,Event_Name,Cycle_Type,Region,Civilization,Impact_Level,Duration_Years,Source_Reliability,Primary_Angle_Events,Earth_Tilt_Events,Total_Critical_Events,Nearest_GC_Distance,Within_GC_Influence,Enhanced_Score,Perfect_Alignment,Jupiter_Position,Saturn_Position,Mars_Position,Venus_Position,Mercury_Position
15,-409,1,Greece_Military_Conquest_409_BCE,Military_Conquest,Greece,Hellenistic_Greece,Major,6,High,0,0,1,6.079999999999927,False,25,False,316.8971332209039,122.03389830508604,222.12765957450029,185.80645161285065,180.0
16,-397,1,Rome_Cultural_Religious_397_BCE,Cultural_Religious,Rome,Roman_Republic,Moderate,22,Low,0,0,1,5.920000000000073,False,25,False,321.1467116357526,268.47457627118274,0.0,313.54838709672913,180.0
17,-384,1,Persia_Dynastic_Change_384_BCE,Dynastic_Change,Persia,Persia_Civilization,Significant,2,High,2,0,3,0.9400000000000546,True,375,True,355.75042158515134,67.11864406779569,329.361702127615,301.9354838710278,240.0
18,-372,1,Byzantine_Religious_Reform_372_BCE,Religious_Reform,Byzantine,Byzantine_Civilization,Significant,18,Low,1,0,2,8.800000000000182,False,150,False,0.0,213.55932203389602,107.23404255317291,69.67741935467348,240.0
19,-359,1,Islamic_Caliphate_Political_Religious_359_BCE,Political_Religious,Islamic_Caliphate,Islamic_Caliphate_Civilization,Significant,7,Medium,0,2,2,4.199999999999818,False,200,False,34.603709949413314,12.203389830508968,76.5957446807879,58.06451612897217,299.99999999953434
20,-347,1,Crusader_States_Economic_Trade_347_BCE,Economic_Trade,Crusader_States,Crusader_States_Civilization,Significant,5,High,1,0,2,3.6599999999998545,False,150,False,38.85328836424742,158.6440677966093,214.46808510634582,185.80645161285065,299.99999999953434
21,-334,1,Mesopotamia_Military_Conquest_334_BCE,Military_Conquest,Mesopotamia,Persian_Empire,Significant,13,High,0,0,0,9.340000000000146,False,0,False,73.45699831364618,317.28813559322225,183.82978723401902,174.19354838714935,0.0
22,-321,1,Levant_Cultural_Religious_321_BCE,Cultural_Religious,Levant,Levant_Civilization,Moderate,19,Medium,0,0,0,2.480000000000018,True,100,False,108.06070826307405,115.93220338982792,153.19148936169222,162.58064516121522,60.0
23,-309,1,Anatolia_Dynastic_Change_309_BCE,Dynastic_Change,Anatolia,Anatolia_Civilization,Significant,15,Medium,1,0,1,5.380000000000109,False,125,False,112.31028667790815,262.3728813559319,291.06382978719193,290.3225806453265,60.0
24,-296,1,Egypt_Religious_Reform_296_BCE,Religious_Reform,Egypt,Ptolemaic_Egypt,Significant,6,Low,1,0,1,7.619999999999891,False,125,False,146.91399662730691,61.0169491525412,260.42553191486513,278.70967741915956,119.99999999953434
25,-284,1,Greece_Political_Religious_284_BCE,Political_Religious,Greece,Hellenistic_Greece,Significant,8,High,0,0,0,0.24000000000023647,True,100,False,151.16357504215557,207.45762711864518,38.297872340423055,46.45161290327087,119.99999999953434
26,-271,1,Rome_Economic_Trade_271_BCE,Economic_Trade,Rome,Roman_Republic,Major,3,High,1,0,2,7.099999999999909,False,150,False,185.76728499156889,6.101694915250846,7.6595744680962525,34.83870967733674,180.0
27,-258,1,Persia_Military_Conquest_258_BCE,Military_Conquest,Persia,Persia_Civilization,Major,1,High,0,0,0,5.900000000000091,False,0,False,220.37099494096765,164.7457627118638,337.02127659576945,23.225806451635435,240.0
28,-246,1,Byzantine_Cultural_Religious_246_BCE,Cultural_Religious,Byzantine,Byzantine_Civilization,Moderate,1,Medium,0,0,2,1.9600000000000364,True,150,False,224.6205733558163,311.18644067796413,114.89361702126916,150.9677419355139,240.0
29,-233,1,Islamic_Caliphate_Dynastic_Change_233_BCE,Dynastic_Change,Islamic_Caliphate,Islamic_Caliphate_Civilization,Significant,24,Medium,1,0,3,8.820000000000164,False,175,False,259.2242833052296,109.83050847457707,84.25531914888415,139.3548387098126,299.99999999953434
30,-221,1,Crusader_States_Religious_Reform_221_BCE,Religious_Reform,Crusader_States,Crusader_States_Civilization,Major,19,High,0,0,1,3.1799999999998363,False,25,False,263.4738617200637,256.27118644068105,222.12765957450029,267.09677419345826,299.99999999953434
31,-208,1,Mesopotamia_Political_Religious_208_BCE,Political_Religious,Mesopotamia,Seleucid_Empire,Significant,14,High,0,0,0,3.680000000000291,False,0,False,298.07757166947704,54.91525423728672,191.48936170205707,255.48387096775696,0.0
32,-196,1,Levant_Economic_Trade_196_BCE,Economic_Trade,Levant,Levant_Civilization,Significant,5,High,1,1,3,8.319999999999709,False,250,False,302.32715008431114,201.3559322033907,329.361702127615,23.225806451635435,0.0
33,-183,1,Anatolia_Military_Conquest_183_BCE,Military_Conquest,Anatolia,Anatolia_Civilization,Major,13,Medium,0,1,2,1.4600000000000364,True,225,False,336.93086003372446,0.0,298.7234042552882,11.612903225701302,60.0
34,-170,1,Egypt_Cultural_Religious_170_BCE,Cultural_Religious,Egypt,Ptolemaic_Egypt,Significant,16,Low,0,0,1,5.400000000000091,False,25,False,11.534569983137771,158.6440677966093,268.0851063829614,0.0,119.99999999953434
35,-158,1,Greece_Dynastic_Change_158_BCE,Dynastic_Change,Greece,Hellenistic_Greece,Significant,23,High,0,0,1,6.599999999999909,False,25,False,15.784148397971876,305.0847457627133,45.9574468084611,127.74193548387848,119.99999999953434
36,-145,1,Rome_Religious_Reform_145_BCE,Religious_Reform,Rome,Roman_Republic,Moderate,15,High,0,0,1,0.2600000000002183,True,125,False,50.38785834738519,103.72881355931895,15.319148936134297,116.12903225817718,180.0
37,-133,1,Persia_Political_Religious_133_BCE,Political_Religious,Persia,Persia_Civilization,Major,3,Medium,1,0,2,8.11999999999989,False,150,False,54.637436762219295,250.16949152542293,153.19148936169222,243.87096774182282,180.0
38,-120,1,Byzantine_Economic_Trade_120_BCE,Economic_Trade,Byzantine,Byzantine_Civilization,Significant,18,Medium,0,0,0,4.880000000000109,False,0,False,89.24114671163261,48.81355932203587,122.55319148936542,232.25806451612152,240.0
39,-108,1,Islamic_Caliphate_Military_Conquest_108_BCE,Military_Conquest,Islamic_Caliphate,Islamic_Caliphate_Civilization,Moderate,19,High,0,0,1,2.980000000000018,True,125,False,93.49072512647399,195.2542372881362,260.42553191486513,0.0,240.0
40,-95,1,Crusader_States_Cultural_Religious_95_BCE,Cultural_Religious,Crusader_States,Crusader_States_Civilization,Significant,22,Medium,0,0,0,9.840000000000146,False,0,False,128.0944350758873,353.89830508474915,229.78723404253833,348.3870967742987,299.99999999953434
41,-82,1,Mesopotamia_Dynastic_Change_82_BCE,Dynastic_Change,Mesopotamia,Parthian_Empire,Moderate,4,High,0,1,2,3.1599999999998545,False,125,False,162.69814502529334,152.54237288135482,199.14893617015332,336.77419354836456,0.0
42,-70,1,Levant_Religious_Reform_70_BCE,Religious_Reform,Levant,Levant_Civilization,Significant,1,High,0,1,1,4.700000000000273,False,100,False,166.94772344012745,298.9830508474588,337.02127659576945,104.51612903224304,0.0
43,-57,1,Anatolia_Political_Religious_57_BCE,Political_Religious,Anatolia,Anatolia_Civilization,Significant,8,High,0,0,0,8.299999999999727,False,0,False,201.55143338954804,97.6271186440681,306.38297872338444,92.90322580630891,60.0
44,-45,1,Egypt_Economic_Trade_45_BCE,Economic_Trade,Egypt,Ptolemaic_Egypt,Significant,1,Medium,0,2,2,0.44000000000005457,True,300,False,205.80101180438214,244.06779661017208,84.25531914888415,220.6451612901874,60.0
45,-32,1,Greece_Military_Conquest_32_BCE,Military_Conquest,Greece,Roman_Greece,Moderate,18,Low,0,0,2,6.420000000000073,False,50,False,240.40472175378818,42.71186440677775,53.61702127655735,209.0322580644861,119.99999999953434
46,-19,1,Rome_Cultural_Religious_19_BCE,Cultural_Religious,Rome,Roman_Empire,Moderate,23,High,0,0,0,6.579999999999927,False,0,False,275.0084317031942,201.3559322033907,22.97872340423055,197.41935483878478,180.0
47,-7,1,Persia_Dynastic_Change_7_BCE,Dynastic_Change,Persia,Persia_Civilization,Moderate,5,High,0,1,1,1.2799999999999727,True,200,False,279.2580101180429,347.79661016949103,160.85106382973026,325.16129032266326,180.0
48,5,1,Byzantine_Religious_Reform_5_CE,Religious_Reform,Byzantine,Byzantine_Civilization,Significant,11,High,0,0,0,9.1400000000001,False,0,False,283.507588532877,134.237288135595,298.7234042552882,92.90322580630891,180.0
49,17,1,Islamic_Caliphate_Political_Religious_17_CE,Political_Religious,Islamic_Caliphate,Islamic_Caliphate_Civilization,Major,13,High,0,0,1,2.8599999999999,True,125,False,287.75716694771836,280.6779661016917,76.5957446807879,220.6451612901874,180.0
50,30,1,Crusader_States_Economic_Trade_30_CE,Economic_Trade,Crusader_States,Crusader_States_Civilization,Moderate,18,High,0,0,1,4.0,False,25,False,322.3608768971317,79.32203389830829,45.9574468084611,209.0322580644861,240.0
51,42,1,Mesopotamia_Military_Conquest_42_CE,Military_Conquest,Mesopotamia,Parthian_Empire,Significant,20,High,0,0,0,8.0,False,0,False,326.61045531197306,225.762711864405,183.82978723401902,336.77419354836456,240.0
52,55,1,Levant_Cultural_Religious_55_CE,Cultural_Religious,Levant,Levant_Civilization,Significant,17,High,1,2,5,1.1399999999998727,True,475,True,1.2141652613790939,24.406779661017936,153.19148936169222,325.16129032266326,300.0
53,68,1,Anatolia_Dynastic_Change_68_CE,Dynastic_Change,Anatolia,Anatolia_Civilization,Moderate,7,High,0,0,2,5.720000000000027,False,50,False,35.81787521078513,183.05084745762724,122.55319148936542,313.54838709672913,0.0
54,80,1,Egypt_Religious_Reform_80_CE,Religious_Reform,Egypt,Roman_Egypt,Major,2,High,0,0,2,6.279999999999973,False,50,False,40.06745362563379,329.4915254237312,260.42553191486513,81.29032258060761,0.0
55,93,1,Greece_Political_Religious_93_CE,Political_Religious,Greece,Roman_Greece,Moderate,10,Medium,0,0,0,0.5800000000001546,True,100,False,74.67116357503983,128.1355932203369,229.78723404253833,69.67741935467348,60.0
56,105,1,Rome_Economic_Trade_105_CE,Economic_Trade,Rome,Roman_Empire,Moderate,20,Medium,0,0,0,8.440000000000055,False,0,False,78.92074198987393,274.57627118644086,7.6595744680962525,197.41935483878478,60.0
57,118,1,Persia_Military_Conquest_118_CE,Military_Conquest,Persia,Persia_Civilization,Major,14,High,0,0,0,4.559999999999945,False,0,False,113.52445193929452,73.22033898305017,337.02127659571124,185.80645161285065,120.0
58,131,1,Byzantine_Cultural_Religious_131_CE,Cultural_Religious,Byzantine,Byzantine_Civilization,Major,24,Medium,1,0,1,2.2999999999999545,True,225,True,148.12816188870056,231.86440677965948,306.38297872338444,174.19354838714935,180.0
59,143,1,Islamic_Caliphate_Dynastic_Change_143_CE,Dynastic_Change,Islamic_Caliphate,Islamic_Caliphate_Civilization,Significant,11,High,1,0,1,9.700000000000045,False,125,False,152.37774030353467,18.305084745763452,84.25531914894236,301.9354838710278,180.0
60,156,1,Crusader_States_Religious_Reform_156_CE,Religious_Reform,Crusader_States,Crusader_States_Civilization,Moderate,17,Medium,0,0,0,2.839999999999918,True,100,False,186.9814502529407,176.94915254237276,53.61702127655735,290.3225806453265,240.0
61,168,1,Mesopotamia_Political_Religious_168_CE,Political_Religious,Mesopotamia,Parthian_Empire,Major,7,High,0,0,0,5.019999999999982,False,0,False,191.23102866778936,323.38983050847673,191.48936170211527,58.06451612897217,240.0
62,181,1,Levant_Economic_Trade_181_CE,Economic_Trade,Levant,Levant_Civilization,Major,7,Medium,0,0,1,7.980000000000018,False,25,False,225.8347386171954,122.03389830508604,160.85106382973026,46.45161290327087,300.0
63,193,1,Anatolia_Military_Conquest_193_CE,Military_Conquest,Anatolia,Anatolia_Civilization,Significant,7,High,0,0,1,0.11999999999989086,True,125,False,230.08431703203678,268.4745762711864,298.7234042552882,174.19354838714935,300.0
64,206,1,Egypt_Cultural_Religious_206_CE,Cultural_Religious,Egypt,Roman_Egypt,Major,2,High,0,0,0,6.740000000000009,False,0,False,264.6880269814501,67.11864406779569,268.0851063829614,162.58064516133163,0.0
65,219,1,Greece_Dynastic_Change_219_CE,Dynastic_Change,Greece,Roman_Greece,Significant,2,Medium,0,0,2,6.259999999999991,False,50,False,299.29173693085613,225.76271186440863,237.44680851057637,150.9677419355139,60.0
66,231,1,Rome_Religious_Reform_231_CE,Religious_Reform,Rome,Roman_Empire,Significant,17,High,1,1,2,1.6000000000001364,True,325,True,303.5413153456975,12.203389830508968,15.319148936134297,278.7096774193924,60.0
67,244,1,Persia_Political_Religious_244_CE,Political_Religious,Persia,Persia_Civilization,Significant,8,High,0,0,0,8.460000000000036,False,0,False,338.14502529510355,170.84745762711827,344.6808510638075,267.09677419345826,120.0
68,256,1,Byzantine_Economic_Trade_256_CE,Economic_Trade,Byzantine,Byzantine_Civilization,Moderate,9,Medium,1,1,2,3.5399999999999636,False,225,False,342.3946037099522,317.28813559322225,122.55319148936542,34.83870967733674,120.0
69,269,1,Islamic_Caliphate_Military_Conquest_269_CE,Military_Conquest,Islamic_Caliphate,Islamic_Caliphate_Civilization,Significant,18,High,0,1,1,3.3200000000001637,False,100,False,16.998313659358246,115.93220338983156,91.91489361698041,23.225806451635435,180.0
70,281,1,Crusader_States_Cultural_Religious_281_CE,Cultural_Religious,Crusader_States,Crusader_States_Civilization,Significant,15,High,0,0,1,8.679999999999836,False,25,False,21.24789207419235,262.3728813559319,229.78723404253833,150.9677419355139,180.0
71,294,1,Mesopotamia_Dynastic_Change_294_CE,Dynastic_Change,Mesopotamia,Sassanid_Empire,Significant,17,Medium,0,0,1,1.8199999999999363,True,125,False,55.85160202361294,61.0169491525412,199.14893617021153,139.3548387096962,240.0
72,307,1,Levant_Religious_Reform_307_CE,Religious_Reform,Levant,Levant_Civilization,Major,3,High,0,0,0,5.039999999999964,False,0,False,90.45531197301898,219.66101694915415,168.51063829782652,127.74193548387848,300.0
73,319,1,Anatolia_Political_Religious_319_CE,Political_Religious,Anatolia,Anatolia_Civilization,Significant,17,Low,0,0,1,6.960000000000036,False,25,False,94.70489038785308,6.101694915254484,306.38297872338444,255.48387096764054,300.0
74,332,1,Egypt_Economic_Trade_332_CE,Economic_Trade,Egypt,Roman_Egypt,Moderate,19,High,0,0,1,0.09999999999990905,True,125,False,129.30860033725912,164.7457627118638,275.74468085105764,243.87096774182282,0.0
75,344,1,Greece_Military_Conquest_344_CE,Military_Conquest,Greece,Byzantine_Greece,Moderate,11,Medium,0,0,1,7.759999999999991,False,25,False,133.55817875210778,311.18644067796777,53.61702127655735,11.612903225817718,0.0
76,357,1,Rome_Cultural_Religious_357_CE,Cultural_Religious,Rome,Roman_Empire,Major,5,High,0,1,2,5.240000000000009,False,125,False,168.16188870151382,109.83050847457707,22.97872340423055,0.0,60.0
77,370,1,Persia_Dynastic_Change_370_CE,Dynastic_Change,Persia,Persia_Civilization,Significant,24,High,0,0,0,1.6200000000001182,True,100,False,202.76559865091986,268.4745762711864,352.34042553190375,348.3870967741823,120.0
78,382,1,Byzantine_Religious_Reform_382_CE,Religious_Reform,Byzantine,Byzantine_Civilization,Moderate,10,High,0,0,1,9.480000000000018,False,25,False,207.0151770657685,54.91525423728672,130.21276595746167,116.12903225817718,120.0
79,395,1,Islamic_Caliphate_Political_Religious_395_CE,Political_Religious,Islamic_Caliphate,Islamic_Caliphate_Civilization,Moderate,12,Medium,1,0,1,3.519999999999982,False,125,False,241.61888701517455,213.55932203389966,99.57446808507666,104.51612903235946,180.0
80,407,1,Crusader_States_Economic_Trade_407_CE,Economic_Trade,Crusader_States,Crusader_States_Civilization,Major,16,High,0,0,1,4.3400000000001455,False,25,False,245.86846543001593,0.0,237.44680851063458,232.25806451612152,180.0
81,420,1,Mesopotamia_Military_Conquest_420_CE,Military_Conquest,Mesopotamia,Sassanid_Empire,Major,17,High,0,0,1,8.659999999999854,False,25,False,280.47217537942197,158.6440677966093,206.80851063830778,220.6451612903038,240.0
82,432,1,Levant_Cultural_Religious_432_CE,Cultural_Religious,Levant,Levant_Civilization,Moderate,21,High,0,0,1,0.7999999999999545,True,125,False,284.7217537942706,305.0847457627133,344.6808510638075,348.3870967741823,240.0
83,445,1,Anatolia_Dynastic_Change_445_CE,Dynastic_Change,Anatolia,Anatolia_Civilization,Moderate,13,Medium,0,1,2,6.059999999999945,False,125,False,319.32546374367666,103.72881355932259,314.0425531914807,336.77419354836456,300.0
84,458,1,Egypt_Religious_Reform_458_CE,Religious_Reform,Egypt,Roman_Egypt,Significant,22,Low,0,0,0,6.940000000000055,False,0,False,353.9291736930827,262.3728813559319,283.4042553190957,325.16129032266326,0.0
85,470,1,Greece_Political_Religious_470_CE,Political_Religious,Greece,Byzantine_Greece,Significant,22,High,0,0,0,0.9200000000000728,True,100,False,358.17875210793136,48.81355932203223,61.276595744653605,92.90322580630891,0.0
86,483,1,Rome_Economic_Trade_483_CE,Economic_Trade,Rome,Byzantine_Empire,Significant,11,Medium,1,0,2,7.779999999999973,False,150,False,32.7824620573374,207.45762711864518,30.638297872326802,81.29032258060761,60.0
87,495,1,Persia_Military_Conquest_495_CE,Military_Conquest,Persia,Persia_Civilization,Moderate,14,High,0,1,1,4.220000000000027,False,100,False,37.0320404721715,353.8983050847455,168.51063829782652,209.0322580644861,60.0
88,508,1,Byzantine_Cultural_Religious_508_CE,Cultural_Religious,Byzantine,Byzantine_Civilization,Moderate,4,Medium,0,0,1,2.6400000000001,True,125,False,71.63575042158482,152.54237288135482,137.87234042549971,197.41935483866837,120.0
89,520,1,Islamic_Caliphate_Dynastic_Change_520_CE,Dynastic_Change,Islamic_Caliphate,Islamic_Caliphate_Civilization,Moderate,7,High,1,1,2,9.3599999999999,False,225,False,75.88532883641892,298.9830508474588,275.74468085105764,325.16129032266326,120.0
90,533,1,Crusader_States_Religious_Reform_533_CE,Religious_Reform,Crusader_States,Crusader_States_Civilization,Moderate,4,Medium,0,0,0,2.5,True,100,False,110.48903878583224,97.6271186440681,245.10638297873084,313.54838709684554,180.0
91,546,1,Mesopotamia_Political_Religious_546_CE,Political_Religious,Mesopotamia,Sassanid_Empire,Significant,9,High,1,0,1,4.360000000000127,False,125,False,145.09274873523827,256.2711864406774,214.46808510634582,301.9354838710278,240.0
92,558,1,Levant_Economic_Trade_558_CE,Economic_Trade,Levant,Levant_Civilization,Major,2,Medium,1,0,2,7.639999999999873,False,150,False,149.34232715007965,42.71186440677775,352.34042553190375,69.67741935478989,240.0
93,571,1,Anatolia_Military_Conquest_571_CE,Military_Conquest,Anatolia,Anatolia_Civilization,Significant,2,Medium,0,1,2,0.7799999999999727,True,225,False,183.94603709949297,201.3559322033907,321.70212765957695,58.06451612897217,300.0
94,583,1,Egypt_Cultural_Religious_583_CE,Cultural_Religious,Egypt,Roman_Egypt,Significant,14,High,0,0,0,7.079999999999927,False,0,False,188.19561551433435,347.79661016949103,99.57446808507666,185.80645161285065,300.0
95,596,1,Greece_Dynastic_Change_596_CE,Dynastic_Change,Greece,Byzantine_Greece,Significant,12,Medium,1,0,1,5.920000000000073,False,125,False,222.7993254637404,146.44067796610034,68.93617021274986,174.19354838714935,0.0
96,609,1,Rome_Religious_Reform_609_CE,Religious_Reform,Rome,Byzantine_Empire,Significant,16,Medium,0,1,1,0.9400000000000546,True,200,False,257.4030354131537,305.0847457627133,38.297872340423055,162.58064516133163,59.99999999976717
97,621,1,Persia_Political_Religious_621_CE,Political_Religious,Persia,Persia_Civilization,Moderate,6,Low,0,0,0,8.799999999999955,False,0,False,261.6526138279951,91.52542372881362,176.17021276598098,290.3225806452101,59.99999999976717
98,634,1,Byzantine_Economic_Trade_634_CE,Economic_Trade,Byzantine,Byzantine_Civilization,Moderate,7,High,2,0,2,4.2000000000000455,False,250,False,296.2563237774011,250.16949152542293,145.53191489359597,278.7096774193924,120.0
99,646,1,Islamic_Caliphate_Military_Conquest_646_CE,Military_Conquest,Islamic_Caliphate,Islamic_Caliphate_Civilization,Significant,7,High,0,0,1,3.660000000000082,False,25,False,300.5059021922425,36.610169491523266,283.4042553191248,46.451612903154455,120.0
100,659,1,Crusader_States_Cultural_Religious_659_CE,Cultural_Religious,Crusader_States,Crusader_States_Civilization,Moderate,1,High,0,0,1,9.339999999999918,False,25,False,335.10961214164854,195.2542372881344,252.76595744679798,34.83870967733674,180.0
101,671,1,Mesopotamia_Dynastic_Change_671_CE,Dynastic_Change,Mesopotamia,Islamic_Caliphate,Significant,19,High,0,0,1,1.4800000000000182,True,125,False,339.3591905564899,341.69491525423655,30.638297872326802,162.58064516133163,180.0
102,684,1,Levant_Religious_Reform_684_CE,Religious_Reform,Levant,Levant_Civilization,Moderate,18,Medium,0,0,2,5.380000000000109,False,50,False,13.962900505903235,140.33898305084585,0.0,150.9677419355139,239.99999999976717
103,697,1,Anatolia_Political_Religious_697_CE,Political_Religious,Anatolia,Anatolia_Civilization,Major,4,High,0,0,3,7.619999999999891,False,75,False,48.566610455309274,298.983050847457,329.3617021276441,139.3548387096962,300.0
104,709,1,Egypt_Economic_Trade_709_CE,Economic_Trade,Egypt,Islamic_Egypt,Major,15,High,0,1,1,0.2400000000000091,True,200,False,52.816188870150654,85.42372881355914,107.23404255317291,267.09677419345826,300.0
105,722,1,Greece_Military_Conquest_722_CE,Military_Conquest,Greece,Byzantine_Greece,Significant,12,Low,0,0,0,7.100000000000136,False,0,False,87.41989881955669,244.06779661016844,76.59574468084611,255.48387096764054,0.0
106,734,1,Rome_Cultural_Religious_734_CE,Cultural_Religious,Rome,Byzantine_Empire,Significant,13,High,0,1,2,4.899999999999864,False,125,False,91.66947723439807,30.5084745762706,214.46808510634582,23.225806451635435,0.0
107,747,1,Persia_Dynastic_Change_747_CE,Dynastic_Change,Persia,Persia_Civilization,Significant,7,High,0,0,0,1.9600000000000364,True,100,False,126.27318718380411,189.1525423728799,183.82978723404813,11.612903225817718,59.99999999976717
108,759,1,Byzantine_Religious_Reform_759_CE,Religious_Reform,Byzantine,Byzantine_Civilization,Significant,4,High,0,0,0,9.819999999999936,False,0,False,130.52276559865277,335.59322033898206,321.70212765954784,139.35483870957978,59.99999999976717
109,772,1,Islamic_Caliphate_Political_Religious_772_CE,Political_Religious,Islamic_Caliphate,Islamic_Caliphate_Civilization,Significant,5,Medium,0,0,1,3.1800000000000637,False,25,False,165.1264755480588,134.23728813559137,291.06382978725014,127.74193548387848,120.0
110,785,1,Crusader_States_Economic_Trade_785_CE,Economic_Trade,Crusader_States,Crusader_States_Civilization,Moderate,21,High,0,0,1,3.6800000000000637,False,25,False,199.73018549747212,292.8813559322025,260.42553191486513,116.12903225806076,180.0
111,797,1,Mesopotamia_Military_Conquest_797_CE,Military_Conquest,Mesopotamia,Islamic_Caliphate,Significant,23,High,0,1,1,8.319999999999936,False,100,False,203.9797639123135,79.32203389830465,38.29787234039395,243.87096774193924,180.0
112,810,1,Levant_Cultural_Religious_810_CE,Cultural_Religious,Levant,Levant_Civilization,Significant,10,High,0,0,0,1.4600000000000364,True,100,False,238.58347386171954,237.96610169491396,7.659574468067149,232.25806451612152,239.99999999976717
113,822,1,Anatolia_Dynastic_Change_822_CE,Dynastic_Change,Anatolia,Anatolia_Civilization,Major,22,High,0,1,2,6.400000000000091,False,125,False,242.83305227656092,24.406779661017936,145.53191489359597,0.0,239.99999999976717
114,835,1,Egypt_Religious_Reform_835_CE,Religious_Reform,Egypt,Islamic_Egypt,Moderate,20,High,0,1,1,6.599999999999909,False,100,False,277.43676222596696,183.05084745762542,114.89361702126916,348.3870967741823,300.0
115,848,1,Greece_Political_Religious_848_CE,Political_Religious,Greece,Byzantine_Greece,Significant,19,High,1,2,4,0.2599999999999909,True,450,True,312.0404721753803,341.69491525423655,84.25531914891326,336.77419354836456,0.0
116,860,1,Rome_Economic_Trade_860_CE,Economic_Trade,Rome,Byzantine_Empire,Major,17,High,0,1,1,8.120000000000118,False,100,False,316.2900505902144,128.13559322034052,222.12765957444208,104.51612903224304,0.0
117,873,1,Persia_Military_Conquest_873_CE,Military_Conquest,Persia,Persia_Civilization,Major,15,High,0,0,0,4.879999999999882,False,0,False,350.8937605396277,286.779661016948,191.48936170211527,92.90322580642533,59.99999999976717
118,885,1,Byzantine_Cultural_Religious_885_CE,Cultural_Religious,Byzantine,Byzantine_Civilization,Major,17,High,1,0,2,2.980000000000018,True,250,True,355.1433389544691,73.22033898305199,329.3617021276441,220.6451612903038,59.99999999976717
