ID,Name,Country,Latitude,Longitude,Region,cyan,magenta,yellow,black,earthResonance,activeLayer,layerFrequency,layerDepth,tectonicZone,tectonicAmplification,isDeepSubduction,pWaveVelocity
96,Fort Nassau,Indonesia,-4.5167,129.8833,Asia,0.7197,0.6262,1.0,0.5591,0.522,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857
97,Fort Oranje,Indonesia,-0.7833,127.3833,Asia,0.7192,0.6262,1.0,0.5652,0.522,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857
98,Fort Marlborough,Indonesia,-3.7833,-102.25,Asia,0.7275,0.7439,0.8583,0.5707,0.5294,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857
99,Fort Vastenburg,Indonesia,-7.5667,110.8167,Asia,0.7361,0.6262,1.0,0.5597,0.527,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857
100,Fort Cornwallis,Malaysia,5.4167,100.3333,Asia,0.6953,0.6262,0.9636,0.6806,0.5129,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857
101,Gory?kaku,Japan,41.8,140.75,Asia,0.7175,0.6262,0.9633,0.5577,0.5155,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857
102,Hekirichi Bastion Fort,Japan,41.8167,140.65,Asia,0.7175,0.6262,0.9635,0.5577,0.5155,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857
103,Tatsuoka Castle,Japan,36.2,138.4833,Asia,0.7181,0.6262,0.8406,0.5693,0.4978,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857
104,Temple Mount,Israel,31.7778,35.2356,Asia,0.6953,0.6037,0.8586,0.5556,0.4881,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
105,Forte de Barém,Bahrain,26.2333,50.5333,Asia,0.7178,0.4912,0.8497,0.2974,0.4662,upper_crust,20.8,10,,1.0,False,6.3857
106,Fort Nossa Senhora da Vitória,Angola,-10.7333,13.75,Africa,0.6953,0.4912,0.9556,0.4073,0.4779,upper_crust,20.8,10,,1.0,False,6.3857
107,Fortress of Muxima,Angola,-9.5,13.9167,Africa,0.6953,0.4912,0.96,0.4073,0.4786,upper_crust,20.8,10,,1.0,False,6.3857
108,Fortress of Kambambe,Angola,-9.75,14.4833,Africa,0.6953,0.4912,0.9602,0.4073,0.4786,upper_crust,20.8,10,,1.0,False,6.3857
109,Fort São Filipe,Angola,-12.5833,13.4,Africa,0.6953,0.4912,0.9485,0.4073,0.4767,upper_crust,20.8,10,,1.0,False,6.3857
110,Fort São Francisco do Penedo,Angola,-15.2,12.15,Africa,0.6953,0.4912,0.937,0.4073,0.4748,upper_crust,20.8,10,,1.0,False,6.3857
111,Quicombo Fort,Angola,-12.3667,13.7833,Africa,0.6953,0.4912,0.9499,0.4073,0.4769,upper_crust,20.8,10,,1.0,False,6.3857
112,Fort São José,Angola,-6.2667,14.25,Africa,0.6953,0.4912,0.9706,0.4073,0.4804,upper_crust,20.8,10,,1.0,False,6.3857
113,Fort James,Antigua and Barbuda,17.1167,-61.8333,Other,0.7097,0.5853,0.9351,0.4073,0.4965,upper_crust,20.8,10,,1.0,False,6.3857
114,Cacheu Fort,Guinea-Bissau,12.2667,-16.1667,Africa,0.6953,0.6129,0.8691,0.4723,0.4891,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857
115,São José,Guinea-Bissau,11.8667,-15.5833,Africa,0.6953,0.6118,0.8716,0.4723,0.4892,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857
116,Borj Nord,Morocco,34.0667,-4.9833,Africa,0.7082,0.6246,0.8325,0.5556,0.4927,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
117,El Jadida,Morocco,33.2333,-8.5,Africa,0.7061,0.6297,0.8288,0.5556,0.4926,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
118,Nossa Senhora da Conceição,Mozambique,-23.8667,35.3833,Africa,0.6953,0.5962,0.8914,0.514,0.4901,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857
119,Nossa Senhora da Conceição de Lourenço Marques,Mozambique,-25.9667,32.5833,Africa,0.6953,0.5962,0.8873,0.514,0.4895,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857
120,Santo António,Mozambique,-12.3333,40.5833,Africa,0.6953,0.5962,0.9162,0.514,0.4939,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857
121,São Caetano,Mozambique,-20.15,34.7333,Africa,0.6953,0.5962,0.9067,0.514,0.4925,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857
122,São Marçal,Mozambique,-25.9667,32.4667,Africa,0.6953,0.5962,0.8875,0.514,0.4896,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857
123,São Tiago Maior,Mozambique,-23.8667,35.35,Africa,0.6953,0.5962,0.8914,0.514,0.4901,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857
124,São João Baptista de Ajudá,Benin,6.3667,-2.0833,Africa,0.6953,0.4912,0.9224,0.4073,0.4724,upper_crust,20.8,10,,1.0,False,6.3857
125,Fort Anne,Canada,44.7417,-65.5183,Americas,0.6953,0.6129,0.8052,0.4073,0.4782,upper_crust,20.8,10,,1.0,False,6.3857
126,Fort Beauséjour,Canada,45.8667,-64.2833,Americas,0.6953,0.6117,0.7999,0.4073,0.4772,upper_crust,20.8,10,,1.0,False,6.3857
127,Fort George,Canada,43.25,-79.0667,Americas,0.6953,0.6323,0.801,0.4073,0.4818,upper_crust,20.8,10,,1.0,False,6.3857
128,Fort Mississauga,Canada,43.2667,-79.0833,Americas,0.6953,0.6323,0.8009,0.4073,0.4818,upper_crust,20.8,10,,1.0,False,6.3857
129,Fort Plaisance,Canada,47.25,-53.9667,Americas,0.6953,0.5964,0.7923,0.4073,0.4729,upper_crust,20.8,10,,1.0,False,6.3857
130,Fort William,Canada,47.5667,-52.7,Americas,0.6953,0.5946,0.7902,0.4073,0.4722,upper_crust,20.8,10,,1.0,False,6.3857
131,Castillo San Salvador de la Punta,Cuba,23.1333,-82.35,Americas,0.6953,0.6189,0.8798,0.4073,0.4903,upper_crust,20.8,10,,1.0,False,6.3857
132,Castillo de los Tres Reyes Magos del Morro,Cuba,23.15,-82.35,Americas,0.6953,0.6189,0.8798,0.4073,0.4903,upper_crust,20.8,10,,1.0,False,6.3857
133,Castillo del Príncipe,Cuba,23.1167,-82.4167,Americas,0.6953,0.619,0.8797,0.4073,0.4903,upper_crust,20.8,10,,1.0,False,6.3857
134,Castillo de San Severino,Cuba,23.05,-81.5667,Americas,0.6953,0.6178,0.8819,0.4073,0.4904,upper_crust,20.8,10,,1.0,False,6.3857
135,Fort San Cristóbal,Puerto Rico,18.4667,-66.1167,Americas,0.7158,0.5925,0.9265,0.285,0.4961,upper_crust,20.8,10,,1.0,False,6.3857
136,Fort Conde de Mirasol,Puerto Rico,18.15,-65.4333,Americas,0.7158,0.5912,0.9284,0.285,0.4962,upper_crust,20.8,10,,1.0,False,6.3857
137,Fortín San Juan de la Cruz,Puerto Rico,18.4667,-66.1667,Americas,0.7158,0.5925,0.9264,0.285,0.4961,upper_crust,20.8,10,,1.0,False,6.3857
138,Fort Barrancas,USA,30.35,-87.3,Americas,0.6953,0.6327,0.8425,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857
139,Fort Caroline,USA,30.3833,-81.5,Americas,0.6953,0.6249,0.8542,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857
140,Fort Delgrès,Guadeloupe (France),15.9833,-61.7167,Other,0.7097,0.5841,0.9398,0.4073,0.497,upper_crust,20.8,10,,1.0,False,6.3857
141,Fort Desaix,Martinique (France),14.6,-61.0667,Other,0.6953,0.5819,0.9457,0.4073,0.493,upper_crust,20.8,10,,1.0,False,6.3857
142,Fort Diamant,French Guiana,4.8833,-52.2667,Americas,0.6953,0.5605,0.9689,0.4073,0.4926,upper_crust,20.8,10,,1.0,False,6.3857
143,Fort Erie,Canada,42.9167,-79.0167,Americas,0.6953,0.632,0.8027,0.4073,0.482,upper_crust,20.8,10,,1.0,False,6.3857
144,Fort Frederick,USA,39.6167,-78.0,Americas,0.6953,0.6279,0.8194,0.4073,0.4834,upper_crust,20.8,10,,1.0,False,6.3857
145,Fort Gaines,USA,30.25,-88.0833,Americas,0.6953,0.6337,0.8412,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857
146,Fort Jackson,USA,29.35,-89.45,Americas,0.6953,0.6346,0.8414,0.4073,0.488,upper_crust,20.8,10,,1.0,False,6.3857
147,Fort Macomb,USA,30.0667,-89.8,Americas,0.6953,0.6358,0.838,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857
148,Fort Macon,USA,34.7,-76.6833,Americas,0.6953,0.6219,0.8436,0.4073,0.4856,upper_crust,20.8,10,,1.0,False,6.3857
149,Fort Mifflin,USA,39.8667,-75.2167,Americas,0.6953,0.624,0.8217,0.4073,0.4829,upper_crust,20.8,10,,1.0,False,6.3857
150,Fort Morgan,USA,30.2333,-88.0167,Americas,0.6953,0.6336,0.8414,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857
151,Fort Pike,USA,30.1667,-89.7333,Americas,0.6953,0.6358,0.8378,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857
152,Fort Pulaski,USA,32.0333,-80.9,Americas,0.6953,0.6256,0.8485,0.4073,0.4871,upper_crust,20.8,10,,1.0,False,6.3857
153,Fort San Carlos,USA,30.6667,-81.4667,Americas,0.6953,0.6251,0.8531,0.4073,0.4877,upper_crust,20.8,10,,1.0,False,6.3857
154,Fort Sumter,USA,32.75,-79.8667,Americas,0.6953,0.6248,0.8473,0.4073,0.4867,upper_crust,20.8,10,,1.0,False,6.3857
155,Citadelle de Besançon,France,47.2361,6.0269,Europe,0.6953,0.6128,0.7872,0.5556,0.4798,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
156,La Citadelle dArras,France,50.2825,2.7589,Europe,0.6953,0.5067,0.769,0.4073,0.4518,upper_crust,20.8,10,,1.0,False,6.3857
157,La Citadelle de Blaye,France,45.1217,-0.6733,Europe,0.6953,0.6228,0.7901,0.5556,0.4824,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
158,LEnceinte de Briançon,France,44.8958,6.6433,Europe,0.6953,0.6109,0.7993,0.5556,0.4811,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
159,La Place forte de Longwy,France,49.5167,5.7667,Europe,0.6953,0.6141,0.7757,0.5556,0.4785,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
160,La Place forte de Mont-Dauphin,France,44.6667,6.6167,Europe,0.6953,0.6109,0.8004,0.5556,0.4812,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
161,Villefranche-de-Conflent,France,42.5833,2.3667,Europe,0.6953,0.6169,0.806,0.5556,0.4833,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
162,Neuf-Brisach,France,48.0178,7.5281,Europe,0.6953,0.6107,0.7846,0.5556,0.479,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
