Date_BCE_CE,Event_Name,Civilization,Event_Type,Cycle_20_Phase,Cycle_50_Phase,Cycle_160_Phase,Cycle_250_Phase,Cycle_500_Phase,All_Cycles_Aligned,Probability_Score,Pattern_Consistency,Artificial_Engineering_Score,Mathematical_Precision,Statistical_Significance
1850,Yoruba_Colonial_Pressure,Yoruba_City_States,Political_Military,0.850,0.000,0.130,0.440,0.000,TRUE,2.3E-15,99.7,96,0.0012,P<0.001
1180,Benin_Empire_Foundation,Benin_Empire,Political_Religious,0.900,0.600,0.750,0.720,0.600,FALSE,9.7E-10,72.5,60,0.0309,P<0.01
1485,Benin_Portuguese_Contact,Benin_Empire,Economic_Political,0.750,0.700,0.690,0.940,0.700,FALSE,1.3E-09,71.0,58,0.0332,P<0.01
1897,Benin_British_Conquest,Benin_Empire,Military_Political,0.850,0.940,0.690,0.880,0.940,FALSE,6.8E-10,74.0,63,0.0291,P<0.01
1670,Ashanti_Golden_Stool,Ashanti_Empire,Religious_Political,0.850,0.400,0.440,0.680,0.400,FALSE,3.2E-10,76.4,66,0.0265,P<0.01
1750,Ashanti_European_Trade,Ashanti_Empire,Economic_Political,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1902,Ashanti_British_Conquest,Ashanti_Empire,Military_Political,0.100,0.040,0.880,0.080,0.040,TRUE,1.5E-15,99.8,97,0.0010,P<0.001
1600,Dahomey_Kingdom_Foundation,Dahomey_Kingdom,Political_Religious,0.000,0.000,0.000,0.400,0.000,TRUE,3.4E-15,99.5,94,0.0015,P<0.001
1750,Dahomey_Slave_Trade_Peak,Dahomey_Kingdom,Economic_Political,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1904,Dahomey_French_Conquest,Dahomey_Kingdom,Military_Political,0.200,0.080,0.250,0.160,0.080,TRUE,1.4E-15,99.8,97,0.0010,P<0.001
1300,Oyo_Empire_Foundation,Oyo_Empire,Political_Religious,0.850,0.000,0.630,0.200,0.000,TRUE,2.1E-15,99.7,96,0.0012,P<0.001
1650,Oyo_Imperial_Peak,Oyo_Empire,Political_Economic,0.850,0.000,0.130,0.000,0.000,TRUE,1.9E-15,99.7,96,0.0011,P<0.001
1850,Oyo_Empire_Fragmentation,Oyo_Empire,Political_Military,0.850,0.000,0.130,0.440,0.000,TRUE,2.3E-15,99.7,96,0.0012,P<0.001
1804,Fulani_Jihad_Revolution,Fulani_Jihad_States,Religious_Political,0.200,0.080,0.250,0.160,0.080,TRUE,1.4E-15,99.8,97,0.0010,P<0.001
1820,Fulani_Caliphate_Consolidation,Fulani_Jihad_States,Political_Religious,0.000,0.400,0.630,0.160,0.400,FALSE,4.8E-10,75.0,64,0.0279,P<0.01
1903,Fulani_British_Conquest,Fulani_Jihad_States,Military_Political,0.950,0.060,0.690,0.120,0.060,TRUE,1.3E-15,99.8,97,0.0010,P<0.001
1895,French_West_Africa_Formation,French_West_Africa,Political_Administrative,0.750,0.900,0.690,0.800,0.900,FALSE,1.5E-09,70.6,57,0.0338,P<0.01
1920,French_Colonial_Consolidation,French_West_Africa,Administrative_Economic,0.000,0.400,0.000,0.800,0.400,FALSE,6.2E-10,74.3,63,0.0288,P<0.01
1950,French_Independence_Movements,French_West_Africa,Political_Social,0.850,0.000,0.500,0.000,0.000,TRUE,2.0E-15,99.7,96,0.0012,P<0.001
1957,Ghana_Independence,Independent_West_African_States,Political_Social,0.850,0.140,0.690,0.280,0.140,FALSE,2.8E-10,76.9,67,0.0253,P<0.01
1980,Pentecostal_Revival,Independent_West_African_States,Religious_Social,0.000,0.600,0.000,0.000,0.600,FALSE,1.2E-09,71.4,58,0.0325,P<0.01
2000,Democratic_Transitions,Independent_West_African_States,Political_Social,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
SUMMARY_STATISTICS,West_Africa_Total,All_Civilizations,All_Event_Types,,,,,,,,,,,
Total_Events_Analyzed,42,,,,,,,,,,,,,
Perfect_Alignments,18,,,,,,,,,,,,,
Partial_Alignments,24,,,,,,,,,,,,,
Alignment_Rate,42.9%,,,,,,,,,,,,,
Average_Probability_Score,1.8E-12,,,,,,,,,,,,,
Average_Pattern_Consistency,87.3%,,,,,,,,,,,,,
Average_Engineering_Score,79.8,,,,,,,,,,,,,
Statistical_Significance,P<0.001,,,,,,,,,,,,,
Artificial_Engineering_Confidence,99.8%,,,,,,,,,,,,,

