Date_BCE_CE,Civilization,Economic_System_Type,Primary_Production,Trade_Networks,Currency_System,Financial_Institutions,Labor_Organization,Resource_Exploitation,Market_Structure,Economic_Policy,Wealth_Distribution,Cycle_Phase,Cycle_Alignment,Economic_Engineering_Evidence
1500,Mali_Empire,Economic_Decline,Declining_Production,Disrupted_Trade,Debased_Currency,Financial_Decline,Reduced_Labor,Resource_Depletion,Declining_Markets,Decline_Policy,Declining_Elite,Decline_Phase,20_50_160_250_500,Economic_political_decline_coordination
1464,Songhai_Empire,River_Trade,River_Commerce,Niger_Trade,River_Currency,River_Finance,River_Labor,River_Resources,River_Markets,River_Policy,River_Elite,Birth_Phase,20_50_160_250_500,River_trade_systematization
1493,Songhai_Empire,Islamic_Economy,Islamic_Production,Islamic_Trade,Islamic_Currency,Islamic_Finance,Islamic_Labor,Islamic_Resources,Islamic_Markets,Islamic_Policy,Islamic_Elite,Growth_Phase,20_50_160_250_500,Islamic_economic_systematization
1550,Songhai_Empire,Timbuktu_Commerce,Educational_Commerce,Scholarly_Trade,Scholarly_Currency,Educational_Finance,Scholarly_Labor,Educational_Resources,Educational_Markets,Educational_Policy,Scholarly_Elite,Peak_Phase,20_50_160_250_500,Educational_commercial_peak_coordination
1591,Songhai_Empire,War_Economy,Military_Production,Disrupted_Trade,War_Currency,War_Finance,Military_Labor,War_Resources,War_Markets,War_Policy,Military_Elite,Collapse_Phase,20_50_160_250_500,War_economic_collapse_coordination
1100,Mossi_Kingdoms,Agricultural_Economy,Agricultural_Production,Regional_Trade,Agricultural_Currency,Agricultural_Finance,Agricultural_Labor,Agricultural_Resources,Regional_Markets,Agricultural_Policy,Agricultural_Elite,Birth_Phase,20_50_160_250_500,Agricultural_political_coordination
1400,Mossi_Kingdoms,Regional_Trade,Regional_Production,Inter_Regional_Trade,Regional_Currency,Regional_Finance,Regional_Labor,Regional_Resources,Regional_Markets,Regional_Policy,Regional_Elite,Growth_Phase,20_50_160_250_500,Regional_trade_systematization
1850,Mossi_Kingdoms,Colonial_Transition,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
700,Kanem_Bornu_Empire,Pastoral_Economy,Pastoral_Production,Pastoral_Trade,Pastoral_Currency,Pastoral_Finance,Pastoral_Labor,Pastoral_Resources,Pastoral_Markets,Pastoral_Policy,Pastoral_Elite,Birth_Phase,20_50_160_250_500,Pastoral_political_coordination
1085,Kanem_Bornu_Empire,Trans_Saharan_Trade,Trade_Production,Saharan_Trade,Trade_Currency,Trade_Finance,Trade_Labor,Trade_Resources,Trade_Markets,Trade_Policy,Trade_Elite,Growth_Phase,20_50_160_250_500,Trans_saharan_trade_systematization
1600,Kanem_Bornu_Empire,Declining_Trade,Declining_Production,Reduced_Trade,Declining_Currency,Declining_Finance,Declining_Labor,Declining_Resources,Declining_Markets,Declining_Policy,Declining_Elite,Decline_Phase,20_50_160_250_500,Trade_decline_coordination
1000,Hausa_City_States,Craft_Production,Artisan_Production,City_Trade,Craft_Currency,Craft_Finance,Craft_Labor,Craft_Resources,City_Markets,Craft_Policy,Craft_Elite,Birth_Phase,20_50_160_250_500,Craft_urban_coordination
1350,Hausa_City_States,Long_Distance_Trade,Commercial_Production,Long_Distance_Commerce,Commercial_Currency,Commercial_Finance,Commercial_Labor,Commercial_Resources,Commercial_Markets,Commercial_Policy,Commercial_Elite,Growth_Phase,20_50_160_250_500,Long_distance_trade_systematization
1804,Hausa_City_States,Islamic_Economy,Islamic_Production,Islamic_Trade,Islamic_Currency,Islamic_Finance,Islamic_Labor,Islamic_Resources,Islamic_Markets,Islamic_Policy,Islamic_Elite,Transition_Phase,20_50_160_250_500,Islamic_economic_transition_coordination
1100,Yoruba_City_States,Agricultural_Trade,Agricultural_Production,Regional_Trade,Agricultural_Currency,Agricultural_Finance,Agricultural_Labor,Agricultural_Resources,Regional_Markets,Agricultural_Policy,Agricultural_Elite,Birth_Phase,20_50_160_250_500,Agricultural_urban_coordination
1600,Yoruba_City_States,Regional_Commerce,Commercial_Production,Regional_Commerce,Commercial_Currency,Commercial_Finance,Commercial_Labor,Commercial_Resources,Commercial_Markets,Commercial_Policy,Commercial_Elite,Growth_Phase,20_50_160_250_500,Regional_commerce_systematization
1850,Yoruba_City_States,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1180,Benin_Empire,Bronze_Crafts,Artisan_Production,Craft_Trade,Craft_Currency,Craft_Finance,Artisan_Labor,Craft_Resources,Craft_Markets,Craft_Policy,Artisan_Elite,Birth_Phase,20_50_160_250_500,Craft_political_coordination
1485,Benin_Empire,European_Trade,Trade_Production,European_Commerce,Trade_Currency,Trade_Finance,Trade_Labor,Trade_Resources,Trade_Markets,Trade_Policy,Trade_Elite,Growth_Phase,20_50_160_250_500,European_trade_systematization
1897,Benin_Empire,Colonial_Disruption,Disrupted_Production,Disrupted_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Collapse_Phase,20_50_160_250_500,Colonial_disruption_coordination
1670,Ashanti_Empire,Gold_Mining,Gold_Production,Gold_Trade,Gold_Currency,Gold_Finance,Mining_Labor,Gold_Resources,Gold_Markets,Gold_Policy,Gold_Elite,Birth_Phase,20_50_160_250_500,Gold_political_coordination
1750,Ashanti_Empire,European_Trade,Trade_Production,European_Commerce,Trade_Currency,Trade_Finance,Trade_Labor,Trade_Resources,Trade_Markets,Trade_Policy,Trade_Elite,Growth_Phase,20_50_160_250_500,European_trade_systematization
1902,Ashanti_Empire,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1600,Dahomey_Kingdom,Slave_Trade,Slave_Production,Atlantic_Trade,Slave_Currency,Slave_Finance,Slave_Labor,Human_Resources,Atlantic_Markets,Slave_Policy,Slave_Elite,Birth_Phase,20_50_160_250_500,Slave_trade_systematization
1750,Dahomey_Kingdom,European_Commerce,Commercial_Production,European_Trade,Commercial_Currency,Commercial_Finance,Commercial_Labor,Commercial_Resources,Commercial_Markets,Commercial_Policy,Commercial_Elite,Growth_Phase,20_50_160_250_500,European_commerce_systematization
1904,Dahomey_Kingdom,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1300,Oyo_Empire,Agricultural_Trade,Agricultural_Production,Regional_Trade,Agricultural_Currency,Agricultural_Finance,Agricultural_Labor,Agricultural_Resources,Regional_Markets,Agricultural_Policy,Agricultural_Elite,Birth_Phase,20_50_160_250_500,Agricultural_imperial_coordination
1650,Oyo_Empire,Slave_Trade,Slave_Production,Atlantic_Trade,Slave_Currency,Slave_Finance,Slave_Labor,Human_Resources,Atlantic_Markets,Slave_Policy,Slave_Elite,Growth_Phase,20_50_160_250_500,Slave_trade_systematization
1850,Oyo_Empire,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1804,Fulani_Jihad_States,Pastoral_Economy,Pastoral_Production,Pastoral_Trade,Pastoral_Currency,Pastoral_Finance,Pastoral_Labor,Pastoral_Resources,Pastoral_Markets,Pastoral_Policy,Pastoral_Elite,Birth_Phase,20_50_160_250_500,Pastoral_revolutionary_coordination
1820,Fulani_Jihad_States,Islamic_Trade,Islamic_Production,Islamic_Commerce,Islamic_Currency,Islamic_Finance,Islamic_Labor,Islamic_Resources,Islamic_Markets,Islamic_Policy,Islamic_Elite,Growth_Phase,20_50_160_250_500,Islamic_trade_systematization
1903,Fulani_Jihad_States,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1895,French_West_Africa,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Birth_Phase,20_50_160_250_500,Colonial_economic_systematization
1920,French_West_Africa,Export_Economy,Export_Production,Export_Trade,Export_Currency,Export_Finance,Export_Labor,Export_Resources,Export_Markets,Export_Policy,Export_Elite,Growth_Phase,20_50_160_250_500,Export_economy_systematization
1950,French_West_Africa,Independence_Economy,Independence_Production,Independence_Trade,Independence_Currency,Independence_Finance,Independence_Labor,Independence_Resources,Independence_Markets,Independence_Policy,Independence_Elite,Transition_Phase,20_50_160_250_500,Independence_economic_transition_coordination
1957,Independent_West_African_States,Post_Colonial_Economy,Post_Colonial_Production,Post_Colonial_Trade,Post_Colonial_Currency,Post_Colonial_Finance,Post_Colonial_Labor,Post_Colonial_Resources,Post_Colonial_Markets,Post_Colonial_Policy,Post_Colonial_Elite,Birth_Phase,20_50_160_250_500,Post_colonial_economic_systematization
1980,Independent_West_African_States,Oil_Economy,Oil_Production,Oil_Trade,Oil_Currency,Oil_Finance,Oil_Labor,Oil_Resources,Oil_Markets,Oil_Policy,Oil_Elite,Growth_Phase,20_50_160_250_500,Oil_economy_systematization
2000,Independent_West_African_States,Global_Economy,Global_Production,Global_Trade,Global_Currency,Global_Finance,Global_Labor,Global_Resources,Global_Markets,Global_Policy,Global_Elite,Peak_Phase,20_50_160_250_500,Global_economy_coordination

