Date_BCE_CE,Civilization,Economic_System_Type,Primary_Production,Trade_Networks,Currency_System,Financial_Institutions,Labor_Organization,Resource_Exploitation,Market_Structure,Economic_Policy,Wealth_Distribution,Cycle_Phase,Cycle_Alignment,Economic_Engineering_Evidence
-332,Ptolemaic_Egypt,Hellenistic_Economy,Agricultural_Manufacturing,Mediterranean_Trade,Greek_Currency,Hellenistic_Banking,Mixed_Labor,Resource_Exploitation,Hellenistic_Markets,Hellenistic_Policy,Greek_Elite,Hellenistic_Birth,20_50_160_250_500,Cultural_economic_integration_systematization
-180,Ptolemaic_Egypt,Commercial_Peak,Luxury_Production,Global_Trade,Standardized_Currency,Banking_Networks,Specialized_Labor,Intensive_Exploitation,International_Markets,Commercial_Policy,Commercial_Elite,Commercial_Peak,20_50_160_250_500,Commercial_peak_systematic_coordination
-30,Ptolemaic_Egypt,Roman_Integration,Provincial_Production,Imperial_Trade,Roman_Currency,Roman_Banking,Roman_Labor,Roman_Exploitation,Imperial_Markets,Imperial_Policy,Roman_Elite,Imperial_Integration,20_50_160_250_500,Imperial_economic_integration
313,Christian_Roman_Egypt,Christian_Economy,Religious_Production,Christian_Trade,Christian_Currency,Church_Finance,Christian_Labor,Church_Resources,Christian_Markets,Christian_Policy,Church_Elite,Religious_Economic_Birth,20_50_160_250_500,Religious_economic_systematization
429,Vandal_Kingdom,Piracy_Economy,Raiding_Production,Piracy_Trade,Looted_Currency,Piracy_Finance,Warrior_Labor,Raided_Resources,Piracy_Markets,Piracy_Policy,Warrior_Elite,Piracy_Economy_Birth,20_50_160_250_500,Military_economic_system_coordination
534,Byzantine_North_Africa,Imperial_Recovery,Agricultural_Recovery,Restored_Trade,Byzantine_Currency,Imperial_Finance,Imperial_Labor,Resource_Recovery,Imperial_Markets,Recovery_Policy,Imperial_Elite,Economic_Recovery,20_50_160_250_500,Imperial_economic_recovery_systematization
698,Umayyad_North_Africa,Islamic_Economy,Islamic_Production,Islamic_Trade,Islamic_Currency,Islamic_Finance,Islamic_Labor,Islamic_Resources,Islamic_Markets,Islamic_Policy,Islamic_Elite,Islamic_Economic_Birth,20_50_160_250_500,Religious_economic_transformation
750,Abbasid_North_Africa,Caliphate_Economy,Caliphate_Production,Caliphate_Trade,Caliphate_Currency,Caliphate_Finance,Caliphate_Labor,Caliphate_Resources,Caliphate_Markets,Caliphate_Policy,Caliphate_Elite,Caliphate_Economic_Transition,20_50_160_250_500,Political_economic_transition_coordination
909,Fatimid_Caliphate,Shia_Economy,Shia_Production,Shia_Trade,Fatimid_Currency,Shia_Finance,Shia_Labor,Shia_Resources,Shia_Markets,Shia_Policy,Shia_Elite,Sectarian_Economic_Birth,20_50_160_250_500,Sectarian_economic_systematization
1000,Fatimid_Caliphate,Cairo_Commerce,Commercial_Production,Mediterranean_Trade,Gold_Currency,Commercial_Banking,Commercial_Labor,Commercial_Resources,Commercial_Markets,Commercial_Policy,Commercial_Elite,Commercial_Peak,20_50_160_250_500,Commercial_peak_systematic_coordination
1040,Almoravid_Dynasty,Saharan_Trade,Gold_Production,Trans_Saharan_Trade,Gold_Currency,Trade_Finance,Berber_Labor,Gold_Resources,Trade_Markets,Trade_Policy,Trade_Elite,Trade_Economy_Birth,20_50_160_250_500,Trade_route_economic_systematization
1121,Almohad_Caliphate,Unified_Economy,Unified_Production,Unified_Trade,Unified_Currency,Unified_Finance,Unified_Labor,Unified_Resources,Unified_Markets,Unified_Policy,Unified_Elite,Economic_Unification,20_50_160_250_500,Political_economic_unification_coordination
1229,Hafsid_Dynasty,Independent_Economy,Independent_Production,Independent_Trade,Independent_Currency,Independent_Finance,Independent_Labor,Independent_Resources,Independent_Markets,Independent_Policy,Independent_Elite,Economic_Independence,20_50_160_250_500,Political_economic_independence_coordination
1244,Marinid_Dynasty,Educational_Economy,Educational_Production,Educational_Trade,Educational_Currency,Educational_Finance,Educational_Labor,Educational_Resources,Educational_Markets,Educational_Policy,Educational_Elite,Educational_Economic_Birth,20_50_160_250_500,Educational_economic_systematization
1574,Ottoman_North_Africa,Ottoman_Economy,Ottoman_Production,Ottoman_Trade,Ottoman_Currency,Ottoman_Finance,Ottoman_Labor,Ottoman_Resources,Ottoman_Markets,Ottoman_Policy,Ottoman_Elite,Imperial_Economic_Integration,20_50_160_250_500,Imperial_economic_integration_systematization
1659,Ottoman_Autonomous_Regencies,Corsair_Economy,Corsair_Production,Corsair_Trade,Corsair_Currency,Corsair_Finance,Corsair_Labor,Corsair_Resources,Corsair_Markets,Corsair_Policy,Corsair_Elite,Corsair_Economic_Peak,20_50_160_250_500,Maritime_economic_systematization
1830,French_Colonial_Algeria,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Elite,Colonial_Economic_Birth,20_50_160_250_500,Colonial_economic_systematization
1871,French_Civilian_Algeria,Settler_Economy,Settler_Production,Settler_Trade,French_Currency,French_Finance,Settler_Labor,Settler_Resources,Settler_Markets,Settler_Policy,Settler_Elite,Settler_Economic_Peak,20_50_160_250_500,Settler_economic_systematization
1954,Algerian_War,War_Economy,War_Production,Disrupted_Trade,War_Currency,War_Finance,War_Labor,War_Resources,War_Markets,War_Policy,War_Elite,War_Economic_Transition,20_50_160_250_500,War_economic_transition_coordination
1962,Independent_Algeria,Socialist_Economy,Socialist_Production,Socialist_Trade,Socialist_Currency,Socialist_Finance,Socialist_Labor,Socialist_Resources,Socialist_Markets,Socialist_Policy,Socialist_Elite,Socialist_Economic_Birth,20_50_160_250_500,Socialist_economic_systematization
1989,Multi_Party_Algeria,Market_Transition,Market_Production,Market_Trade,Market_Currency,Market_Finance,Market_Labor,Market_Resources,Market_Markets,Market_Policy,Market_Elite,Market_Economic_Transition,20_50_160_250_500,Market_economic_transition_coordination

