Date_BCE_CE,Civilization,Political_System_Type,Governance_Structure,Power_Source,Succession_Method,Administrative_System,Military_Organization,Legal_System,Taxation_System,Diplomatic_Relations,Monarchy_Socialism_Stage,Cycle_Alignment,Transition_Mechanism
1040,Almoravid_Dynasty,Berber_Empire,Tribal_Confederation,Religious_Reform,Tribal_Leadership,Berber_Administration,Tribal_Warriors,Maliki_Law,Tribal_Taxation,Berber_Diplomacy,Stage_15_Tribal_Empire,20_50_160_250_500,Religious_Tribal_Movement
1121,Almohad_Caliphate,Reformed_Caliphate,Unitarian_Empire,Theological_Reform,Religious_Leadership,Reformed_Administration,Reformed_Army,Unitarian_Law,Reformed_Taxation,Reformed_Diplomacy,Stage_16_Reformed_Caliphate,20_50_160_250_500,Theological_Revolution
1229,Hafsid_Dynasty,Independent_Sultanate,Autonomous_Monarchy,Independence_Declaration,Dynastic_Succession,Sultanate_Administration,Sultanate_Army,Sultanate_Law,Independent_Taxation,Independent_Diplomacy,Stage_17_Independent_Sultanate,20_50_160_250_500,Independence_Declaration
1244,Marinid_Dynasty,Scholarly_Sultanate,Educational_Monarchy,Scholarly_Legitimacy,Scholarly_Succession,Educational_Administration,Scholarly_Army,Educational_Law,Educational_Taxation,Scholarly_Diplomacy,Stage_18_Educational_Monarchy,20_50_160_250_500,Educational_Legitimation
1574,Ottoman_North_Africa,Ottoman_Province,Imperial_Administration,Ottoman_Conquest,Ottoman_Appointment,Ottoman_Government,Ottoman_Army,Ottoman_Law,Ottoman_Taxation,Ottoman_Diplomacy,Stage_19_Imperial_Province,20_50_160_250_500,Imperial_Integration
1659,Ottoman_Autonomous_Regencies,Autonomous_Provinces,Semi_Independent_Administration,Local_Autonomy,Local_Succession,Autonomous_Government,Local_Military,Mixed_Law,Autonomous_Taxation,Semi_Independent_Diplomacy,Stage_20_Autonomous_Provinces,20_50_160_250_500,Administrative_Autonomy
1830,French_Colonial_Algeria,Colonial_Administration,Military_Colonialism,European_Conquest,Colonial_Appointment,Colonial_Government,Colonial_Army,Colonial_Law,Colonial_Taxation,Colonial_Diplomacy,Stage_21_Colonial_Administration,20_50_160_250_500,Colonial_Conquest
1871,French_Civilian_Algeria,Civilian_Colonialism,Settler_Administration,Settler_Dominance,French_Appointment,Settler_Government,French_Military,French_Law,Colonial_Taxation,French_Diplomacy,Stage_22_Settler_Colonialism,20_50_160_250_500,Civilian_Colonial_Transition
1954,Algerian_War,Revolutionary_Movement,Liberation_Struggle,National_Liberation,Revolutionary_Leadership,Revolutionary_Organization,Liberation_Army,Revolutionary_Law,Revolutionary_Taxation,Revolutionary_Diplomacy,Stage_23_Revolutionary_Movement,20_50_160_250_500,National_Liberation_Revolution
1962,Independent_Algeria,Socialist_Republic,One_Party_State,Revolutionary_Legitimacy,Party_Succession,Socialist_Administration,People_Army,Socialist_Law,Socialist_Taxation,Non_Aligned_Diplomacy,Stage_24_Socialist_Republic,20_50_160_250_500,Socialist_Revolution
1989,Multi_Party_Algeria,Democratic_Transition,Constitutional_Democracy,Popular_Sovereignty,Democratic_Elections,Democratic_Government,National_Army,Constitutional_Law,Democratic_Taxation,Democratic_Diplomacy,Stage_25_Democratic_Transition,20_50_160_250_500,Democratic_Transition

