ID,Name,Alternative_Names,Country,Region,City,Latitude,Longitude,Construction_Date,Builder,Status,Fort_Type,Notes,Verification_Sources
131,Castillo San Salvador de la Punta,,Cuba,Havana,Havana,23.1333,-82.35,1590,Spanish,Museum,,Channel defense.,Wikipedia
132,Castillo de los Tres Reyes Magos del Morro,,Cuba,Havana,Havana,23.15,-82.35,1589,Spanish,Museum,,Lighthouse star.,Wikipedia
133,Castillo del Príncipe,,Cuba,Havana,Havana,23.1167,-82.4167,1767,Spanish,Prison,,Hill bastion.,Wikipedia
134,Castillo de San Severino,,Cuba,Matanzas,Matanzas,23.05,-81.5667,1693,Spanish,Museum,,Slave route site.,Wikipedia
135,Fort San Cristóbal,Castillo San Cristóbal,Puerto Rico,San Juan,San Juan,18.4667,-66.1167,1634,Spanish,UNESCO,,Largest Spanish fort.,Wikipedia
136,Fort Conde de Mirasol,Fortín Conde de Mirasol,Puerto Rico,Vieques,Isabel Segunda,18.15,-65.4333,1845,Spanish,Museum,,Last Spanish fort.,Wikipedia
137,Fortín San Juan de la Cruz,,Puerto Rico,Toa Baja,Palo Seco,18.4667,-66.1667,1610,Spanish,Ruins,,River mouth.,Wikipedia
138,Fort Barrancas,,USA,Florida,Pensacola,30.35,-87.3,1787,Spanish,Museum,,Gulf defense.,Wikipedia
139,Fort Caroline,,USA,Florida,Jacksonville,30.3833,-81.5,1564,French,Reconstruction,,Early star.,Wikipedia
140,Fort Delgrès,,Guadeloupe (France),Basse-Terre,Basse-Terre,15.9833,-61.7167,1650,French,Museum,,Resistance site.,Wikipedia
141,Fort Desaix,,Martinique (France),Fort-de-France,Fort-de-France,14.6,-61.0667,1768,French,Active,,Hill star.,Wikipedia
142,Fort Diamant,,French Guiana,Rémire-Montjoly,Rémire-Montjoly,4.8833,-52.2667,1840,French,Ruins,,Coastal.,Wikipedia
143,Fort Erie,,Canada,Ontario,Fort Erie,42.9167,-79.0167,1764,British,Museum,,War of 1812.,Wikipedia
144,Fort Frederick,,USA,Maryland,Big Pool,39.6167,-78.0,1755,British,Park,,French-Indian War.,Wikipedia
145,Fort Gaines,,USA,Alabama,Dauphin Island,30.25,-88.0833,1821,US,Museum,,Civil War.,Wikipedia
146,Fort Jackson,,USA,Louisiana,Plaquemines,29.35,-89.45,1822,US,Ruins,,Mississippi defense.,Wikipedia
147,Fort Macomb,,USA,Louisiana,New Orleans,30.0667,-89.8,1822,US,Ruins,,Lake Borgne.,Wikipedia
148,Fort Macon,,USA,North Carolina,Atlantic Beach,34.7,-76.6833,1826,US,Park,,Pentagonal.,Wikipedia
149,Fort Mifflin,,USA,Pennsylvania,Philadelphia,39.8667,-75.2167,1771,British/US,Museum,,Revolutionary.,Wikipedia
150,Fort Morgan,,USA,Alabama,Gulf Shores,30.2333,-88.0167,1819,US,Museum,,Mobile Bay.,Wikipedia
151,Fort Pike,,USA,Louisiana,New Orleans,30.1667,-89.7333,1819,US,Ruins,,Rigolets pass.,Wikipedia
152,Fort Pulaski,,USA,Georgia,Savannah,32.0333,-80.9,1829,US,Museum,,Brick star.,Wikipedia; Starforts.com
153,Fort San Carlos,,USA,Florida,Fernandina Beach,30.6667,-81.4667,1816,Spanish,Museum,,Amelia Island.,Wikipedia
154,Fort Sumter,,USA,South Carolina,Charleston,32.75,-79.8667,1829,US,Museum,,Civil War start.,Wikipedia
155,Citadelle de Besançon,Citadel of Besançon,France,Franche-Comté,Besançon,47.2361,6.0269,1669-1688,Vauban,UNESCO/Museum,,Massive star citadel; key UNESCO Vauban site.,UNESCO maps; Wikipedia
156,La Citadelle dArras,Citadel of Arras,France,Hauts-de-France,Arras,50.2825,2.7589,1668-1670,Vauban,Museum,,Hilltop bastion; UNESCO group.,UNESCO
157,La Citadelle de Blaye,Citadel of Blaye,France,Nouvelle-Aquitaine,Blaye,45.1217,-0.6733,1685-1689,Vauban,UNESCO/Museum,,Gironde estuary defense.,UNESCO
158,LEnceinte de Briançon,Briançon fortifications,France,Provence-Alpes-Côte dAzur,Briançon,44.8958,6.6433,1692-1700,Vauban,UNESCO,,Mountain forts + Asfeld bridge.,UNESCO
159,La Place forte de Longwy,Longwy fortifications,France,Grand Est,Longwy,49.5167,5.7667,1679-1690,Vauban,UNESCO,,Neuf-Brisach style; border town.,UNESCO
160,La Place forte de Mont-Dauphin,Mont-Dauphin,France,Provence-Alpes-Côte dAzur,Mont-Dauphin,44.6667,6.6167,1693,Vauban,UNESCO,,Alpine star; mountain battery.,UNESCO
161,Villefranche-de-Conflent,Villefranche fortifications,France,Occitanie,Villefranche-de-Conflent,42.5833,2.3667,1681,Vauban,UNESCO,,Walled town + forts.,UNESCO
162,Neuf-Brisach,Brisach,France,Grand Est,Neuf-Brisach,48.0178,7.5281,1698-1703,Vauban,UNESCO,,Octagonal ideal star city.,UNESCO
163,Citadelle de Lille,Citadel of Lille,France,Hauts-de-France,Lille,50.6333,3.0667,1667,Vauban,Active,,Queen of Citadels.,Wikipedia
164,Fort de l'Étoile,Étoile,France,Provence-Alpes-Côte dAzur,Sisteron,44.2,5.95,1590s,Vauban upgrades,Ruins,,Hill star.,Wikipedia
165,Fort Barraux,Barraux,France,Auvergne-Rhône-Alpes,Barraux,45.4167,5.9667,1598,Lesdiguières/Vauban,Museum,,Alpine defense.,Wikipedia
166,Fort de Joux,Château de Joux,France,Bourgogne-Franche-Comté,La Cluse-et-Mijoux,46.8667,6.3667,11th C (Vauban 1678),Vauban,Museum,,Cliff bastions.,Wikipedia
167,Fort de Douaumont,Douaumont,France,Grand Est,Verdun,49.3167,5.4667,1885,French,Ruins,,WWI site; bastion style.,Wikipedia
168,Komárno Star Fort,,Slovakia,Nitra,Komárno,47.7667,18.1167,16th-19th C,Habsburg,Museum,,Danube star.,Wikipedia
169,Festung Ehrenbreitstein,Ehrenbreitstein Fortress,Germany,Rhineland-Palatinate,Koblenz,50.3667,7.6167,1817-1828,Prussian,Museum,,Massive star complex; UNESCO Rhine.,Wikipedia
170,Festung Ulm,Ulm Fortress,Germany,Baden-Württemberg,Ulm,48.4,9.9833,1842-1859,Württemberg,Ruins,,Large polygonal bastions.,Wikipedia
171,Festung Ingolstadt,Ingolstadt Fortress,Germany,Bavaria,Ingolstadt,48.7667,11.4333,1539-1860s,Bavarian,Museum,,Extensive star ring.,Wikipedia
172,Festung Germersheim,Germersheim Fortress,Germany,Rhineland-Palatinate,Germersheim,49.2167,8.3667,1834-1852,Bavarian,Ruins,,Rhine bastions.,Wikipedia
173,Festung Landau,Landau Fortress,Germany,Rhineland-Palatinate,Landau,49.2,8.1167,1688-1690,French (Vauban style),Ruins,,Border star.,Wikipedia
174,Festung Rastatt,Rastatt Fortress,Germany,Baden-Württemberg,Rastatt,48.85,8.2,1689-1693,French,Museum,,Baroque bastions.,Wikipedia
175,Zitadelle Spandau,Spandau Citadel,Germany,Berlin,Berlin,52.5333,13.2,1559-1594,Brandenburg,Museum,,Renaissance star.,Wikipedia
176,Festung Küstrin,Kostrzyn Fortress,Poland,Lubusz,Kostrzyn nad Odr?,52.5833,14.65,1535-1553,Brandenburg,Ruins,,Oder river star.,Wikipedia
177,Festung Silberberg,Srebrna Góra Fortress,Poland,Lower Silesia,Srebrna Góra,50.5833,16.65,1765-1777,Prussian,Museum,,Mountain bastion.,Wikipedia
178,Twierdza K?odzko,K?odzko Fortress,Poland,Lower Silesia,K?odzko,50.4333,16.65,1660s-18th C,Prussian,Museum,,Hilltop star.,Wikipedia
179,Twierdza Nysa,Nysa Fortress,Poland,Opole,Nysa,50.4667,17.3333,1663-1669,Habsburg/Prussian,Ruins,,Large bastion ring.,Wikipedia
180,Twierdza Modlin,Modlin Fortress,Poland,Masovian,Nowy Dwór Mazowiecki,52.45,20.6833,1806-1812,French/Napoleonic,Museum,,Vistula star.,Wikipedia
181,Twierdza Przemy?l,Przemy?l Fortress,Poland,Subcarpathian,Przemy?l,49.7833,22.7667,19th C,Austro-Hungarian,Ruins/Museum,,Ring of forts.,Wikipedia
182,Twierdza Boyen,Boyen Fortress,Poland,Warmian-Masurian,Gi?ycko,54.0333,21.7667,1844-1856,Prussian,Museum,,Masurian lakes star.,Wikipedia
183,Twierdza Pozna?,Pozna? Fortress,Poland,Greater Poland,Pozna?,52.4,16.9333,1828-1842,Prussian,Ruins,,Warta river bastions.,Wikipedia
184,Twierdza Zegrze,Zegrze Fortress,Poland,Masovian,Zegrze,52.4667,21.0333,1883-1894,Russian,Ruins,,Bug river defense.,Wikipedia
185,Akershus Fortress,Akershus Festning,Norway,Oslo,Oslo,59.9069,10.7364,1299 (bastions 17th C),Norwegian,Museum,,Renaissance upgrades.,Wikipedia
186,Bohus Fortress,Bohus fästning,Sweden,Västra Götaland,Kungälv,57.8667,11.9833,1308 (bastions 17th C),Norwegian/Swedish,Ruins,,Göta river star.,Wikipedia
187,Varberg Fortress,Varbergs fästning,Sweden,Halland,Varberg,57.1,12.25,13th C (bastions 17th C),Danish/Swedish,Museum,,Coastal bastions.,Wikipedia
