ID,Name,Latitude,Longitude,Country
59,Vardøhus Fortress,70.3667,31.0833,Norway
60,Daugavgr?va Fortress,57.05,24.0333,Latvia
61,Daugavpils Fortress,55.8833,26.5,Latvia
62,Riga Old Town,56.95,24.1167,Latvia
63,Pärnu Vallikäär,58.3833,24.5,Estonia
64,Tartu Tähetorn,58.3667,26.7167,Estonia
65,Paldiski Muula mäed,59.35,24.0667,Estonia
66,Birai Castle,56.2,24.75,Lithuania
67,Klaip?da Castle,55.7,21.1333,Lithuania
68,Trakai Island Castle,54.65,24.9333,Lithuania
69,Kaunas Castle and Fortress,54.9,23.9,Lithuania
70,Petersberg Citadel,50.9833,11.0333,Germany
71,Mainz Citadel,50.0,8.2667,Germany
72,(City fortifications),53.55,10.0,Germany
73,Forbidden City,39.9167,116.3972,China
74,Fort Orange,-7.75,-34.8333,Brazil
75,Forte de São João Batista do Brum,-8.05,-34.8833,Brazil
76,Forte do Presépio,-1.45,-48.5,Brazil
77,Forte Príncipe da Beira,-12.4167,-64.4167,Brazil
78,Fortaleza de Nossa Senhora da Assunção,-3.7167,-38.5,Brazil
79,Forte de Nossa Senhora dos Remédios,-3.8333,-32.4167,Brazil
80,Forte de Santo Inácio de Tamandaré,-8.75,-35.1,Brazil
81,Forte do Barbalho,-12.9667,-38.5167,Brazil
82,Forte de São Lourenço,-12.8833,-38.6833,Brazil
83,Fortaleza de Santa Cruz da Barra,-22.8833,-43.1167,Brazil
84,Fortaleza de Santo Antônio de Ratones,-27.5833,-48.5667,Brazil
85,Fortaleza de São José da Ponta Grossa,-27.5833,-48.5167,Brazil
86,Bihu Loukon,24.8167,93.95,India
87,Fort St. George,13.0833,80.2833,India
88,Fort William,22.5667,88.35,India
89,St. Angelo Fort,11.8667,75.3667,India
90,Fortaleza de São João Baptista,38.6667,-27.2167,Portugal
91,Forte de Santo António da Barra,38.7,-9.4167,Portugal
92,Forte de Santa Luzia,38.8833,-7.1667,Portugal
93,Forte de São Bruno,38.6667,-9.3167,Portugal
94,Fort São Roque,32.65,-16.9167,Portugal
95,Fort Victoria,-3.7,128.1833,Indonesia
96,Fort Nassau,-4.5167,129.8833,Indonesia
97,Fort Oranje,-0.7833,127.3833,Indonesia
98,Fort Marlborough,-3.7833,-102.25,Indonesia
99,Fort Vastenburg,-7.5667,110.8167,Indonesia
100,Fort Cornwallis,5.4167,100.3333,Malaysia
101,Gory?kaku,41.8,140.75,Japan
102,Hekirichi Bastion Fort,41.8167,140.65,Japan
103,Tatsuoka Castle,36.2,138.4833,Japan
104,Temple Mount,31.7778,35.2356,Israel
105,Forte de Barém,26.2333,50.5333,Bahrain
106,Fort Nossa Senhora da Vitória,-10.7333,13.75,Angola
107,Fortress of Muxima,-9.5,13.9167,Angola
108,Fortress of Kambambe,-9.75,14.4833,Angola
109,Fort São Filipe,-12.5833,13.4,Angola
110,Fort São Francisco do Penedo,-15.2,12.15,Angola
111,Quicombo Fort,-12.3667,13.7833,Angola
112,Fort São José,-6.2667,14.25,Angola
113,Fort James,17.1167,-61.8333,Antigua and Barbuda
114,Cacheu Fort,12.2667,-16.1667,Guinea-Bissau
115,São José,11.8667,-15.5833,Guinea-Bissau
116,Borj Nord,34.0667,-4.9833,Morocco
117,El Jadida,33.2333,-8.5,Morocco
118,Nossa Senhora da Conceição,-23.8667,35.3833,Mozambique
119,Nossa Senhora da Conceição de Lourenço Marques,-25.9667,32.5833,Mozambique
120,Santo António,-12.3333,40.5833,Mozambique
121,São Caetano,-20.15,34.7333,Mozambique
122,São Marçal,-25.9667,32.4667,Mozambique
123,São Tiago Maior,-23.8667,35.35,Mozambique
124,São João Baptista de Ajudá,6.3667,-2.0833,Benin
125,Fort Anne,44.7417,-65.5183,Canada
126,Fort Beauséjour,45.8667,-64.2833,Canada
127,Fort George,43.25,-79.0667,Canada
128,Fort Mississauga,43.2667,-79.0833,Canada
129,Fort Plaisance,47.25,-53.9667,Canada
130,Fort William,47.5667,-52.7,Canada
131,Castillo San Salvador de la Punta,23.1333,-82.35,Cuba
132,Castillo de los Tres Reyes Magos del Morro,23.15,-82.35,Cuba
133,Castillo del Príncipe,23.1167,-82.4167,Cuba
134,Castillo de San Severino,23.05,-81.5667,Cuba
135,Fort San Cristóbal,18.4667,-66.1167,Puerto Rico
136,Fort Conde de Mirasol,18.15,-65.4333,Puerto Rico
137,Fortín San Juan de la Cruz,18.4667,-66.1667,Puerto Rico
138,Fort Barrancas,30.35,-87.3,USA
139,Fort Caroline,30.3833,-81.5,USA
140,Fort Delgrès,15.9833,-61.7167,Guadeloupe (France)
141,Fort Desaix,14.6,-61.0667,Martinique (France)
142,Fort Diamant,4.8833,-52.2667,French Guiana
143,Fort Erie,42.9167,-79.0167,Canada
144,Fort Frederick,39.6167,-78.0,USA
145,Fort Gaines,30.25,-88.0833,USA
146,Fort Jackson,29.35,-89.45,USA
147,Fort Macomb,30.0667,-89.8,USA
148,Fort Macon,34.7,-76.6833,USA
149,Fort Mifflin,39.8667,-75.2167,USA
150,Fort Morgan,30.2333,-88.0167,USA
151,Fort Pike,30.1667,-89.7333,USA
152,Fort Pulaski,32.0333,-80.9,USA
153,Fort San Carlos,30.6667,-81.4667,USA
154,Fort Sumter,32.75,-79.8667,USA
155,Citadelle de Besançon,47.2361,6.0269,France
156,La Citadelle dArras,50.2825,2.7589,France
157,La Citadelle de Blaye,45.1217,-0.6733,France
158,LEnceinte de Briançon,44.8958,6.6433,France
159,La Place forte de Longwy,49.5167,5.7667,France
160,La Place forte de Mont-Dauphin,44.6667,6.6167,France
161,Villefranche-de-Conflent,42.5833,2.3667,France
162,Neuf-Brisach,48.0178,7.5281,France
163,Citadelle de Lille,50.6333,3.0667,France
164,Fort de l'Étoile,44.2,5.95,France
165,Fort Barraux,45.4167,5.9667,France
166,Fort de Joux,46.8667,6.3667,France
167,Fort de Douaumont,49.3167,5.4667,France
168,Komárno Star Fort,47.7667,18.1167,Slovakia
169,Festung Ehrenbreitstein,50.3667,7.6167,Germany
170,Festung Ulm,48.4,9.9833,Germany
171,Festung Ingolstadt,48.7667,11.4333,Germany
172,Festung Germersheim,49.2167,8.3667,Germany
173,Festung Landau,49.2,8.1167,Germany
174,Festung Rastatt,48.85,8.2,Germany
175,Zitadelle Spandau,52.5333,13.2,Germany
176,Festung Küstrin,52.5833,14.65,Poland
177,Festung Silberberg,50.5833,16.65,Poland
178,Twierdza K?odzko,50.4333,16.65,Poland
179,Twierdza Nysa,50.4667,17.3333,Poland
180,Twierdza Modlin,52.45,20.6833,Poland
181,Twierdza Przemy?l,49.7833,22.7667,Poland
182,Twierdza Boyen,54.0333,21.7667,Poland
183,Twierdza Pozna?,52.4,16.9333,Poland
184,Twierdza Zegrze,52.4667,21.0333,Poland
185,Akershus Fortress,59.9069,10.7364,Norway
186,Bohus Fortress,57.8667,11.9833,Sweden
187,Varberg Fortress,57.1,12.25,Sweden
188,Karlskrona Naval Base,56.1667,15.5833,Sweden
189,Benten Daiba,35.6333,139.7667,Japan
190,Cabo de Rama Fort,15.0833,74.05,India
191,Corjuem Fort,15.6667,73.9,India
192,Colombo Fort,6.9333,79.8333,Sri Lanka
193,Karlsborg Fortress,58.5167,14.5167,Sweden
194,Festung Wesel,51.6667,6.6167,Germany
195,Festung Minden,52.2833,8.9167,Germany
196,Festung Saarlouis,49.3167,6.75,Germany
197,Zitadelle Jülich,50.9167,6.3667,Germany
198,Twierdza Zamo??,50.7167,23.25,Poland
199,Twierdza Kamieniec Podolski,48.6833,26.5667,Ukraine
200,Twierdza Chocim,48.5167,26.4833,Ukraine
201,Twierdza Ostroh,50.3333,26.5167,Ukraine
202,Twierdza Dubno,50.4,25.75,Ukraine
203,Fort Tiracol,15.9333,73.6667,India
204,Fort Chapora,15.6,73.7333,India
205,Fort Sinquerim,15.5,73.7667,India
206,Fort Gaspar Dias,15.5,73.8333,India
207,Fort Mormugao,15.4,73.8,India
208,Fort Anjediva,14.7667,74.1167,India
209,Fort Sadashivgad,14.8167,74.1333,India
210,Fort Devagad,16.9833,73.3167,India
211,Fort Ratnagiri,16.9833,73.3,India
212,Fort Viziadurg,16.5667,73.5667,India
213,Fort Santo António de Zaire,-6.1167,12.3667,Angola
214,Fortaleza de São Miguel de Ambriz,-7.85,13.1167,Angola
215,Fort Amherst,47.5667,-52.6833,Canada
