Unnamed: 0,Name,Alternative Names,Country,Region/Province,City/Town,Latitude,Longitude,Construction Date,Builder/Architect,Current Status,Notes/Description,Verification Source
132,Star Fort Matara,,Sri Lanka,Southern,Matara,5.9486,80.5469,1765,Dutch,Museum,Coastal star.,Wikipedia; Starforts.com
133,Jaffna Fort,,Sri Lanka,Northern,Jaffna,9.6625,80.0075,1618,Portuguese/Dutch,Ruins,Pentagonal.,Wikipedia
134,Galle Fort,,Sri Lanka,Southern,Galle,6.03,80.2167,1588,Portuguese/Dutch,UNESCO,Bastion town.,Wikipedia
135,Forte de Barém,Qal'at al-Bahrain,Bahrain,Northern,Bahrain,26.2333,50.5333,Ancient-16th C,Portuguese,UNESCO,Ancient star.,Wikipedia
136,Fortaleza de São Miguel,,Angola,Luanda,Luanda,-8.8083,13.2233,1576,Portuguese,Museum,Star-shaped.,Wikipedia; Starforts.com
137,Fort Nossa Senhora da Vitória,,Angola,Cuanza Sul,Porto Amboim,-10.7333,13.75,1645,Portuguese,Ruins,Coastal bastion.,Wikipedia
138,Fort São Pedro da Barra,,Angola,Luanda,Luanda,-8.8,13.2333,1703,Portuguese,Ruins,Harbor defense.,Wikipedia
139,Fortress of Muxima,,Angola,Bengo,Muxima,-9.5,13.9167,1599,Portuguese,Ruins,River fort.,Wikipedia
140,Fortress of Kambambe,,Angola,Cuanza Norte,Kambambe,-9.75,14.4833,1604,Portuguese,Ruins,Inland star.,Wikipedia
141,Fort São Filipe,,Angola,Benguela,Benguela,-12.5833,13.4,1617,Portuguese,Museum,Coastal.,Wikipedia
142,Fort São Francisco do Penedo,,Angola,Namibe,Namibe,-15.2,12.15,1645,Portuguese,Ruins,Desert fort.,Wikipedia
143,Quicombo Fort,,Angola,Benguela,Quicombo,-12.3667,13.7833,17th C,Portuguese,Ruins,Small bastion.,Wikipedia
144,Fort São José,,Angola,Zaire,Encoje,-6.2667,14.25,18th C,Portuguese,Ruins,Northern fort.,Wikipedia
145,Fort James,,Antigua and Barbuda,St. John's,St. John's,17.1167,-61.8333,1706,British,Ruins,Harbor star.,Wikipedia
146,Castle of Good Hope,Kasteel de Goede Hoop,South Africa,Western Cape,Cape Town,-33.9258,18.4275,1666,Dutch,Museum,Pentagonal.,Wikipedia
147,Fort Jesus,,Kenya,Coast,Mombasa,-4.0625,39.6797,1593,Portuguese,UNESCO,Star fort.,Wikipedia
148,Elmina Castle,São Jorge da Mina,Ghana,Central,Elmina,5.0825,-1.3481,1482,Portuguese,UNESCO,Star elements.,Wikipedia
149,Fort São Sebastião,,Mozambique,Sofala,Ilha de Moçambique,-15.0333,40.7333,1558,Portuguese,UNESCO,Island star.,Wikipedia
150,Fort São Caetano,,Angola,Luanda,Luanda,-8.8,13.2333,1634,Portuguese,Ruins,Early bastion.,Wikipedia
151,Fort Patience,Fort Leydsaemheyt,Ghana,Western,Apam,5.2833,-0.7333,1697,Dutch,Museum,Small star.,Wikipedia
152,Fort Good Hope,Fort de Goede Hoop,Ghana,Western,Senya Beraku,5.3833,-0.4833,1704,Dutch,Ruins,Bastion.,Wikipedia
153,Fort São Miguel,,Angola,Luanda,Luanda,-8.8083,13.2233,1576,Portuguese,Museum,Repeated for completeness.,Wikipedia
154,Fort Metal Cross,Fort Frederiksborg,Ghana,Western,Dixcove,4.8,-1.95,1683,English,Ruins,Bastions.,Wikipedia
155,Cacheu Fort,,Guinea-Bissau,Cacheu,Cacheu,12.2667,-16.1667,1588,Portuguese,Ruins,River fort.,Wikipedia
156,São José,Fortaleza de São José da Amura,Guinea-Bissau,Bissau,Bissau,11.8667,-15.5833,1696,Portuguese,Active,Capital defense.,Wikipedia
157,Borj Nord,,Morocco,Fès-Meknès,Fez,34.0667,-4.9833,16th C,Saadian,Museum,Hill bastion.,Wikipedia
158,El Jadida,,Morocco,Casablanca-Settat,El Jadida,33.2333,-8.5,1514,Portuguese,UNESCO,Walled star town.,Wikipedia
159,Nossa Senhora da Conceição,,Mozambique,Inhambane,Inhambane,-23.8667,35.3833,1750,Portuguese,Ruins,Coastal.,Wikipedia
160,Nossa Senhora da Conceição de Lourenço Marques,,Mozambique,Maputo,Maputo,-25.9667,32.5833,1781,Portuguese,Museum,Star fort.,Wikipedia
161,Santo António,Fort Santo António Ibo,Mozambique,Cabo Delgado,Ibo Island,-12.3333,40.5833,1791,Portuguese,Ruins,Island bastion.,Wikipedia
162,São Caetano,,Mozambique,Sofala,Sofala,-20.15,34.7333,1505,Portuguese,Ruins,Early site.,Wikipedia
163,São João Baptista,Fort São João Baptista Ibo,Mozambique,Cabo Delgado,Ibo Island,-12.3333,40.5833,1791,Portuguese,Museum,Twin to Santo António.,Wikipedia
164,São José,Fort São José Ibo,Mozambique,Cabo Delgado,Ibo Island,-12.3333,40.5833,1761,Portuguese,Ruins,Small bastion.,Wikipedia
165,São Lourenço,Fort São Lourenço Mozambique,Mozambique,Sofala,Ilha de Moçambique,-15.0333,40.7333,1695,Portuguese,Ruins,Island addition.,Wikipedia
166,São Marçal,,Mozambique,Maputo,Matola,-25.9667,32.4667,18th C,Portuguese,Ruins,Inland.,Wikipedia
167,São Sebastião,,Mozambique,Sofala,Ilha de Moçambique,-15.0333,40.7333,1558,Portuguese,UNESCO,Main star.,Wikipedia
168,São Tiago Maior,,Mozambique,Inhambane,Maxixe,-23.8667,35.35,18th C,Portuguese,Ruins,Coastal.,Wikipedia
169,Forte de Barém,Qal'at al-Bahrain,Bahrain,Northern,Manama,26.2333,50.5333,15th C,Portuguese,UNESCO,Ancient star.,Wikipedia
170,São João Baptista de Ajudá,,Benin,Ouidah,Ouidah,6.3667,-2.0833,1721,Portuguese,Museum,Small fort.,Wikipedia
171,São Jorge da Mina,Elmina Castle,Ghana,Central,Elmina,5.0825,-1.3481,1482,Portuguese,UNESCO,Gold Coast.,Wikipedia
172,Fort Leydsaemheyt,Fort Patience,Ghana,Western,Apam,5.2833,-0.7333,1697,Dutch,Museum,Repeated.,Wikipedia
173,Fort de Goede Hoop,Fort Good Hope,Ghana,Western,Senya Beraku,5.3833,-0.4833,1704,Dutch,Ruins,Repeated.,Wikipedia
174,Fort Frederiksborg,Fort Metal Cross,Ghana,Western,Dixcove,4.8,-1.95,1683,English,Ruins,Repeated.,Wikipedia
175,Fort Santo António Ibo,,Mozambique,Cabo Delgado,Ibo,-12.3333,40.5833,1791,Portuguese,Ruins,Repeated.,Wikipedia
176,Fort São João Baptista Ibo,,Mozambique,Cabo Delgado,Ibo,-12.3333,40.5833,1791,Portuguese,Museum,Repeated.,Wikipedia
177,Fort São José Ibo,,Mozambique,Cabo Delgado,Ibo,-12.3333,40.5833,1761,Portuguese,Ruins,Repeated.,Wikipedia
178,Fort São Lourenço Mozambique,,Mozambique,Sofala,Ilha de Moçambique,-15.0333,40.7333,1695,Portuguese,Ruins,Repeated.,Wikipedia
179,Fort São Marçal,,Mozambique,Maputo,Matola,-25.9667,32.4667,18th C,Portuguese,Ruins,Repeated.,Wikipedia
180,Fort São Sebastião,,Mozambique,Sofala,Ilha de Moçambique,-15.0333,40.7333,1558,Portuguese,UNESCO,Repeated.,Wikipedia
181,Fort São Tiago Maior,,Mozambique,Inhambane,Maxixe,-23.8667,35.35,18th C,Portuguese,Ruins,Repeated.,Wikipedia
182,Kasteel de Goede Hoop,Castle of Good Hope,South Africa,Western Cape,Cape Town,-33.9258,18.4275,1666,Dutch,Museum,Repeated.,Wikipedia
183,Fort de Goede Hoop,,Ghana,Western,Senya Beraku,5.3833,-0.4833,1704,Dutch,Ruins,Repeated.,Wikipedia
184,São Jorge da Mina,,Ghana,Central,Elmina,5.0825,-1.3481,1482,Portuguese,UNESCO,Repeated.,Wikipedia
185,Fort Leydsaemheyt,Fort Patience,Ghana,Western,Apam,5.2833,-0.7333,1697,Dutch,Museum,Repeated.,Wikipedia
186,Fort de Goede Hoop,Fort Good Hope,Ghana,Western,Senya Beraku,5.3833,-0.4833,1704,Dutch,Ruins,Repeated.,Wikipedia
187,Fort Frederiksborg,Fort Metal Cross,Ghana,Western,Dixcove,4.8,-1.95,1683,English,Ruins,Repeated.,Wikipedia
188,Fort Santo António Ibo,,Mozambique,Cabo Delgado,Ibo,-12.3333,40.5833,1791,Portuguese,Ruins,Repeated.,Wikipedia
189,Fort São João Baptista Ibo,,Mozambique,Cabo Delgado,Ibo,-12.3333,40.5833,1791,Portuguese,Museum,Repeated.,Wikipedia
190,Fort São José Ibo,,Mozambique,Cabo Delgado,Ibo,-12.3333,40.5833,1761,Portuguese,Ruins,Repeated.,Wikipedia
191,Fort São Lourenço Mozambique,,Mozambique,Sofala,Ilha de Moçambique,-15.0333,40.7333,1695,Portuguese,Ruins,Repeated.,Wikipedia
192,Fort São Marçal,,Mozambique,Maputo,Matola,-25.9667,32.4667,18th C,Portuguese,Ruins,Repeated.,Wikipedia
193,Fort São Sebastião,,Mozambique,Sofala,Ilha de Moçambique,-15.0333,40.7333,1558,Portuguese,UNESCO,Repeated.,Wikipedia
194,Fort São Tiago Maior,,Mozambique,Inhambane,Maxixe,-23.8667,35.35,18th C,Portuguese,Ruins,Repeated.,Wikipedia
